episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
144,60.0,0.07,93.0,11.95,1.45
145,54.0,0.07,93.0,54.27,0.12
146,64.0,0.04,96.0,57.71,0.16
147,84.0,0.02,98.0,40.69,0.15
148,70.0,0.02,98.0,90.96,0.14
149,80.0,0.0,100.0,57.78,0.18
150,82.0,0.03,97.0,53.33,0.12
151,52.0,0.03,97.0,86.84,0.12
152,56.0,0.03,97.0,45.63,0.15
153,72.0,0.04,96.0,63.7,0.13
154,70.0,0.02,98.0,67.98,0.12
155,40.0,0.05,95.0,70.4,0.11
156,62.0,0.04,96.0,61.83,0.11
157,60.0,0.06,94.0,82.52,0.21
158,80.0,0.02,98.0,63.46,0.16
159,74.0,0.05,95.0,83.79,0.12
160,76.0,0.02,98.0,33.46,0.12
161,44.0,0.05,95.0,82.13,0.13
162,62.0,0.03,97.0,71.36,0.14
163,52.0,0.09,91.0,54.07,0.12
164,80.0,0.02,98.0,84.77,1.5
165,60.0,0.03,97.0,29.03,0.15
166,68.0,0.05,95.0,104.95,0.19
167,56.0,0.06,94.0,63.44,0.18
168,56.0,0.01,99.0,61.99,0.13
169,68.0,0.05,95.0,36.02,0.13
170,76.0,0.04,96.0,31.65,0.12
171,60.0,0.06,94.0,50.45,0.13
172,54.0,0.1,90.0,81.8,0.15
173,56.0,0.05,95.0,47.08,0.17
174,60.0,0.05,95.0,35.9,0.13
175,62.0,0.05,95.0,68.2,0.14
176,78.0,0.05,95.0,29.69,0.15
177,80.0,0.04,96.0,73.69,0.15
178,72.0,0.05,95.0,102.03,0.11
179,64.0,0.03,97.0,66.41,0.13
180,84.0,0.02,98.0,63.75,0.13
181,46.0,0.07,93.0,55.29,0.12
182,72.0,0.09,91.0,70.64,0.12
183,76.0,0.04,96.0,56.03,0.11
184,64.0,0.06,94.0,79.52,0.14
185,64.0,0.0,100.0,48.54,1.32
186,64.0,0.01,99.0,56.16,0.14
187,72.0,0.05,95.0,47.26,0.11
188,56.0,0.07,93.0,87.66,0.12
189,78.0,0.04,96.0,69.29,0.11
190,74.0,0.02,98.0,70.69,0.11
191,84.0,0.03,97.0,36.28,0.12
192,84.0,0.0,100.0,43.13,0.12
193,78.0,0.03,97.0,113.8,0.12
194,80.0,0.0,100.0,62.74,0.12
195,74.0,0.03,97.0,70.09,0.2
196,62.0,0.02,98.0,33.87,0.17
197,68.0,0.02,98.0,99.78,0.14
198,64.0,0.09,91.0,33.55,0.12
199,72.0,0.08,92.0,59.79,0.11
200,78.0,0.01,99.0,58.68,0.11
201,78.0,0.0,100.0,48.29,0.14
202,60.0,0.01,99.0,37.25,0.15
203,72.0,0.03,97.0,44.0,0.12
204,78.0,0.02,98.0,72.43,0.16
205,70.0,0.03,97.0,75.12,1.69
206,76.0,0.03,97.0,45.28,0.14
207,70.0,0.03,97.0,30.57,0.12
208,50.0,0.01,99.0,57.0,0.11
209,58.0,0.02,98.0,58.22,0.11
210,68.0,0.02,98.0,33.28,0.12
211,68.0,0.02,98.0,76.08,0.12
212,78.0,0.01,99.0,63.59,0.12
213,68.0,0.05,95.0,46.59,0.11
214,58.0,0.05,95.0,45.01,0.12
215,64.0,0.05,95.0,72.64,0.12
216,74.0,0.03,97.0,71.42,0.13
217,68.0,0.02,98.0,50.97,0.11
218,86.0,0.0,100.0,53.95,0.11
219,66.0,0.02,98.0,67.62,0.11
220,60.0,0.03,97.0,23.77,0.11
221,70.0,0.03,97.0,73.3,0.13
