1,54.0,0.17
1,50.0,0.17
1,52.0,0.17
1,46.0,0.17
2,22.0,0.18
2,20.0,0.18
2,38.0,0.18
3,44.0,0.17
3,42.0,0.17
3,48.0,0.17
3,60.0,0.17
3,60.0,0.17
4,38.0,0.18
4,54.0,0.18
5,48.0,0.17
5,56.0,0.17
5,48.0,0.17
5,52.0,0.17
6,54.0,0.17
7,46.0,0.17
7,36.0,0.17
7,56.0,0.17
7,42.0,0.17
8,44.0,0.18
8,34.0,0.18
8,28.0,0.18
8,12.0,0.18
9,44.0,0.18
9,36.0,0.18
9,48.0,0.18
9,40.0,0.18
9,24.0,0.18
10,44.0,0.19
10,48.0,0.19
10,40.0,0.19
10,30.0,0.19
11,10.0,0.17
11,24.0,0.17
11,30.0,0.17
12,32.0,0.17
12,6.0,0.17
13,46.0,0.18
13,56.0,0.18
13,40.0,0.18
14,62.0,0.18
14,38.0,0.18
14,58.0,0.18
14,60.0,0.18
15,42.0,0.19
15,42.0,0.19
15,36.0,0.19
15,46.0,0.19
15,56.0,0.19
16,54.0,0.17
16,38.0,0.17
16,46.0,0.17
16,26.0,0.17
16,56.0,0.17
17,32.0,0.18
17,46.0,0.18
18,30.0,0.17
18,22.0,0.17
18,24.0,0.17
18,22.0,0.17
18,32.0,0.17
19,48.0,0.17
19,36.0,0.17
19,56.0,0.17
19,60.0,0.17
19,58.0,0.17
20,46.0,0.16
20,38.0,0.16
20,40.0,0.16
20,40.0,0.16
20,44.0,0.16
21,66.0,8.47
21,56.0,8.47
21,56.0,8.47
21,50.0,8.47
22,62.0,0.18
22,64.0,0.18
22,60.0,0.18
22,48.0,0.18
23,46.0,0.18
23,48.0,0.18
23,40.0,0.18
23,42.0,0.18
23,44.0,0.18
24,36.0,0.16
24,36.0,0.16
24,30.0,0.16
24,46.0,0.16
25,36.0,0.17
25,44.0,0.17
25,32.0,0.17
26,70.0,0.18
26,70.0,0.17
26,64.0,0.17
26,74.0,0.17
27,30.0,0.16
27,36.0,0.16
27,30.0,0.16
27,28.0,0.16
27,38.0,0.16
27,34.0,0.16
28,48.0,0.17
28,56.0,0.16
28,58.0,0.17
28,52.0,0.17
28,58.0,0.17
29,54.0,0.19
29,64.0,0.19
29,56.0,0.19
29,74.0,0.19
30,48.0,0.18
30,58.0,0.18
31,46.0,0.17
31,44.0,0.17
31,28.0,0.17
32,64.0,0.18
32,60.0,0.18
32,66.0,0.18
33,52.0,0.19
33,62.0,0.19
33,70.0,0.19
34,76.0,0.17
34,92.0,0.17
34,74.0,0.17
34,58.0,0.17
34,60.0,0.17
34,72.0,0.17
35,62.0,0.17
35,62.0,0.17
35,66.0,0.17
35,56.0,0.17
35,68.0,0.17
35,58.0,0.17
36,74.0,0.17
36,78.0,0.17
36,78.0,0.17
36,76.0,0.17
37,64.0,0.18
37,74.0,0.18
37,72.0,0.18
37,60.0,0.18
37,84.0,0.18
38,20.0,0.1738,24.0,0.17
38,16.0,0.17
38,28.0,0.17
38,38.0,0.17
39,4.0,0.16
39,12.0,0.16
39,12.0,0.16
40,76.0,0.17
40,70.0,0.17
40,62.0,0.17
40,60.0,0.17
40,68.0,0.17
41,48.0,8.54
41,56.0,8.54
41,62.0,8.54
42,66.0,0.19
42,62.0,0.19
42,68.0,0.19
42,54.0,0.19
42,68.0,0.19
43,52.0,0.2
43,44.0,0.2
43,54.0,0.2
44,62.0,0.18
44,70.0,0.18
44,70.0,0.18
44,58.0,0.18
45,68.0,0.17
45,70.0,0.17
45,78.0,0.17
46,66.0,0.17
46,58.0,0.17
46,64.0,0.17
47,48.0,0.17
47,58.0,0.17
47,62.0,0.17
47,60.0,0.17
47,50.0,0.17
48,72.0,0.16
48,80.0,0.16
48,66.0,0.16
48,70.0,0.16
49,58.0,0.17
49,72.0,0.17
49,62.0,0.17
49,60.0,0.17
50,66.0,0.16
50,62.0,0.16
50,62.0,0.16
50,56.0,0.16
50,64.0,0.16
51,62.0,0.17
51,68.0,0.17
51,60.0,0.17
51,54.0,0.17
52,60.0,0.17
52,60.0,0.17
52,54.0,0.17
53,78.0,0.2
53,74.0,0.2
53,64.0,0.2
54,68.0,0.21
54,74.0,0.21
55,32.0,0.19
55,34.0,0.19
55,26.0,0.19
56,58.0,0.18
56,70.0,0.18
56,74.0,0.18
57,66.0,0.17
57,74.0,0.17
57,70.0,0.17
57,64.0,0.17
58,54.0,0.18
58,40.0,0.18
58,64.0,0.18
58,62.0,0.18
