episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
122,4.0,0.37,63.0,22.35,1.48,0.11
123,74.0,0.02,98.0,16.55,2.0,0.12
124,98.0,0.01,99.0,42.1,7.93,0.12
125,98.0,0.01,99.0,13.6,16.0,0.12
126,100.0,0.0,100.0,30.53,4.04,0.12
127,0.0,0.38,62.0,30.75,1.0,0.11
128,44.0,0.04,96.0,37.24,2.0,0.12
129,4.0,0.31,69.0,35.42,1.0,0.11
130,86.0,0.0,100.0,67.37,4.0,0.12
131,100.0,0.0,100.0,16.2,8.0,0.12
132,100.0,0.0,100.0,23.61,16.0,0.12
133,66.0,0.04,96.0,22.18,2.0,0.13
134,100.0,0.0,100.0,34.57,4.0,0.12
135,100.0,0.0,100.0,27.61,8.0,0.12
136,100.0,0.0,100.0,50.2,16.0,0.12
137,10.0,0.29,71.0,54.52,1.0,0.11
138,12.0,0.37,63.0,55.84,1.0,0.11
139,100.0,0.0,100.0,30.29,8.08,0.12
140,6.0,0.33,67.0,26.69,1.0,0.11
141,70.0,0.03,97.0,7.69,2.0,0.12
142,56.0,0.03,97.0,22.8,2.0,0.12
143,80.0,0.0,100.0,14.06,4.0,0.12
144,100.0,0.0,100.0,34.16,4.0,0.12
145,100.0,0.0,100.0,21.7,16.0,0.12
146,56.0,0.02,98.0,14.54,2.0,0.12
147,40.0,0.05,95.0,15.31,2.0,0.13
148,100.0,0.0,100.0,54.17,16.0,0.12
149,-8.0,0.34,66.0,3.27,1.0,0.11
150,76.0,0.02,98.0,11.17,2.0,0.12
151,100.0,0.0,100.0,41.02,4.0,0.13
152,74.0,0.0,100.0,32.83,4.0,0.12
153,100.0,0.0,100.0,32.35,8.0,0.12
154,100.0,0.0,100.0,24.79,8.0,0.12
155,20.0,0.31,69.0,74.43,1.0,0.11
156,-6.0,0.42,58.0,75.07,1.12,0.11
157,100.0,0.0,100.0,23.87,8.0,0.12
158,70.0,0.02,98.0,56.7,2.0,0.12
159,100.0,0.0,100.0,27.67,4.12,0.12
160,32.0,0.16,84.0,27.43,1.08,0.11
161,100.0,0.0,100.0,31.95,16.0,0.11
162,84.0,0.01,99.0,41.18,3.98,0.12
163,70.0,0.03,97.0,9.23,2.0,0.12
164,100.0,0.0,100.0,50.51,8.0,0.12
165,84.0,0.0,100.0,30.04,4.0,0.12
166,12.0,0.34,66.0,45.11,1.05,0.11
167,8.0,0.27,73.0,5.39,1.0,0.11
168,100.0,0.0,100.0,54.76,8.0,0.13
169,-10.0,0.42,58.0,21.51,1.19,0.1
170,100.0,0.0,100.0,27.16,8.0,0.12
171,10.0,0.3,70.0,48.06,1.0,0.12
172,100.0,0.0,100.0,50.14,16.0,0.12
173,74.0,0.01,99.0,37.21,2.06,0.12
174,30.0,0.25,75.0,19.59,1.0,0.11
175,62.0,0.05,95.0,29.41,2.0,0.12
176,100.0,0.0,100.0,7.49,8.0,0.12
177,62.0,0.02,98.0,27.43,2.0,0.11
178,-22.0,0.39,61.0,34.46,1.0,0.11
