episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
1,38.0,0.24,76.0,89.75,0.25
1,56.0,0.16,84.0,73.82,0.25
2,22.0,0.24,76.0,101.25,0.25
2,24.0,0.22,78.0,58.71,0.25
2,56.0,0.17,83.0,58.09,0.25
2,32.0,0.24,76.0,87.43,0.25
3,44.0,0.2,80.0,66.08,0.27
3,30.0,0.24,76.0,93.97,0.27
3,48.0,0.19,81.0,60.98,0.27
3,34.0,0.29,71.0,47.89,0.27
3,26.0,0.23,77.0,67.87,0.27
4,48.0,0.17,83.0,51.27,0.26
4,30.0,0.29,71.0,69.69,0.26
4,40.0,0.23,77.0,85.49,0.26
5,54.0,0.19,81.0,81.42,0.25
5,34.0,0.29,71.0,69.46,0.25
5,58.0,0.19,81.0,43.73,0.25
5,32.0,0.22,78.0,69.3,0.25
5,34.0,0.24,76.0,49.81,0.25
6,46.0,0.24,76.0,114.18,0.23
6,40.0,0.22,78.0,67.89,0.23
6,38.0,0.25,75.0,63.94,0.23
6,50.0,0.17,83.0,52.53,0.23
6,40.0,0.28,72.0,99.92,0.23
7,52.0,0.17,83.0,104.25,0.25
7,12.0,0.31,69.0,61.21,0.25
7,34.0,0.27,73.0,53.47,0.24
7,28.0,0.24,76.0,41.73,0.25
7,36.0,0.24,76.0,117.2,0.24
8,42.0,0.19,81.0,94.78,0.24
8,40.0,0.22,78.0,59.33,0.24
8,22.0,0.34,66.0,44.52,0.24
8,44.0,0.18,82.0,59.68,0.24
8,30.0,0.27,73.0,91.66,0.24
8,44.0,0.18,82.0,100.82,0.24
9,28.0,0.26,74.0,102.75,0.24
9,36.0,0.26,74.0,81.57,0.24
9,34.0,0.22,78.0,120.16,0.24
9,28.0,0.21,79.0,146.83,0.24
99,36.0,0.27,73.0,119.58,0.24
10,40.0,0.22,78.0,87.99,0.24
10,30.0,0.23,77.0,92.34,0.24
10,26.0,0.27,73.0,92.29,0.24
10,58.0,0.16,84.0,89.74,0.24
10,56.0,0.17,83.0,80.86,0.24
10,22.0,0.25,75.0,114.08,0.24
11,46.0,0.17,83.0,77.92,0.24
11,28.0,0.21,79.0,56.63,0.24
11,38.0,0.24,76.0,112.06,0.24
11,42.0,0.21,79.0,114.02,0.24
12,54.0,0.16,84.0,67.75,0.24
12,44.0,0.17,83.0,75.52,0.24
12,40.0,0.17,83.0,51.6,0.24
13,40.0,0.2,80.0,77.71,0.24
13,36.0,0.27,73.0,53.1,0.24
13,56.0,0.15,85.0,158.69,0.24
13,12.0,0.3,70.0,91.0,0.24
14,62.0,0.19,81.0,31.51,0.24
4,30.0,0.25,75.0,80.23,0.24
14,20.0,0.19,81.0,50.66,0.24
15,46.0,0.19,81.0,147.27,0.26
15,44.0,0.25,75.0,95.67,0.26
15,54.0,0.17,83.0,120.33,0.26
15,46.0,0.23,77.0,97.56,0.26
16,20.0,0.24,76.0,88.4,0.23
16,44.0,0.14,86.0,78.49,0.24
16,44.0,0.22,78.0,107.92,0.24
6,46.0,0.21,79.0,84.45,0.24
16,52.0,0.2,80.0,124.94,0.24
17,36.0,0.23,77.0,61.91,0.24
17,48.0,0.2,80.0,80.01,0.24
17,24.0,0.23,77.0,20.24,0.24
17,40.0,0.23,77.0,81.65,0.24
18,14.0,0.28,72.0,78.1,0.24
18,48.0,0.23,77.0,83.1,0.24
18,42.0,0.19,81.0,32.23,0.24
19,46.0,0.13,87.0,52.93,0.27
19,62.0,0.14,86.0,89.83,0.27
19,32.0,0.23,77.0,76.84,0.27
20,42.0,0.24,76.0,75.19,0.23
20,42.0,0.18,82.0,67.95,0.23
20,40.0,0.22,78.0,87.61,0.23
21,42.0,0.21,79.0,65.84,0.24
21,36.0,0.24,76.0,80.17,0.24
21,40.0,0.14,86.0,105.11,0.24
21,36.0,0.23,77.0,118.81,0.24
21,38.0,0.16,84.0,47.23,0.24
22,50.0,0.2,80.0,60.79,0.24
22,52.0,0.21,79.0,62.23,0.24
22,28.0,0.23,77.0,105.75,0.24
22,60.0,0.19,81.0,84.06,0.24
22,42.0,0.21,79.0,69.02,0.24
22,42.0,0.16,84.0,26.82,0.24
23,54.0,0.16,84.0,78.38,0.24
23,36.0,0.23,77.0,71.85,0.24
23,48.0,0.22,78.0,80.68,0.24
23,32.0,0.2,80.0,83.27,0.24
23,40.0,0.21,79.0,45.55,0.24
24,24.0,0.24,76.0,55.07,0.24
24,42.0,0.21,79.0,66.8,0.24
24,36.0,0.26,74.0,82.56,0.24
24,42.0,0.23,77.0,81.44,0.24
24,48.0,0.16,84.0,44.13,0.24
25,44.0,0.23,77.0,123.23,0.25
25,22.0,0.29,71.0,52.87,0.25
25,58.0,0.15,85.0,54.51,0.25
25,42.0,0.26,74.0,111.57,0.25
25,40.0,0.15,85.0,93.39,0.25
26,46.0,0.18,82.0,120.04,0.24
26,60.0,0.16,84.0,72.21,0.23
26,52.0,0.16,84.0,130.43,0.23
26,20.0,0.27,73.0,87.73,0.23
26,48.0,0.2,80.0,86.67,0.23
26,38.0,0.21,79.0,75.04,0.23
27,42.0,0.2,80.0,83.35,0.24
27,60.0,0.17,83.0,157.18,0.24
27,40.0,0.22,78.0,68.85,0.24
27,28.0,0.25,75.0,150.85,0.24
27,46.0,0.22,78.0,137.33,0.24
27,48.0,0.22,78.0,94.59,0.24
28,42.0,0.2,80.0,92.01,0.24
28,26.0,0.24,76.0,42.37,0.24
28,22.0,0.24,76.0,56.05,0.24
28,66.0,0.16,84.0,77.76,0.24
28,32.0,0.26,74.0,111.39,0.24
29,50.0,0.17,83.0,52.54,0.25
29,56.0,0.18,82.0,112.58,0.25
29,28.0,0.25,75.0,73.46,0.25
29,32.0,0.23,77.0,108.18,0.25
29,42.0,0.26,74.0,96.71,0.25
30,32.0,0.19,81.0,41.81,0.25
30,46.0,0.23,77.0,83.29,0.24
30,42.0,0.19,81.0,41.15,0.25
31,42.0,0.18,82.0,54.97,0.25
31,12.0,0.31,69.0,58.69,0.25
31,38.0,0.22,78.0,84.25,0.25
