episode,reward,execution_time
131,0.0,0.12
132,38.0,0.13
132,54.0,0.13
133,82.0,0.11
133,48.0,0.11
133,68.0,0.11
134,68.0,0.11
134,28.0,0.11
134,42.0,0.11
135,62.0,0.11
135,-8.0,0.11
136,86.0,0.11
136,44.0,0.11
137,72.0,0.14
137,72.0,0.14
137,30.0,0.14
138,62.0,0.13
138,72.0,0.13
138,54.0,0.13
139,48.0,0.11
139,60.0,0.11
140,-20.0,0.12
140,80.0,0.12
141,-2.0,0.12
141,70.0,0.12
141,72.0,0.12
142,82.0,0.12
142,84.0,0.12
143,48.0,0.12
143,80.0,0.12
144,70.0,4.04
144,64.0,4.04
145,62.0,0.12
146,70.0,0.12
146,94.0,0.12
146,14.0,0.12
146,76.0,0.12
147,86.0,0.12
147,44.0,0.12
148,76.0,0.12
148,48.0,0.12
148,88.0,0.12
149,86.0,0.11
149,78.0,0.11
150,80.0,0.13
150,86.0,0.13
150,84.0,0.13
151,66.0,0.11
151,30.0,0.11
152,36.0,0.12
152,88.0,0.12
152,80.0,0.12
153,64.0,0.11
153,72.0,0.11
154,60.0,0.11
154,82.0,0.11
155,74.0,0.12
155,72.0,0.12
156,66.0,0.11
156,16.0,0.11
156,74.0,0.11
157,70.0,0.11
157,34.0,0.11
158,70.0,0.12
158,34.0,0.12
158,84.0,0.12
159,86.0,0.12
159,76.0,0.12
159,58.0,0.12
160,88.0,0.12
160,70.0,0.12
160,62.0,0.12
161,72.0,0.11
161,82.0,0.11
162,-6.0,0.11
162,92.0,0.11
162,86.0,0.11
162,78.0,0.11
163,78.0,0.11
163,70.0,0.11
164,32.0,4.12
164,90.0,4.12
165,78.0,0.12
166,68.0,0.11
166,56.0,0.11
167,38.0,0.12
167,72.0,0.12
168,40.0,0.12
168,50.0,0.12
169,86.0,0.11
169,84.0,0.11
170,56.0,0.11
170,82.0,0.11
171,72.0,0.11
171,88.0,0.11
172,22.0,0.12
172,86.0,0.12
173,56.0,0.12
174,76.0,0.11
174,94.0,0.11
175,66.0,0.1
175,86.0,0.1
176,66.0,0.13
177,54.0,0.11
177,68.0,0.11
178,68.0,0.12
178,88.0,0.12
178,62.0,0.12
179,22.0,0.12
180,48.0,0.11
181,-14.0,0.12181,62.0,0.12
182,76.0,0.11
182,74.0,0.11
183,46.0,0.12
183,52.0,0.12
183,70.0,0.12
184,48.0,0.13
184,94.0,0.13
185,72.0,3.89
185,84.0,3.89
185,94.0,3.89
186,52.0,0.12
186,88.0,0.12
186,68.0,0.12
187,86.0,0.12
188,92.0,0.11
188,74.0,0.11
189,92.0,0.11
189,94.0,0.11
190,100.0,0.13190,20.0,0.13
190,76.0,0.13
191,84.0,0.12
191,54.0,0.12
191,82.0,0.12
192,88.0,0.13
192,80.0,0.13
192,98.0,0.13
193,90.0,0.12
193,72.0,0.13
194,64.0,0.12
194,78.0,0.12
195,88.0,0.11
195,80.0,0.11
195,86.0,0.11
196,88.0,0.11
196,72.0,0.11
197,86.0,0.11
197,94.0,0.11
198,80.0,0.11
198,68.0,0.11
198,66.0,0.11
199,46.0,0.11
199,86.0,0.11
200,64.0,0.11
200,64.0,0.11
201,70.0,0.11
201,82.0,0.11
202,64.0,0.12
203,78.0,0.12
203,70.0,0.12
204,92.0,0.11
204,82.0,0.11
205,68.0,3.95
205,48.0,3.95
206,84.0,0.12
206,92.0,0.12
207,74.0,0.12
207,90.0,0.12
207,92.0,0.12
208,76.0,0.11
208,66.0,0.11
208,80.0,0.11
209,88.0,0.13
209,86.0,0.13
209,94.0,0.13
210,30.0,0.13
211,90.0,0.12
212,84.0,0.11
213,40.0,0.16
214,66.0,0.14
215,38.0,0.14
215,84.0,0.14
216,38.0,0.12
216,34.0,0.12
217,36.0,0.13
217,58.0,0.13
217,86.0,0.13
218,82.0,0.13
218,92.0,0.13
219,56.0,0.12
219,72.0,0.12
219,34.0,0.12
220,86.0,0.16
220,74.0,0.16
221,50.0,0.14
221,88.0,0.14
222,90.0,0.13
222,90.0,0.13
223,82.0,0.13
223,86.0,0.13
224,80.0,0.13
224,90.0,0.13
224,86.0,0.13
225,54.0,0.13
225,60.0,0.12
226,66.0,3.95
226,76.0,3.95
227,54.0,0.12
227,70.0,0.12
