episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
144,32.0,0.26,74.0,36.31,0.12
145,18.0,0.26,74.0,67.11,0.12
146,92.0,0.01,99.0,35.52,0.12
147,12.0,0.32,68.0,61.14,0.12
148,6.0,0.29,71.0,37.67,0.12
149,-4.0,0.4,60.0,17.93,0.11
150,100.0,0.0,100.0,14.12,0.12
151,56.0,0.06,94.0,49.54,0.13
152,34.0,0.23,77.0,72.29,0.12
153,46.0,0.18,82.0,78.22,0.13
154,62.0,0.03,97.0,42.29,0.13
155,2.0,0.34,66.0,34.62,0.11
156,54.0,0.19,81.0,39.87,0.12
157,80.0,0.03,97.0,34.19,0.13
158,52.0,0.21,79.0,56.17,0.12
159,76.0,0.01,99.0,28.86,0.13
160,0.0,0.39,61.0,78.51,0.12
161,90.0,0.03,97.0,26.75,0.12
162,80.0,0.0,100.0,48.19,0.14
163,50.0,0.2,80.0,30.69,0.12
164,48.0,0.2,80.0,16.33,0.12
165,48.0,0.17,83.0,31.15,0.12
166,88.0,0.05,95.0,14.33,0.12
167,96.0,0.01,99.0,27.18,0.13
168,70.0,0.05,95.0,28.18,0.14
169,54.0,0.15,85.0,22.92,0.13
170,68.0,0.05,95.0,22.41,0.12
171,8.0,0.33,67.0,29.1,0.11
172,10.0,0.33,67.0,42.67,0.12
173,66.0,0.15,85.0,18.16,0.13
174,8.0,0.37,63.0,35.45,0.12
175,72.0,0.05,95.0,21.14,0.14
176,98.0,0.0,100.0,26.75,0.13
177,22.0,0.29,71.0,48.35,0.12
178,90.0,0.01,99.0,38.81,0.13
179,48.0,0.14,86.0,31.44,0.13
180,4.0,0.3,70.0,39.29,0.13
181,56.0,0.18,82.0,50.81,0.12
182,92.0,0.02,98.0,40.49,0.12
183,68.0,0.03,97.0,19.34,0.14
184,22.0,0.33,67.0,56.64,0.12
185,74.0,0.03,97.0,47.54,0.13
186,94.0,0.01,99.0,9.11,0.13
187,68.0,0.03,97.0,54.44,0.13
188,18.0,0.3,70.0,63.52,0.12
189,24.0,0.27,73.0,21.84,0.12
190,94.0,0.01,99.0,27.44,0.13
191,96.0,0.01,99.0,46.26,0.12
192,96.0,0.0,100.0,13.18,0.13
193,90.0,0.01,99.0,22.55,0.15
194,58.0,0.06,94.0,47.75,0.13
195,44.0,0.21,79.0,23.81,0.12
196,70.0,0.02,98.0,15.0,0.13
197,64.0,0.07,93.0,37.91,0.13
198,94.0,0.01,99.0,17.98,0.13
199,18.0,0.27,73.0,11.43,0.12
200,90.0,0.01,99.0,22.6,0.12
201,10.0,0.34,66.0,59.2,0.11
202,6.0,0.29,71.0,36.82,0.11
203,64.0,0.1,90.0,19.9,0.13
204,76.0,0.02,98.0,52.13,0.13
205,12.0,0.28,72.0,32.51,0.12
206,88.0,0.04,96.0,19.05,0.17
207,60.0,0.15,85.0,19.54,0.12
208,60.0,0.15,85.0,48.79,0.12
209,94.0,0.01,99.0,25.16,0.13
210,12.0,0.33,67.0,66.1,0.11
211,70.0,0.03,97.0,48.82,0.12
212,74.0,0.03,97.0,12.27,0.13
213,94.0,0.01,99.0,38.05,0.13
214,66.0,0.01,99.0,14.4,0.12
215,94.0,0.01,99.0,13.9,0.12
216,40.0,0.17,83.0,24.63,0.12
217,18.0,0.33,67.0,43.06,0.12
218,60.0,0.04,96.0,30.33,0.12
219,72.0,0.01,99.0,24.72,0.13
220,10.0,0.31,69.0,46.2,0.14
221,44.0,0.2,80.0,31.39,0.13
222,80.0,0.0,100.0,25.31,0.13
223,8.0,0.34,66.0,31.94,0.11
224,94.0,0.02,98.0,19.42,0.13
225,12.0,0.29,71.0,35.9,0.11
226,78.0,0.02,98.0,38.42,0.12
227,92.0,0.01,99.0,39.87,0.13
228,36.0,0.2,80.0,48.89,0.13
229,92.0,0.02,98.0,18.59,0.15
230,24.0,0.31,69.0,21.51,0.12
231,50.0,0.15,85.0,40.8,0.12
232,44.0,0.22,78.0,58.3,0.13
