1,-36.0,0.58,42.0,172.68,5.95,0.38
1,-62.0,0.65,35.0,174.36,5.74,0.38
1,-36.0,0.48,52.0,183.51,5.75,0.38
1,-32.0,0.54,46.0,167.9,5.77,0.39

1,-34.0,0.59,41.0,150.96,6.12,0.39
2,32.0,0.29,71.0,78.34,2.22,0.31
12,28.0,0.35,65.0,63.55,4.7,0.31
31
2,-78.0,0.48,52.0,239.64,9.68,0.31
3,-32.0,0.43,57.0,175.34,8.16,03,-36.0,0.42,58.0,189.83,6.58,0.3
3
4,-32.0,0.5,50.0,155.91,9.95,0.29
,4.0,0.33,67.0,140.91,4.26,0.29
4,34.0,0.27,73.0,59.23,5.07,0.29
5,24.0,0.23,77.0,115.16,2.83,0.28

5,-28.0,0.39,61.0,189.03,9.95,0.28
6,-16.0,0.39,61.0,156.56,3.85,0.296,-16.0,0.5,50.0,113.92,11.92,0.29
7,54.0,0.19,81.0,51.4,6.12,0.29

7,24.0,0.33,67.0,51.95,10.99,0.29


8,12.0,0.33,67.0,110.81,7.46,0.2788,30.0,0.26,74.0,86.42,4.39,0.27

8,-22.0,0.49,51.0,153.51,5.31,0.27
9,30.0,0.29,71.0,74.84,3.65,0.28

9,34.0,0.27,73.0,91.78,4.01,0.28

9,28.0,0.24,76.0,97.98,4.53,0.28
10,30.0,0.31,69.0,67.39,9.85,0.310,32.0,0.26,74.0,93.0,6.92,0.3

11,48.0,0.22,78.0,62.59,6.89,0.2711,30.0,0.3,70.0,71.63,4.34,0.27

11,34.0,0.3,70.0,46.37,1.79,0.27
12,30.0,0.33,67.0,64.17,1.6,0.26

12,6.0,0.41,59.0,65.27,1.79,0.26

12,62.0,0.18,82.0,27.48,2.83,0.26
13,22.0,0.3,70.0,86.52,3.99,0.26
13,50.0,0.13,87.0,79.2,12.23,0.26

13,36.0,0.23,77.0,79.78,6.88,0.26
14,36.0,0.28,72.0,54.07,3.99,0.26
14,42.0,0.26,74.0,62.27,5.61,0.26
,32.0,0.26,74.0,78.32,2.92,0.26
15,42.0,0.19,81.0,80.68,8.14,0.26

15,60.0,0.15,85.0,71.81,10.25,0.26
16,62.0,0.11,89.0,49.44,9.19,0.27
116,44.0,0.17,83.0,84.81,9.22,0.27
17,54.0,0.18,82.0,26.86,3.04,0.27

7,16.0,0.39,61.0,32.41,8.4,0.27
17,80.0,0.05,95.0,48.77,8.57,0.27

18,50.0,0.24,76.0,47.22,8.0,0.27
118,74.0,0.09,91.0,50.06,9.02,0.27
18,64.0,0.11,89.0,43.6,9.97,0.27
19,64.0,0.17,83.0,37.32,7.64,0.26

19,80.0,0.06,94.0,31.41,11.79,0.26
19,50.0,0.15,85.0,69.79,11.39,0.26
19,60.0,0.17,83.0,36.28,8.01,0.26
20,74.0,0.06,94.0,47.87,4.77,0.27

20,48.0,0.18,82.0,55.69,3.11,0.27

20,66.0,0.07,93.0,65.39,9.16,0.27

21,52.0,0.17,83.0,74.07,8.77,0.25
1,70.0,0.14,86.0,27.28,6.42,0.25

22,48.0,0.21,79.0,72.78,4.03,0.26

22,78.0,0.08,92.0,33.64,10.93,0.26
23,82.0,0.05,95.0,37.16,9.46,0.25
23,68.0,0.08,92.0,58.39,12.33,0.25
23,58.0,0.19,81.0,26.01,10.04,0.25
23,42.0,0.17,83.0,77.2,2.48,0.25
23,60.0,0.09,91.0,66.45,10.04,0.25
24,72.0,0.08,92.0,68.39,9.4,0.26
24,64.0,0.07,93.0,73.96,6.19,0.26

25,72.0,0.09,91.0,41.36,8.99,0.25
25,46.0,0.24,76.0,38.4,5.59,0.25

26,62.0,0.08,92.0,65.71,2.52,0.25
26,78.0,0.05,95.0,48.15,10.8,0.26
27,90.0,0.03,97.0,38.14,13.94,0.2527,64.0,0.08,92.0,75.18,3.06,0.25
27,86.0,0.03,97.0,47.57,10.49,0.25
28,74.0,0.09,91.0,51.69,10.04,0.25
28,52.0,0.12,88.0,105.17,6.02,0.25
29,80.0,0.03,97.0,56.89,13.01,0.26
29,74.0,0.07,93.0,64.64,6.91,0.26
30,62.0,0.17,83.0,37.59,4.72,0.26

30,72.0,0.02,98.0,69.86,12.51,0.26
30,54.0,0.19,81.0,44.3,4.47,0.26
31,94.0,0.01,99.0,22.59,15.58,0.26
31,82.0,0.05,95.0,44.91,10.2,0.26

31,78.0,0.03,97.0,57.87,6.7,0.26
32,74.0,0.07,93.0,41.09,13.73,0.2532,82.0,0.06,94.0,44.38,5.38,0.25
32,48.0,0.17,83.0,76.95,4.62,0.25
