episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
122,88.0,0.0,100.0,28.79,4.0,0.14
123,84.0,0.03,97.0,35.41,2.0,0.14
124,90.0,0.0,100.0,41.21,16.0,0.13
125,82.0,0.0,100.0,42.16,4.0,0.15
126,94.0,0.0,100.0,26.84,16.0,0.21
127,90.0,0.02,98.0,15.69,2.0,0.14
128,92.0,0.0,100.0,22.58,4.0,0.14
129,24.0,0.36,64.0,42.25,1.0,0.18
130,98.0,0.0,100.0,13.73,16.0,0.15
131,24.0,0.35,65.0,28.12,1.0,0.12
132,92.0,0.0,100.0,21.75,16.0,0.14
133,94.0,0.0,100.0,21.55,16.0,0.13
134,84.0,0.0,100.0,50.3,4.0,0.15
135,96.0,0.0,100.0,15.89,4.0,0.17
136,64.0,0.0,100.0,53.89,8.0,0.17
137,100.0,0.0,100.0,7.86,4.0,0.14
138,98.0,0.0,100.0,17.6,4.0,0.15
139,82.0,0.02,98.0,42.28,2.0,0.13
140,96.0,0.0,100.0,13.0,8.0,0.13
141,100.0,0.0,100.0,10.31,8.0,0.16
142,84.0,0.0,100.0,38.97,8.0,0.14
143,90.0,0.03,97.0,19.68,2.0,0.12
144,98.0,0.0,100.0,19.97,8.0,0.12
145,96.0,0.0,100.0,20.37,4.0,0.16
146,96.0,0.0,100.0,26.77,16.0,0.14
147,84.0,0.0,100.0,44.07,8.0,0.12
148,86.0,0.0,100.0,36.51,4.0,0.17
149,92.0,0.0,100.0,34.64,4.0,0.16
150,88.0,0.0,100.0,28.01,4.0,0.15
151,96.0,0.0,100.0,16.54,4.0,0.15
152,96.0,0.0,100.0,14.38,16.0,0.13
153,90.0,0.0,100.0,52.65,8.0,0.13
154,24.0,0.37,63.0,21.57,1.0,0.14
155,24.0,0.29,71.0,67.62,1.0,0.12
156,92.0,0.0,100.0,33.79,2.0,0.16
157,90.0,0.03,97.0,17.37,2.0,0.19
158,88.0,0.0,100.0,42.23,8.0,0.13
159,94.0,0.03,97.0,17.6,2.0,0.16
160,90.0,0.05,95.0,2.98,2.0,0.15
161,40.0,0.3,70.0,23.27,1.0,0.14
162,32.0,0.29,71.0,67.27,1.0,0.16
163,92.0,0.0,100.0,24.46,4.0,0.19
164,96.0,0.0,100.0,22.18,4.0,0.13
165,98.0,0.0,100.0,24.01,16.0,0.15
166,88.0,0.0,100.0,33.72,16.0,0.24
167,32.0,0.3,70.0,25.43,1.0,0.16
168,30.0,0.34,66.0,35.84,1.0,0.16
