episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
64,58.0,0.08,92.0,30.17,0.34
65,88.0,0.01,99.0,31.07,0.32
65,76.0,0.08,92.0,56.54,0.32
65,82.0,0.04,96.0,36.77,0.32
66,80.0,0.06,94.0,47.95,0.36
66,74.0,0.07,93.0,91.02,0.36
67,58.0,0.1,90.0,44.75,0.27

67,50.0,0.11,89.0,44.26,0.27
67,72.0,0.03,97.0,48.57,0.27
68,68.0,0.02,98.0,37.42,0.29
668,64.0,0.05,95.0,44.24,0.29
68,72.0,0.06,94.0,43.06,0.29
68,82.0,0.02,98.0,70.93,0.29
69,74.0,0.02,98.0,31.41,0.31
69,82.0,0.05,95.0,30.79,0.31
69,60.0,0.03,97.0,41.58,0.31
70,70.0,0.1,90.0,56.21,0.3

70,92.0,0.02,98.0,50.11,0.3
70,92.0,0.01,99.0,44.43,0.3
71,64.0,0.04,96.0,49.22,0.28
71,72.0,0.06,94.0,58.24,0.28
71,82.0,0.05,95.0,64.68,0.28
71,82.0,0.07,93.0,41.67,0.28
72,84.0,0.01,99.0,34.88,0.31
2,64.0,0.05,95.0,74.44,0.31
72,88.0,0.05,95.0,43.88,0.31
73,62.0,0.15,85.0,62.99,0.3
73,88.0,0.04,96.0,14.72,0.3
74,84.0,0.03,97.0,56.84,0.42
74,94.0,0.0,100.0,25.98,0.42
74,60.0,0.07,93.0,54.77,0.42
74,76.0,0.06,94.0,25.84,0.42
75,72.0,0.05,95.0,23.57,0.39
76,78.0,0.05,95.0,52.96,0.31
76,58.0,0.07,93.0,64.99,0.31
76,68.0,0.05,95.0,48.81,0.31
77,86.0,0.03,97.0,28.48,0.37
77,92.0,0.02,98.0,56.94,0.37
77,100.0,0.0,100.0,63.56,0.37
78,90.0,0.02,98.0,38.19,0.29
8,66.0,0.05,95.0,46.14,0.29
78,86.0,0.01,99.0,19.78,0.29
79,90.0,0.02,98.0,34.43,0.3
79,86.0,0.02,98.0,40.62,0.3

79,92.0,0.02,98.0,22.39,0.31
80,92.0,0.0,100.0,26.71,0.3
80,-10.0,0.45,55.0,47.84,0.3
80,72.0,0.03,97.0,48.0,0.3

80,98.0,0.01,99.0,15.08,0.3
81,92.0,0.02,98.0,12.31,0.29
81,72.0,0.01,99.0,24.57,0.29
82,50.0,0.17,83.0,32.28,0.29
82,90.0,0.02,98.0,25.29,0.29
82,44.0,0.16,84.0,39.85,0.29
83,40.0,0.18,82.0,15.5,0.3
83,76.0,0.0,100.0,39.24,0.3
83,96.0,0.0,100.0,27.98,0.3
83,48.0,0.2,80.0,39.62,0.3
83,98.0,0.0,100.0,14.46,0.3
84,94.0,0.01,99.0,31.24,0.28
84,94.0,0.0,100.0,73.12,0.28
85,94.0,0.0,100.0,50.47,0.29
85,62.0,0.11,89.0,95.66,0.29
85,56.0,0.08,92.0,16.89,0.29
86,50.0,0.18,82.0,92.08,0.27
86,54.0,0.18,82.0,28.2,0.27

86,54.0,0.08,92.0,50.86,0.27
87,72.0,0.08,92.0,53.08,0.27
87,94.0,0.01,99.0,28.03,0.27
87,72.0,0.02,98.0,33.07,0.27
88,98.0,0.0,100.0,37.53,0.28

8,60.0,0.08,92.0,25.83,0.28
88,96.0,0.01,99.0,40.27,0.28
89,48.0,0.16,84.0,45.36,0.29
89,50.0,0.16,84.0,18.15,0.29
90,26.0,0.24,76.0,43.74,0.28
90,76.0,0.07,93.0,72.77,0.28
90,74.0,0.02,98.0,34.61,0.28
91,90.0,0.01,99.0,24.99,0.28
91,96.0,0.01,99.0,14.98,0.28
91,40.0,0.21,79.0,39.95,0.28

92,88.0,0.02,98.0,23.64,0.31
92,60.0,0.09,91.0,35.45,0.31
92,62.0,0.08,92.0,27.15,0.31
92,50.0,0.17,83.0,51.44,0.31
93,80.0,0.04,96.0,50.62,0.29
93,64.0,0.03,97.0,29.4,0.29


94,64.0,0.05,95.0,25.74,0.29
94,46.0,0.15,85.0,27.71,0.29
95,94.0,0.02,98.0,35.52,0.28
95,90.0,0.03,97.0,14.83,0.28
95,60.0,0.06,94.0,23.5,0.28

95,94.0,0.0,100.0,18.23,0.28
96,66.0,0.05,95.0,19.27,0.28
,82.0,0.01,99.0,28.54,0.28
96,82.0,0.07,93.0,16.43,0.28
96,96.0,0.02,98.0,55.77,0.28
97,98.0,0.01,99.0,16.53,0.3
97,72.0,0.01,99.0,46.79,0.3
98,68.0,0.05,95.0,37.76,0.29
98,82.0,0.05,95.0,23.12,0.29
98,54.0,0.12,88.0,18.35,0.29
99,90.0,0.05,95.0,24.23,0.29
100,92.0,0.01,99.0,38.01,0.27
100,82.0,0.04,96.0,34.09,0.27
100,44.0,0.21,79.0,51.18,0.27
101,96.0,0.01,99.0,11.86,0.28
101,50.0,0.2,80.0,60.72,0.28

102,92.0,0.01,99.0,48.23,0.27
102,90.0,0.02,98.0,39.04,0.27
102,88.0,0.0,100.0,35.93,0.27
103,66.0,0.06,94.0,30.94,0.39
103,52.0,0.14,86.0,50.87,0.39
103,18.0,0.25,75.0,66.41,0.39
104,52.0,0.14,86.0,36.72,0.31
104,90.0,0.04,96.0,31.73,0.31
105,92.0,0.01,99.0,17.08,0.3
105,54.0,0.09,91.0,36.49,0.3
106,86.0,0.01,99.0,44.25,0.29
106,52.0,0.11,89.0,19.94,0.29
106,64.0,0.08,92.0,56.63,0.29
107,96.0,0.01,99.0,44.57,0.28
107,60.0,0.03,97.0,38.13,0.28
107,92.0,0.02,98.0,68.86,0.28
108,76.0,0.01,99.0,25.01,0.29
108,88.0,0.05,95.0,28.81,0.29
108,74.0,0.07,93.0,47.66,0.29
109,84.0,0.03,97.0,31.09,0.28
109,92.0,0.02,98.0,57.97,0.28
109,52.0,0.11,89.0,33.78,0.28
110,72.0,0.07,93.0,47.77,0.28
110,88.0,0.0,100.0,26.81,0.28
110,68.0,0.07,93.0,55.93,0.28
111,66.0,0.06,94.0,26.08,0.28
111,80.0,0.01,99.0,38.43,0.28
111,94.0,0.02,98.0,10.09,0.28
112,94.0,0.0,100.0,56.48,0.28
112,36.0,0.24,76.0,53.18,0.28
112,90.0,0.03,97.0,49.13,0.28
112,94.0,0.01,99.0,14.45,0.28
113,84.0,0.01,99.0,38.92,0.28
113,96.0,0.0,100.0,27.48,0.28
114,46.0,0.21,79.0,53.9,0.27

114,78.0,0.08,92.0,27.62,0.27
114,92.0,0.01,99.0,18.81,0.27
115,68.0,0.04,96.0,70.25,0.28
115,56.0,0.07,93.0,26.87,0.28
115,90.0,0.02,98.0,34.99,0.28
115,74.0,0.02,98.0,50.12,0.28
115,58.0,0.06,94.0,43.37,0.28
116,64.0,0.04,96.0,34.74,0.28
116,80.0,0.03,97.0,46.96,0.28
117,100.0,0.0,100.0,18.33,0.27
17,66.0,0.02,98.0,54.98,0.27
118,86.0,0.0,100.0,31.75,0.27
118,92.0,0.0,100.0,18.89,0.27
119,96.0,0.02,98.0,63.74,0.27
119,84.0,0.0,100.0,67.44,0.27
119,60.0,0.06,94.0,61.24,0.27
119,68.0,0.01,99.0,74.4,0.27
120,98.0,0.0,100.0,39.37,0.26
120,60.0,0.12,88.0,33.05,0.26
120,92.0,0.02,98.0,45.4,0.26
121,92.0,0.02,98.0,34.01,0.27
121,84.0,0.04,96.0,35.83,0.27
121,76.0,0.02,98.0,84.98,0.27
122,48.0,0.16,84.0,87.76,0.27
122,92.0,0.01,99.0,30.17,0.27
123,92.0,0.01,99.0,51.39,0.28
123,76.0,0.02,98.0,31.82,0.28
123,56.0,0.11,89.0,74.19,0.28
124,62.0,0.02,98.0,49.55,0.27
124,90.0,0.0,100.0,51.75,0.27
124,72.0,0.05,95.0,38.17,0.27
125,96.0,0.01,99.0,40.31,0.28
125,84.0,0.01,99.0,36.69,0.28
125,52.0,0.07,93.0,38.73,0.28
126,86.0,0.04,96.0,58.43,0.28
126,62.0,0.04,96.0,46.33,0.28
126,90.0,0.0,100.0,40.01,0.28
127,90.0,0.03,97.0,14.38,0.27
127,94.0,0.0,100.0,35.84,0.27
127,86.0,0.01,99.0,62.21,0.27
128,70.0,0.04,96.0,26.71,0.27
128,86.0,0.01,99.0,35.18,0.27
128,90.0,0.01,99.0,55.6,0.27
129,88.0,0.02,98.0,45.26,0.28
129,70.0,0.03,97.0,60.03,0.28
129,76.0,0.03,97.0,52.6,0.28

129,90.0,0.02,98.0,67.36,0.28
129,84.0,0.01,99.0,15.4,0.28
129,94.0,0.01,99.0,38.75,0.28
130,96.0,0.0,100.0,36.32,0.26
130,84.0,0.05,95.0,51.53,0.26
130,70.0,0.04,96.0,27.75,0.26
131,92.0,0.01,99.0,47.39,0.26
131,92.0,0.01,99.0,14.38,0.26
132,72.0,0.05,95.0,36.72,0.27
132,88.0,0.01,99.0,30.89,0.27
132,26.0,0.27,73.0,74.64,0.27
133,84.0,0.0,100.0,38.66,0.27
133,74.0,0.01,99.0,71.64,0.27
134,86.0,0.02,98.0,46.8,0.27

134,84.0,0.02,98.0,42.36,0.27
134,86.0,0.02,98.0,53.28,0.27
135,94.0,0.01,99.0,17.25,0.27
135,72.0,0.03,97.0,36.11,0.27
136,92.0,0.01,99.0,58.03,0.27
136,92.0,0.01,99.0,27.86,0.27
136,58.0,0.02,98.0,55.11,0.27
137,94.0,0.01,99.0,76.48,0.27
137,78.0,0.0,100.0,29.73,0.27
137,94.0,0.0,100.0,9.32,0.27
138,94.0,0.02,98.0,51.03,0.28
138,90.0,0.0,100.0,45.59,0.28

138,94.0,0.02,98.0,14.01,0.28
139,80.0,0.05,95.0,34.11,0.27
139,88.0,0.01,99.0,26.23,0.27
139,74.0,0.03,97.0,44.52,0.27
140,66.0,0.04,96.0,54.91,0.27
140,100.0,0.0,100.0,33.08,0.27
141,98.0,0.0,100.0,29.63,0.27
1141,94.0,0.0,100.0,30.16,0.27
142,80.0,0.01,99.0,30.98,0.27
142,98.0,0.0,100.0,17.23,0.27
143,90.0,0.01,99.0,25.53,0.29
143,64.0,0.05,95.0,40.27,0.29
143,66.0,0.04,96.0,15.6,0.29
143,90.0,0.03,97.0,35.97,0.29
143,86.0,0.04,96.0,42.84,0.29
144,60.0,0.08,92.0,27.07,0.28
144,62.0,0.07,93.0,26.07,0.28
145,90.0,0.01,99.0,77.97,0.3
145,92.0,0.01,99.0,52.37,0.3
145,70.0,0.02,98.0,35.68,0.3
146,96.0,0.01,99.0,13.91,0.32
146,70.0,0.03,97.0,27.89,0.32

146,94.0,0.02,98.0,43.24,0.32
147,64.0,0.11,89.0,30.75,0.28
147,72.0,0.02,98.0,47.52,0.28
148,56.0,0.04,96.0,52.19,0.34
148,90.0,0.02,98.0,39.91,0.34
149,92.0,0.01,99.0,39.52,0.32
149,70.0,0.02,98.0,58.36,0.32
150,70.0,0.07,93.0,52.16,0.39
150,92.0,0.02,98.0,67.51,0.39
151,44.0,0.04,96.0,41.07,0.37
151,84.0,0.0,100.0,55.1,0.37

152,74.0,0.0,100.0,38.63,0.38
152,74.0,0.02,98.0,37.3,0.38

153,68.0,0.02,98.0,34.06,0.45
153,98.0,0.01,99.0,36.53,0.45
153,92.0,0.01,99.0,16.5,0.45

154,82.0,0.05,95.0,59.64,0.4
154,98.0,0.0,100.0,34.38,0.4
155,92.0,0.0,100.0,14.29,0.38

155,98.0,0.01,99.0,11.84,0.38
156,98.0,0.0,100.0,32.31,0.33
56,94.0,0.01,99.0,37.65,0.33
156,74.0,0.04,96.0,16.56,0.33
157,86.0,0.03,97.0,44.1,0.37

57,90.0,0.02,98.0,28.5,0.37
158,60.0,0.05,95.0,30.98,0.42
158,92.0,0.01,99.0,36.11,0.42
159,92.0,0.01,99.0,32.68,0.42
159,58.0,0.12,88.0,42.97,0.42
159,90.0,0.02,98.0,19.11,0.42
159,84.0,0.01,99.0,19.93,0.42
160,72.0,0.03,97.0,33.32,0.43
160,84.0,0.01,99.0,16.61,0.43
1160,82.0,0.03,97.0,51.23,0.43
161,98.0,0.0,100.0,25.36,0.48
161,78.0,0.01,99.0,46.01,0.48
162,98.0,0.01,99.0,12.01,0.3
162,92.0,0.02,98.0,46.88,0.3
162,94.0,0.01,99.0,56.28,0.3
163,90.0,0.0,100.0,27.21,0.32
163,80.0,0.01,99.0,21.48,0.32
163,90.0,0.01,99.0,39.28,0.32
164,88.0,0.01,99.0,39.11,0.38
164,70.0,0.05,95.0,55.7,0.39
164,96.0,0.01,99.0,34.75,0.38
164,88.0,0.01,99.0,16.21,0.39
165,90.0,0.03,97.0,20.03,0.28
1165,86.0,0.03,97.0,23.61,0.28
166,84.0,0.03,97.0,7.16,0.29

166,98.0,0.01,99.0,16.02,0.29
166,54.0,0.03,97.0,18.29,0.29
166,92.0,0.0,100.0,20.95,0.29
167,84.0,0.0,100.0,33.81,0.31
167,86.0,0.02,98.0,38.45,0.31
168,94.0,0.01,99.0,43.35,0.29
168,86.0,0.04,96.0,67.51,0.29
168,68.0,0.03,97.0,21.21,0.29
169,94.0,0.02,98.0,30.85,0.35
69,92.0,0.0,100.0,24.48,0.35
169,96.0,0.0,100.0,44.21,0.35
170,88.0,0.04,96.0,51.23,0.36
170,66.0,0.04,96.0,17.66,0.36
171,92.0,0.02,98.0,20.93,0.31
171,94.0,0.02,98.0,39.21,0.31
171,60.0,0.08,92.0,33.68,0.31
172,94.0,0.01,99.0,40.34,0.3
172,92.0,0.01,99.0,21.01,0.3
173,92.0,0.01,99.0,36.41,0.3
73,98.0,0.0,100.0,26.19,0.3
173,90.0,0.0,100.0,32.74,0.3
173,92.0,0.02,98.0,25.67,0.3
174,84.0,0.01,99.0,50.58,0.29
174,94.0,0.0,100.0,43.51,0.29
174,64.0,0.01,99.0,32.2,0.29

175,82.0,0.01,99.0,35.65,0.28
175,80.0,0.01,99.0,30.23,0.28
175,44.0,0.03,97.0,31.69,0.28
175,66.0,0.04,96.0,41.84,0.28
176,66.0,0.05,95.0,28.71,0.28
176,94.0,0.0,100.0,9.81,0.28
176,68.0,0.01,99.0,28.75,0.28
177,64.0,0.04,96.0,21.07,0.3
177,92.0,0.0,100.0,39.84,0.3
178,62.0,0.07,93.0,27.47,0.3
178,92.0,0.01,99.0,36.0,0.3

178,94.0,0.0,100.0,24.97,0.3
179,74.0,0.04,96.0,17.97,0.3
179,64.0,0.0,100.0,32.8,0.3

179,86.0,0.02,98.0,29.43,0.3
180,82.0,0.03,97.0,31.88,0.36
180,90.0,0.01,99.0,21.37,0.36
180,98.0,0.0,100.0,24.96,0.36
181,98.0,0.01,99.0,36.38,0.4
181,78.0,0.01,99.0,38.94,0.4
181,78.0,0.01,99.0,52.42,0.4
182,92.0,0.02,98.0,11.82,0.46
182,98.0,0.0,100.0,10.9,0.46

183,60.0,0.04,96.0,12.53,0.39
183,94.0,0.01,99.0,14.84,0.39
183,72.0,0.04,96.0,26.25,0.39
184,94.0,0.01,99.0,30.37,0.41
184,90.0,0.0,100.0,14.69,0.41
184,52.0,0.18,82.0,28.03,0.41
185,68.0,0.01,99.0,14.19,0.36
185,50.0,0.17,83.0,15.52,0.36
185,64.0,0.12,88.0,17.98,0.36
186,90.0,0.0,100.0,61.72,0.36
186,98.0,0.01,99.0,44.3,0.36
187,72.0,0.04,96.0,61.08,0.4
187,72.0,0.01,99.0,28.11,0.4
187,86.0,0.03,97.0,34.14,0.4
188,46.0,0.21,79.0,18.78,0.33
188,94.0,0.0,100.0,28.92,0.33
188,96.0,0.0,100.0,8.88,0.33
189,62.0,0.11,89.0,27.4,0.32

189,96.0,0.01,99.0,53.35,0.32
190,70.0,0.07,93.0,17.25,0.31
190,58.0,0.02,98.0,20.54,0.31
191,92.0,0.03,97.0,24.24,0.44
191,76.0,0.05,95.0,38.06,0.44

191,56.0,0.06,94.0,33.26,0.44
192,72.0,0.04,96.0,12.91,0.44

192,92.0,0.02,98.0,14.28,0.44
192,56.0,0.14,86.0,13.71,0.44
193,66.0,0.1,90.0,41.54,0.3

193,68.0,0.02,98.0,21.68,0.3

193,92.0,0.02,98.0,9.95,0.3
194,96.0,0.01,99.0,29.38,0.3
194,72.0,0.01,99.0,9.67,0.3


194,86.0,0.04,96.0,20.47,0.3
195,80.0,0.01,99.0,21.1,0.32

195,88.0,0.03,97.0,17.13,0.32
196,46.0,0.17,83.0,46.59,0.43
196,96.0,0.0,100.0,34.66,0.43
196,74.0,0.03,97.0,39.99,0.43
197,64.0,0.02,98.0,39.41,0.41
197,92.0,0.01,99.0,31.07,0.41
197,80.0,0.0,100.0,28.79,0.41
198,98.0,0.01,99.0,21.2,0.31

198,42.0,0.22,78.0,39.61,0.31
198,72.0,0.04,96.0,60.21,0.31
199,36.0,0.22,78.0,7.78,0.29

199,88.0,0.03,97.0,26.03,0.29
200,68.0,0.02,98.0,13.81,0.29
200,90.0,0.03,97.0,38.54,0.29
200,72.0,0.01,99.0,12.88,0.29
200,94.0,0.01,99.0,16.59,0.29
201,94.0,0.01,99.0,43.01,0.29
201,100.0,0.0,100.0,18.51,0.29
202,56.0,0.12,88.0,18.48,0.29
202,92.0,0.01,99.0,10.19,0.29
202,96.0,0.0,100.0,25.89,0.29
203,76.0,0.04,96.0,27.44,0.29
203,62.0,0.06,94.0,53.88,0.29
204,94.0,0.01,99.0,45.6,0.3
204,86.0,0.04,96.0,42.73,0.3
204,94.0,0.01,99.0,12.14,0.3
204,66.0,0.02,98.0,25.78,0.3
205,86.0,0.02,98.0,43.62,0.28
205,94.0,0.01,99.0,8.12,0.28


205,94.0,0.01,99.0,26.2,0.28
205,74.0,0.05,95.0,42.84,0.28
205,54.0,0.18,82.0,32.72,0.28
206,96.0,0.01,99.0,30.95,0.28
206,90.0,0.0,100.0,17.68,0.28

206,80.0,0.03,97.0,19.55,0.28
206,46.0,0.14,86.0,11.89,0.28
207,54.0,0.03,97.0,32.21,0.29
207,92.0,0.02,98.0,22.07,0.29
207,70.0,0.03,97.0,34.48,0.29
207,76.0,0.01,99.0,16.86,0.29
207,92.0,0.01,99.0,33.73,0.29
208,94.0,0.03,97.0,19.13,0.28
208,86.0,0.0,100.0,39.34,0.28
208,96.0,0.0,100.0,21.48,0.28
209,94.0,0.01,99.0,25.49,0.29
209,68.0,0.03,97.0,25.64,0.29
209,92.0,0.01,99.0,22.27,0.29
210,94.0,0.01,99.0,9.16,0.31

210,88.0,0.03,97.0,33.25,0.31
210,92.0,0.02,98.0,19.09,0.31

211,88.0,0.0,100.0,28.56,0.28
211,88.0,0.03,97.0,15.4,0.28

211,80.0,0.0,100.0,17.96,0.28
211,92.0,0.02,98.0,19.09,0.28
211,90.0,0.03,97.0,30.57,0.28
212,62.0,0.13,87.0,20.93,0.28
212,94.0,0.01,99.0,37.61,0.28
213,66.0,0.02,98.0,31.71,0.29
213,90.0,0.03,97.0,26.29,0.29
214,62.0,0.04,96.0,13.89,0.31
214,96.0,0.01,99.0,11.58,0.31
214,70.0,0.01,99.0,47.6,0.31
215,84.0,0.01,99.0,19.64,0.34
215,72.0,0.04,96.0,46.92,0.34
216,58.0,0.02,98.0,33.47,0.32
16,76.0,0.02,98.0,19.5,0.32
216,96.0,0.01,99.0,23.33,0.32
217,96.0,0.02,98.0,17.65,0.33
217,94.0,0.01,99.0,18.96,0.33
217,72.0,0.04,96.0,33.27,0.33
218,96.0,0.0,100.0,34.46,0.3
218,92.0,0.01,99.0,11.52,0.3
218,94.0,0.01,99.0,34.16,0.3
219,90.0,0.02,98.0,30.25,0.28
