episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
1,-12,0.55,45,242.99,0.5
2,-4,0.52,48,234.51,0.5
3,-20,0.59,41,240.65,0.5
4,-10,0.54,46,238.38,0.5
5,32,0.31,69,74.41,0.35
6,14,0.37,63,114.84,0.4
7,-12,0.53,47,210.89,0.4
8,24,0.36,64,187.21,0.41
9,46,0.22,78,63.92,0.41
10,26,0.33,67,159.88,0.45
11,24,0.34,66,146.45,0.42
12,48,0.18,82,65.32,0.42
13,10,0.34,66,74.15,0.38
14,-6,0.5,50,225.82,0.38
15,22,0.32,68,67.09,0.29
16,58,0.17,83,39.3,0.29
17,24,0.31,69,91.98,0.31
18,-4,0.39,61,135.63,0.31
19,42,0.26,74,72.15,0.3
20,32,0.26,74,81.39,0.3
21,24,0.3,70,50.74,0.3
22,40,0.23,77,51.25,0.28
23,36,0.21,79,50.25,0.28
24,50,0.15,85,54.12,0.28
25,54,0.17,83,55.35,0.31
26,16,0.35,65,70.92,0.31
27,42,0.21,79,43.77,0.31
28,18,0.29,71,59.38,0.31
29,46,0.21,79,80.71,0.31
30,54,0.14,86,22.71,0.31
31,22,0.32,68,111.76,0.31
32,64,0.12,88,58,0.31
33,48,0.19,81,69.47,0.33
34,64,0.1,90,55.96,0.33
35,46,0.16,84,63.37,0.33
36,36,0.26,74,79.23,0.33
37,42,0.18,82,38.22,0.33
38,50,0.19,81,74.67,0.33
39,44,0.21,79,90.49,0.33
40,34,0.2,80,63.82,0.33
41,46,0.14,86,102.3,0.33
42,56,0.16,84,55.69,0.33
43,68,0.11,89,49.89,0.38
44,58,0.14,86,54.68,0.38
45,36,0.22,78,75.8,0.38
46,56,0.19,81,45.74,0.28
47,58,0.13,87,29.17,0.28
48,30,0.23,77,73.77,0.28
49,30,0.25,75,74.45,0.28
50,52,0.22,78,77.23,0.28
51,34,0.24,76,49.95,0.28
52,62,0.11,89,55.8,0.3
53,46,0.23,77,53.53,0.3
54,30,0.19,81,59.71,0.3
55,56,0.11,89,55.43,0.28
56,72,0.04,96,34.82,0.28
57,52,0.12,88,36.94,0.28
58,44,0.16,84,50.85,0.33
59,58,0.16,84,71.87,0.34
60,34,0.17,83,76.44,0.33
61,60,0.18,82,22.27,0.47
62,38,0.24,76,73.71,0.47
63,28,0.22,78,68.49,0.47
64,52,0.14,86,74.58,0.47
65,56,0.11,89,85.86,0.35
66,40,0.19,81,79.47,0.35
67,76,0.08,92,77.27,0.34
68,68,0.09,91,81.47,0.34
69,60,0.09,91,39.07,0.34
70,36,0.25,75,93.57,0.34
71,44,0.18,82,61.97,0.34
72,58,0.16,84,71.08,0.32
73,80,0.08,92,46.95,0.32
74,52,0.19,81,56.6,0.32
75,64,0.13,87,108.53,0.33
76,48,0.21,79,111.51,0.3327
77,58,0.14,86,63.95,0.33
