episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
44.0,68.0,0.03,97.0,76.57,0.32
44.0,54.0,0.1,90.0,63.56,0.32
45.0,94.0,0.01,99.0,29.39,0.33
45.0,64.0,0.09,91.0,50.11,0.33
45.0,90.0,0.02,98.0,66.1,0.33
46.0,78.0,0.04,96.0,52.54,0.31
46.0,82.0,0.03,97.0,55.1,0.31
47.0,88.0,0.03,97.0,43.08,0.29
47.0,66.0,0.09,91.0,70.67,0.29
47.0,74.0,0.05,95.0,44.35,0.29
47.0,86.0,0.03,97.0,28.04,0.29
47.0,60.0,0.06,94.0,56.45,0.29
48.0,84.0,0.05,95.0,44.93,0.3
48.0,56.0,0.1,90.0,51.69,0.3
49.0,36.0,0.19,81.0,56.23,0.29
49.0,84.0,0.03,97.0,49.25,0.29
449.0,90.0,0.02,98.0,33.13,0.29
49.0,30.0,0.23,77.0,61.58,0.29
50.0,48.0,0.11,89.0,63.96,0.27
50.0,76.0,0.06,94.0,51.87,0.27
50.0,88.0,0.03,97.0,57.09,0.27
51.0,64.0,0.06,94.0,23.49,0.28
51.0,86.0,0.01,99.0,34.91,0.28
52.0,56.0,0.04,96.0,56.02,0.28
52.0,54.0,0.15,85.0,70.92,0.28
52.0,78.0,0.03,97.0,37.03,0.28
52.0,40.0,0.21,79.0,47.97,0.28
53.0,58.0,0.05,95.0,45.33,0.395
53.0,78.0,0.04,96.0,65.45,0.4
54.0,80.0,0.03,97.0,49.67,0.33
54.0,80.0,0.06,94.0,28.96,0.33
55.0,74.0,0.04,96.0,48.16,0.31
55.0,88.0,0.01,99.0,58.93,0.31
55.0,88.0,0.03,97.0,61.04,0.31
56.0,86.0,0.05,95.0,31.39,0.3
56.0,90.0,0.0,100.0,46.37,0.3
57.0,56.0,0.04,96.0,67.22,0.28
57.0,88.0,0.0,100.0,54.73,0.28
57.0,74.0,0.05,95.0,38.78,0.28
58.0,54.0,0.15,85.0,84.13,0.36
558.0,54.0,0.1,90.0,61.31,0.36
59.0,80.0,0.03,97.0,51.94,0.39
59.0,92.0,0.02,98.0,59.64,0.39
60.0,76.0,0.12,88.0,44.91,0.44
60.0,80.0,0.01,99.0,33.79,0.44
61.0,56.0,0.1,90.0,52.26,0.31
61.0,80.0,0.03,97.0,59.34,0.31
61.0,80.0,0.04,96.0,40.78,0.3
61.0,82.0,0.03,97.0,53.08,0.31
62.0,86.0,0.04,96.0,13.92,0.36
62.0,66.0,0.05,95.0,37.19,0.36
63.0,96.0,0.0,100.0,27.79,0.35
63.0,86.0,0.04,96.0,57.18,0.35
63.0,88.0,0.02,98.0,46.46,0.35
63.0,84.0,0.04,96.0,55.19,0.35
64.0,54.0,0.09,91.0,38.95,0.34
64.0,58.0,0.08,92.0,30.17,0.34
65.0,88.0,0.01,99.0,31.07,0.32
65.0,76.0,0.08,92.0,56.54,0.32
65.0,82.0,0.04,96.0,36.77,0.32
66.0,80.0,0.06,94.0,47.95,0.36
66.0,74.0,0.07,93.0,91.02,0.36
67.0,58.0,0.1,90.0,44.75,0.27
67.0,50.0,0.11,89.0,44.26,0.27
67.0,72.0,0.03,97.0,48.57,0.27
68.0,68.0,0.02,98.0,37.42,0.29
668.0,64.0,0.05,95.0,44.24,0.29
68.0,72.0,0.06,94.0,43.06,0.29
68.0,82.0,0.02,98.0,70.93,0.29
69.0,74.0,0.02,98.0,31.41,0.31
69.0,82.0,0.05,95.0,30.79,0.31
69.0,60.0,0.03,97.0,41.58,0.31
70.0,70.0,0.1,90.0,56.21,0.3
70.0,92.0,0.02,98.0,50.11,0.3
70.0,92.0,0.01,99.0,44.43,0.3
71.0,64.0,0.04,96.0,49.22,0.28
71.0,72.0,0.06,94.0,58.24,0.28
71.0,82.0,0.05,95.0,64.68,0.28
71.0,82.0,0.07,93.0,41.67,0.28
72.0,84.0,0.01,99.0,34.88,0.31
2.0,64.0,0.05,95.0,74.44,0.31
72.0,88.0,0.05,95.0,43.88,0.31
73.0,62.0,0.15,85.0,62.99,0.3
73.0,88.0,0.04,96.0,14.72,0.3
74.0,84.0,0.03,97.0,56.84,0.42
74.0,94.0,0.0,100.0,25.98,0.42
74.0,60.0,0.07,93.0,54.77,0.42
74.0,76.0,0.06,94.0,25.84,0.42
75.0,72.0,0.05,95.0,23.57,0.39
76.0,78.0,0.05,95.0,52.96,0.31
76.0,58.0,0.07,93.0,64.99,0.31
