episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
121,1029.8,0.08,92.0,71.42,4.72,0.1
122,1011.17,0.06,94.0,67.93,5.18,0.09
123,609.07,0.07,93.0,61.5,9.38,1.13
124,1030.22,0.04,96.0,79.84,5.23,0.1
125,528.76,0.05,95.0,62.87,10.38,0.1
126,652.77,0.06,94.0,38.44,8.99,0.1
127,1003.0,0.02,98.0,27.62,5.74,0.1
128,916.0,0.04,96.0,33.93,6.42,0.1
129,1194.0,0.06,94.0,33.87,3.23,0.09
130,888.55,0.02,98.0,61.49,6.91,0.1
131,932.75,0.06,94.0,79.78,6.01,0.09
132,1182.88,0.07,93.0,89.8,3.21,0.1
133,1071.72,0.08,92.0,80.37,4.26,0.13
134,947.86,0.04,96.0,50.68,6.08,0.11
135,961.18,0.06,94.0,78.26,5.71,0.1
136,1154.83,0.04,96.0,62.68,3.93,0.1
137,1102.39,0.04,96.0,63.19,4.48,0.1
138,1184.92,0.12,88.0,42.85,2.4,0.09
139,924.75,0.07,93.0,75.67,5.98,0.1
140,975.41,0.1,90.0,56.62,5.05,0.1
141,412.0,0.05,95.0,68.61,11.61,0.09
142,1137.92,0.04,96.0,58.61,4.11,0.09
143,1112.31,0.05,95.0,63.4,4.24,0.1
144,388.0,0.04,96.0,79.1,11.92,1.15
145,533.14,0.02,98.0,60.03,10.54,0.1
146,619.0,0.05,95.0,80.03,9.43,0.09
147,284.0,0.06,94.0,51.96,12.91,0.09
148,773.97,0.08,92.0,78.22,7.5,0.1
149,1176.67,0.0,100.0,48.19,4.23,0.1
150,461.0,0.03,97.0,71.54,11.22,0.09
151,553.21,0.04,96.0,37.48,10.2,0.1
152,852.42,0.01,99.0,71.41,7.38,0.1
153,862.27,0.02,98.0,76.02,7.18,0.1
154,874.04,0.05,95.0,78.43,6.75,0.1
155,696.17,0.05,95.0,46.12,8.62,0.1
156,1232.15,0.08,92.0,91.74,2.52,0.1
157,1029.4,0.03,97.0,37.41,5.36,0.1
158,721.0,0.03,97.0,38.4,8.54,0.09
159,797.0,0.05,95.0,64.39,7.56,0.1
160,578.86,0.09,91.0,83.13,9.54,0.1
161,769.03,0.03,97.0,79.32,8.04,0.1
162,1107.6,0.03,97.0,33.34,4.55,0.1
163,828.41,0.05,95.0,66.66,7.23,0.1
164,1249.06,0.06,94.0,54.56,2.65,1.13
165,374.29,0.05,95.0,39.76,12.01,0.1
166,656.67,0.05,95.0,73.74,9.03,0.09
167,466.0,0.02,98.0,66.26,11.22,0.1
168,908.0,0.04,96.0,40.32,6.5,0.09
169,842.21,0.03,97.0,41.84,7.29,0.09
170,1203.22,0.06,94.0,41.3,3.14,0.09
171,1074.58,0.04,96.0,53.57,4.76,0.1
172,1285.29,0.02,98.0,51.68,2.86,0.1
173,355.0,0.05,95.0,87.62,12.21,0.1
174,950.5,0.08,92.0,56.3,5.58,0.09
175,785.81,0.04,96.0,65.71,7.77,0.1
176,810.7,0.05,95.0,68.0,7.41,0.1
177,633.93,0.03,97.0,75.46,9.43,0.09
178,417.0,0.03,97.0,59.32,11.67,0.09
179,238.0,0.02,98.0,35.67,13.55,0.09
180,902.97,0.04,96.0,36.35,6.55,0.1
181,717.98,0.05,95.0,66.3,8.39,0.1
182,740.0,0.02,98.0,44.28,8.43,0.1
183,696.0,0.02,98.0,61.94,8.88,0.1
184,896.64,0.07,93.0,50.96,6.28,0.1
185,1295.74,0.03,97.0,58.7,2.61,1.15
186,115.0,0.05,95.0,45.2,14.74,0.1
187,1234.63,0.04,96.0,53.21,3.1,0.1
188,677.62,0.05,95.0,46.78,8.81,0.1
189,657.75,0.04,96.0,46.81,9.11,0.1
190,1181.0,0.01,99.0,46.04,4.06,0.09
191,755.8,0.03,97.0,82.62,8.18,0.1
192,756.25,0.03,97.0,50.04,8.17,0.1
193,769.0,0.05,95.0,76.53,7.85,0.09
194,667.47,0.06,94.0,52.93,8.84,0.09
195,1278.61,0.05,95.0,53.49,2.49,0.1
196,501.45,0.03,97.0,60.91,10.8,0.1
197,1258.0,0.04,96.0,71.31,2.85,0.1
198,810.34,0.04,96.0,47.58,7.52,0.1
199,1306.53,0.03,97.0,76.36,2.5,0.1
200,721.6,0.04,96.0,25.31,8.44,0.1
201,771.0,0.06,94.0,36.19,7.73,0.09
202,1057.08,0.07,93.0,81.01,4.56,0.09
203,1198.67,0.02,98.0,84.88,3.75,0.1
204,1151.6,0.03,97.0,57.64,4.1,0.09
205,831.75,0.03,97.0,52.94,7.39,1.12
206,931.0,0.03,97.0,38.82,6.37,0.09
207,919.53,0.03,97.0,49.73,6.49,0.09
208,932.59,0.02,98.0,62.71,6.46,0.1
209,1029.89,0.04,96.0,45.15,5.23,0.11
210,986.0,0.0,100.0,32.53,6.14,0.1
211,998.81,0.01,99.0,29.38,5.9,0.09
212,736.2,0.03,97.0,51.49,8.38,0.1
213,1130.07,0.01,99.0,50.12,4.58,0.1
214,775.0,0.03,97.0,93.23,7.98,0.09
215,1317.36,0.01,99.0,64.75,2.68,0.1
216,988.41,0.01,99.0,64.54,6.01,0.1
217,1013.0,0.05,95.0,44.02,5.28,0.1
218,826.94,0.02,98.0,46.68,7.54,0.09
219,798.48,0.02,98.0,101.71,7.83,0.1
220,1019.94,0.02,98.0,39.68,5.57,0.1
221,798.81,0.05,95.0,54.99,7.54,0.09
222,1060.4,0.02,98.0,55.57,5.16,0.09
223,1088.0,0.03,97.0,47.13,4.75,0.09
224,864.0,0.02,98.0,52.56,7.16,0.1
225,995.1,0.01,99.0,112.35,5.94,0.1
226,1026.43,0.02,98.0,58.28,5.51,1.11
227,969.89,0.0,100.0,61.43,6.3,0.1
228,1185.31,0.03,97.0,70.05,3.75,0.1
229,641.14,0.04,96.0,63.37,9.28,0.1
230,325.42,0.03,97.0,33.94,12.61,0.09
231,1184.0,0.03,97.0,55.03,3.76,0.1
232,971.0,0.02,98.0,51.64,6.07,0.1
233,626.0,0.02,98.0,43.18,9.59,0.09
234,993.0,0.04,96.0,39.55,5.61,0.09
235,1277.34,0.01,99.0,36.46,3.09,0.1
236,769.35,0.03,97.0,47.76,8.04,0.1
237,933.33,0.02,98.0,89.84,6.46,0.1
238,1186.23,0.06,94.0,52.27,3.32,0.1
239,1255.25,0.02,98.0,64.39,3.17,0.1
240,853.8,0.03,97.0,76.44,7.17,0.1
241,800.14,0.04,96.0,39.96,7.62,0.1
242,1171.5,0.02,98.0,62.51,4.03,0.1
243,1236.5,0.01,99.0,56.93,3.5,0.1
244,449.0,0.07,93.0,38.13,11.1,0.1
245,865.0,0.03,97.0,66.16,7.05,0.1
246,1203.7,0.03,97.0,39.45,3.56,1.14
247,683.67,0.01,99.0,42.84,9.08,0.1
248,1056.47,0.02,98.0,59.4,5.2,0.1
249,1030.33,0.02,98.0,64.8,5.47,0.1
250,746.0,0.01,99.0,64.64,8.45,0.09
251,645.41,0.04,96.0,47.76,9.24,0.1
252,922.0,0.02,98.0,76.05,6.57,0.09
253,980.0,0.01,99.0,69.09,6.09,0.09
254,1088.0,0.0,100.0,34.06,5.12,0.1
255,904.75,0.01,99.0,90.05,6.85,0.1
256,696.83,0.03,97.0,59.99,8.79,0.1
257,1098.57,0.02,98.0,40.05,4.77,0.1
258,1040.0,0.04,96.0,42.58,5.12,0.09
259,1045.6,0.0,100.0,49.58,5.54,0.1
260,219.0,0.06,94.0,41.06,13.61,0.1
261,1106.39,0.02,98.0,85.56,4.69,0.1
262,645.0,0.07,93.0,65.51,8.99,0.14
263,1030.7,0.02,98.0,55.88,5.46,0.13
264,1272.46,0.03,97.0,77.46,2.85,0.11
265,936.83,0.01,99.0,73.34,6.53,0.1
266,513.0,0.03,97.0,65.11,10.68,0.1
267,917.49,0.02,98.0,68.38,6.62,1.12
268,929.8,0.02,98.0,82.85,6.49,0.1
269,869.5,0.04,96.0,34.78,6.9,0.1
270,731.61,0.01,99.0,55.5,8.6,0.1
271,898.7,0.04,96.0,59.31,6.6,0.1
272,767.5,0.01,99.0,34.16,8.24,0.1
273,565.0,0.02,98.0,64.22,10.21,0.1
274,717.49,0.03,97.0,78.56,8.57,0.1
275,821.0,0.01,99.0,72.22,7.7,0.1
276,1356.83,0.03,97.0,61.71,1.98,0.1
277,1147.33,0.01,99.0,43.84,4.4,0.1
278,1246.13,0.02,98.0,61.32,3.26,0.1
279,938.11,0.02,98.0,52.89,6.41,0.09
280,1056.48,0.03,97.0,27.56,5.08,0.1
281,653.27,0.02,98.0,71.79,9.31,0.09
282,1156.5,0.02,98.0,96.25,4.18,0.09
283,1055.14,0.02,98.0,68.26,5.21,0.09
284,1126.71,0.0,100.0,49.05,4.73,0.1
285,899.16,0.02,98.0,66.93,6.8,0.1
