1,-12.0,0.55,45.0,242.99,0.5
1,-4.0,0.52,48.0,234.51,0.5
1,-20.0,0.59,41.0,240.65,0.5
1,-10.0,0.54,46.0,238.38,0.5
2,32.0,0.31,69.0,74.41,0.35

3,14.0,0.37,63.0,114.84,0.4

3,-12.0,0.53,47.0,210.89,0.4
4,24.0,0.36,64.0,187.21,0.41
,10.0,0.41,59.0,53.3,0.41
4,46.0,0.22,78.0,63.92,0.41

5,26.0,0.33,67.0,159.88,0.45
6,24.0,0.34,66.0,146.45,0.42
12.0,0.31,69.0,115.59,0.42
6,48.0,0.18,82.0,65.32,0.42
7,10.0,0.34,66.0,74.15,0.38
7,-6.0,0.5,50.0,225.82,0.38
8,22.0,0.32,68.0,67.09,0.29
8,58.0,0.17,83.0,39.3,0.29

9,24.0,0.31,69.0,91.98,0.31
9,-4.0,0.39,61.0,135.63,0.31
10,42.0,0.26,74.0,72.15,0.3

10,32.0,0.26,74.0,81.39,0.3
10,24.0,0.3,70.0,50.74,0.3
11,40.0,0.23,77.0,51.25,0.28
11,36.0,0.21,79.0,50.25,0.28
11,50.0,0.15,85.0,54.12,0.28
12,54.0,0.17,83.0,55.35,0.31
12,16.0,0.35,65.0,70.92,0.31
13,42.0,0.21,79.0,43.77,0.31
13,18.0,0.29,71.0,59.38,0.31
13,46.0,0.21,79.0,80.71,0.31
13,54.0,0.14,86.0,22.71,0.31
13,22.0,0.32,68.0,111.76,0.31
13,64.0,0.12,88.0,58.0,0.31
14,48.0,0.19,81.0,69.47,0.33
14,64.0,0.1,90.0,55.96,0.33

15,46.0,0.16,84.0,63.37,0.33
15,36.0,0.26,74.0,79.23,0.33
15,42.0,0.18,82.0,38.22,0.33
15,50.0,0.19,81.0,74.67,0.33
16,44.0,0.21,79.0,90.49,0.33
16,34.0,0.2,80.0,63.82,0.33
16,46.0,0.14,86.0,102.3,0.33

16,56.0,0.16,84.0,55.69,0.33
17,68.0,0.11,89.0,49.89,0.38
17,58.0,0.14,86.0,54.68,0.38
17,36.0,0.22,78.0,75.8,0.38
18,56.0,0.19,81.0,45.74,0.28
18,58.0,0.13,87.0,29.17,0.28
18,30.0,0.23,77.0,73.77,0.28
18,30.0,0.25,75.0,74.45,0.28
18,52.0,0.22,78.0,77.23,0.28
18,34.0,0.24,76.0,49.95,0.28
19,62.0,0.11,89.0,55.8,0.3

19,46.0,0.23,77.0,53.53,0.3
19,30.0,0.19,81.0,59.71,0.3
20,56.0,0.11,89.0,55.43,0.28
20,72.0,0.04,96.0,34.82,0.28
20,52.0,0.12,88.0,36.94,0.28

21,44.0,0.16,84.0,50.85,0.33
21,58.0,0.16,84.0,71.87,0.34
21,34.0,0.17,83.0,76.44,0.33
22,60.0,0.18,82.0,22.27,0.47
22,38.0,0.24,76.0,73.71,0.47
22,28.0,0.22,78.0,68.49,0.47

22,52.0,0.14,86.0,74.58,0.47
