episode,reward,execution_time
148,52.0,0.12
149,16.0,0.12
149,68.0,0.12
149,68.0,0.12
150,80.0,0.11
150,74.0,0.11
151,78.0,0.11
151,2.0,0.11
151,76.0,0.11
152,72.0,0.11
152,6.0,0.11
152,22.0,0.11
153,80.0,0.12
153,74.0,0.12
153,72.0,0.12
154,82.0,0.11
154,60.0,0.11
154,64.0,0.11
155,54.0,0.11
155,56.0,0.11
156,84.0,0.11
157,48.0,0.12
158,62.0,0.12
158,70.0,0.12
158,72.0,0.12
159,76.0,0.11
159,76.0,0.11
160,32.0,0.11
160,72.0,0.11
161,68.0,0.12
162,44.0,0.18
163,78.0,0.18
163,66.0,0.18
164,56.0,0.16
165,66.0,0.12
165,84.0,0.12
166,54.0,0.13
166,72.0,0.13
167,68.0,0.11
167,72.0,0.11
168,78.0,0.13
168,80.0,0.13
169,82.0,0.12
169,68.0,0.12
170,24.0,0.13
171,82.0,0.15
172,62.0,0.14
173,80.0,0.13
174,74.0,0.12
174,56.0,0.12
174,86.0,0.12
175,40.0,0.12
175,70.0,0.12
176,74.0,0.12
176,70.0,0.12
177,68.0,0.14
177,60.0,0.14
178,58.0,0.16
178,80.0,0.16
179,74.0,0.14
179,78.0,0.14
180,68.0,0.14
180,80.0,0.14
181,60.0,0.13
181,68.0,0.13
182,16.0,0.14
182,12.0,0.14
183,70.0,0.12
183,68.0,0.12
184,66.0,0.11
184,64.0,0.11
185,80.0,0.11
186,76.0,0.13
186,38.0,0.13
187,76.0,0.15
187,62.0,0.15
187,74.0,0.15
188,56.0,0.13
188,72.0,0.13
189,58.0,0.13
190,84.0,0.12
190,72.0,0.12
191,36.0,0.11
192,56.0,0.12
193,72.0,0.11
193,56.0,0.11
193,36.0,0.11
194,54.0,0.13
194,62.0,0.13
195,-2.0,0.11
195,66.0,0.11
196,74.0,0.14
196,72.0,0.14
196,62.0,0.14
197,54.0,0.14
197,22.0,0.14
198,76.0,0.12
198,64.0,0.12
198,54.0,0.12
199,74.0,0.11
199,18.0,0.11
200,60.0,0.12
200,62.0,0.12
