episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
113.0,928.84,0.15,85.0,69.7,4.9,0.35
114.0,824.1,0.23,77.0,117.75,5.0,0.39
115.0,1141.28,0.18,82.0,96.08,1.86,0.37
116.0,812.87,0.16,84.0,44.82,6.13,0.34
117.0,736.08,0.18,82.0,95.3,6.8,0.4
118.0,677.92,0.21,79.0,119.03,7.15,0.45
119.0,845.0,0.13,87.0,48.52,6.14,0.34
120.0,863.86,0.19,81.0,46.06,5.1,0.33
121.0,736.73,0.18,82.0,105.44,6.8,0.33
122.0,1118.64,0.2,80.0,86.14,1.77,0.33
123.0,1051.89,0.25,75.0,40.6,1.64,0.29
124.0,487.0,0.13,87.0,92.56,10.25,0.33
125.0,1205.0,0.13,87.0,34.44,2.0,0.3
126.0,692.36,0.23,77.0,75.88,6.71,0.31
127.0,962.0,0.22,78.0,145.05,3.38,0.31
128.0,1119.96,0.18,82.0,80.55,2.12,0.36
129.0,772.03,0.17,83.0,105.3,6.49,0.35
130.0,752.44,0.14,86.0,54.7,7.09,0.35
131.0,443.22,0.25,75.0,134.09,9.76,0.34
132.0,712.89,0.15,85.0,33.47,7.44,0.46
133.0,656.86,0.18,82.0,107.09,7.77,0.36
134.0,738.2,0.23,77.0,104.97,6.11,0.34
135.0,761.39,0.15,85.0,39.55,6.87,0.36
136.0,859.43,0.17,83.0,71.75,5.44,0.38
137.0,638.74,0.14,86.0,111.89,8.41,0.42
138.0,683.86,0.16,84.0,72.82,7.67,0.55
139.0,590.69,0.17,83.0,90.93,8.68,0.48
140.0,750.68,0.1,90.0,57.17,7.55,0.49
141.0,784.01,0.15,85.0,111.77,6.6,0.43
142.0,771.81,0.16,84.0,128.61,6.62,0.37
143.0,1105.29,0.17,83.0,75.09,2.48,0.36
144.0,773.28,0.21,79.0,70.09,5.95,0.36
145.0,581.0,0.13,87.0,55.36,9.17,0.35
146.0,866.0,0.18,82.0,67.06,5.22,0.41
147.0,1002.93,0.18,82.0,64.53,3.55,0.33
148.0,398.0,0.14,86.0,111.86,11.21,0.34
149.0,1003.69,0.25,75.0,96.85,2.28,0.31
150.0,642.0,0.2,80.0,84.23,7.72,0.3
151.0,1192.47,0.16,84.0,116.22,1.61,0.33
152.0,1080.06,0.2,80.0,111.74,2.25,0.31
153.0,623.87,0.21,79.0,39.04,7.84,0.3
154.0,711.27,0.13,87.0,71.17,7.68,0.37
155.0,599.96,0.13,87.0,64.02,8.95,0.34
156.0,611.55,0.12,88.0,100.59,8.91,0.31
157.0,522.0,0.17,83.0,78.77,9.51,0.3
158.0,812.08,0.16,84.0,77.39,6.14,0.32
159.0,707.36,0.26,74.0,80.8,6.09,0.32
160.0,951.76,0.24,76.0,41.91,3.16,0.32
161.0,1016.13,0.13,87.0,89.31,4.17,0.32
162.0,509.0,0.15,85.0,70.2,9.84,0.33
163.0,833.0,0.19,81.0,46.86,5.48,0.32
164.0,912.14,0.08,92.0,74.63,6.0,0.3
165.0,469.0,0.23,77.0,75.49,9.61,0.32
166.0,426.0,0.18,82.0,86.46,10.59,0.32
167.0,931.25,0.18,82.0,56.69,4.42,0.29
168.0,829.01,0.17,83.0,74.4,5.81,0.31
169.0,635.54,0.23,77.0,78.13,7.45,0.31
170.0,1134.12,0.2,80.0,100.61,1.57,0.31
171.0,725.54,0.14,86.0,78.28,7.4,0.31
172.0,704.93,0.17,83.0,64.78,7.3,0.29
173.0,745.03,0.17,83.0,64.75,6.82,0.3
174.0,899.0,0.15,85.0,86.0,5.25,0.31
175.0,1144.75,0.15,85.0,55.44,2.36,0.31
176.0,964.58,0.13,87.0,74.35,4.76,0.31
177.0,725.73,0.13,87.0,33.6,7.51,0.3
178.0,878.03,0.17,83.0,72.12,5.22,0.31
179.0,717.63,0.19,81.0,45.47,6.91,0.3
180.0,578.02,0.19,81.0,104.11,8.63,0.3
181.0,1034.42,0.18,82.0,101.08,3.17,0.29
182.0,941.36,0.17,83.0,99.63,4.45,0.31
183.0,963.65,0.15,85.0,56.51,4.49,0.31
184.0,904.81,0.26,74.0,105.27,3.42,0.32
185.0,651.67,0.14,86.0,57.0,8.26,0.31
186.0,646.0,0.12,88.0,66.34,8.52,0.32
187.0,672.0,0.14,86.0,67.18,8.02,0.3
188.0,914.0,0.14,86.0,48.73,5.21,0.33
189.0,573.63,0.18,82.0,52.47,8.79,0.32
190.0,666.01,0.15,85.0,65.68,7.99,0.3
191.0,400.0,0.2,80.0,71.58,10.75,0.32
192.0,1006.46,0.17,83.0,74.9,3.67,0.31
193.0,638.87,0.07,93.0,56.0,9.05,0.32
194.0,887.0,0.19,81.0,110.34,4.81,0.31
195.0,893.16,0.2,80.0,69.54,4.59,0.3
196.0,652.2,0.21,79.0,82.38,7.48,0.3
197.0,746.03,0.28,72.0,89.88,5.25,0.3
198.0,810.03,0.17,83.0,47.48,6.04,0.31
199.0,1038.97,0.22,78.0,81.21,2.4,0.3
200.0,504.0,0.12,88.0,67.53,10.14,0.31
201.0,443.08,0.22,78.0,57.5,10.04,0.34
202.0,935.07,0.1,90.0,47.04,5.5,0.53
203.0,422.77,0.21,79.0,99.21,10.38,0.46
204.0,905.17,0.13,87.0,21.78,5.45,0.51
205.0,467.08,0.18,82.0,103.65,10.08,0.51
