1,-28.0,0.11
1,-18.0,0.11
1,-52.0,0.11
1,-2.0,0.11

1,-20.0,0.11
1,-56.0,0.11
2,-46.0,0.1
2,-24.0,0.1
2,-6.0,0.1
2,-26.0,0.1
3,-12.0,0.1
3,-10.0,0.1
3,-30.0,0.1
3,-20.0,0.1
3,-14.0,0.1
3,-32.0,0.1
4,-68.0,0.1
4,-40.0,0.1
4,-30.0,0.1
5,-70.0,0.1
5,-40.0,0.1
5,-66.0,0.1
5,-70.0,0.1
5,-60.0,0.1
6,-26.0,0.1
6,-10.0,0.1
6,-18.0,0.1
7,-22.0,0.1
7,0.0,0.1
8,-40.0,0.1
8,-12.0,0.18,-32.0,0.1
8,16.0,0.1
8,-26.0,0.1
8,-18.0,0.1
9,-28.0,0.1
9,-24.0,0.1

10,-6.0,0.1
10,-12.0,0.1
10,-4.0,0.1
10,-12.0,0.1
10,6.0,0.1
11,0.0,0.11

11,0.0,0.11

11,-6.0,0.11

11,20.0,0.11
12,-62.0,0.1
12,-58.0,0.1
12,0.0,0.1

12,-20.0,0.1
12,-64.0,0.1
13,-58.0,0.11
13,-40.0,0.11
13,-52.0,0.11
13,-22.0,0.11
13,-22.0,0.11
14,8.0,0.1

14,10.0,0.1
14,-30.0,0.1
14,-2.0,0.1
15,2.0,0.1

15,-36.0,0.1
15,4.0,0.1

15,10.0,0.1
16,-2.0,0.1

16,-18.0,0.1
16,48.0,0.09
16,14.0,0.09

17,14.0,0.1
17,14.0,0.1
17,2.0,0.1
17,-14.0,0.1
17,20.0,0.1
18,-16.0,0.12
18,-46.0,0.12
18,-14.0,0.12
19,18.0,0.11
19,12.0,0.11
19,-26.0,0.11
19,12.0,0.11
19,26.0,0.11
19,-6.0,0.11
20,-48.0,0.1220,-28.0,0.12
20,-16.0,0.12
20,-18.0,0.12
21,40.0,0.11
21,42.0,0.11
21,14.0,0.11
21,16.0,0.11
21,22.0,0.11
21,8.0,0.11
21,18.0,0.11
21,36.0,0.11
22,18.0,0.0922,34.0,0.1
22,28.0,0.1
22,16.0,0.09
