episode,r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,execution_time
90,62,100,10.160913,1,1,62,0.19,81,68.59,10.51,0.12
91,72,100,10.281605,1,0,72,0.14,86,62.92,10.1,0.11
92,52,100,10.392027,1,4,52,0.19,81,81.45,6.17,0.11
93,34,100,10.501664,-1,2,34,0.22,78,108.09,6.3,0.1
94,62,100,10.625121,1,0,62,0.15,85,58.56,3.3,0.1
95,62,100,10.747623,-1,5,62,0.13,87,72.19,8.84,0.12
96,52,100,10.870719,-1,5,52,0.23,77,45.99,9.77,0.11
97,64,100,10.98668,1,1,64,0.12,88,105.3,6.78,0.12
98,62,100,11.123369,1,2,62,0.15,85,40.02,6.21,0.11
99,52,100,11.265917,1,3,52,0.19,81,56.22,9.38,0.13
100,40,100,11.390386,1,3,40,0.25,75,63.84,7.86,0.13
101,62,100,11.574123,1,4,62,0.13,87,92.95,4.95,0.12
102,50,100,11.773535,1,2,50,0.18,82,126.32,9.61,0.18
103,74,100,11.964064,1,1,74,0.13,87,95.12,9.26,0.19
104,46,100,12.156653,1,1,46,0.2,80,83.98,8.3,0.18
105,46,100,12.344099,1,4,46,0.19,81,103.48,7.34,0.18
106,40,100,12.544062,-1,0,40,0.25,75,165.52,8.42,0.17
107,64,100,12.736403,1,4,64,0.18,82,179.55,11.12,0.18
108,62,100,12.939665,1,3,62,0.15,85,109.5,9.39,0.18
109,56,100,13.114964,1,3,56,0.19,81,83.42,12.44,0.19
110,38,100,13.302199,-1,5,38,0.23,77,67.02,7.01,0.16
111,52,100,13.490948,1,2,52,0.23,77,63.03,10.92,0.17
112,56,100,13.685531,1,2,56,0.18,82,65.16,4.96,0.17
113,44,100,13.856085,-1,5,44,0.24,76,54.83,8.53,0.18
114,40,100,14.037353,-1,2,40,0.24,76,68.32,10.89,0.16
115,44,100,14.22969,-1,5,44,0.25,75,94.92,11.25,0.17
116,48,100,14.415642,-1,4,48,0.15,85,68.53,7.78,0.18
117,68,100,14.604335,1,2,68,0.14,86,101.51,12.53,0.17
118,42,100,14.800194,1,1,42,0.2,80,134.2,8.44,0.18
119,44,100,14.999833,1,4,44,0.19,81,102.87,8.21,0.18
120,64,100,15.187829,-1,5,64,0.16,84,60.77,4.42,0.19
121,62,100,15.381414,1,3,62,0.16,84,31.89,11.67,0.18
122,66,100,15.565983,1,0,66,0.17,83,48.99,10.26,0.18
123,60,100,15.750402,-1,5,60,0.2,80,15.34,13.2,0.17
124,58,100,15.940362,1,2,58,0.21,79,40.18,9.73,0.17
125,42,100,16.128366,1,2,42,0.24,76,62.88,11.32,0.18
126,44,100,16.328204,1,3,44,0.22,78,90.94,9.88,0.17
127,70,100,16.521187,1,0,70,0.15,85,57.83,13.69,0.18
128,66,100,16.740198,1,4,66,0.14,86,78.57,6.95,0.18
129,56,100,16.922988,-1,5,56,0.21,79,108.84,10.05,0.2
130,64,100,17.117235,-1,5,64,0.18,82,94.86,9.29,0.17
131,60,100,17.328315,1,4,60,0.17,83,58.37,10.76,0.18
132,56,100,17.527005,-1,5,56,0.18,82,83.79,11.64,0.2
133,52,100,17.712318,1,1,52,0.2,80,92.73,8.02,0.18
134,50,100,17.893495,1,4,50,0.22,78,98.44,10.58,0.17
135,58,100,18.087387,1,4,58,0.2,80,106.8,2.33,0.17
136,58,100,18.284686,1,1,58,0.18,82,71.53,4.91,0.18
137,66,100,18.482185,1,4,66,0.16,84,114.38,10.43,0.18
138,46,100,18.678143,1,0,46,0.18,82,64.67,4.99,0.19
139,62,100,18.866656,-1,5,62,0.18,82,84.1,11.02,0.18
140,52,100,19.054764,1,4,52,0.2,80,112.04,10.8,0.17
141,66,100,19.248641,1,2,66,0.16,84,105.97,7.73,0.18
142,72,100,19.438832,1,3,72,0.14,86,89.73,9.6,0.18
143,56,100,19.636472,1,4,56,0.18,82,72.57,11.74,0.18
144,50,100,19.826308,1,0,50,0.21,79,103.03,4.02,0.18
145,62,100,20.033952,1,2,62,0.14,86,88.92,8.24,0.18
146,44,100,20.244338,-1,2,44,0.18,82,56.91,4.59,0.19
