1,30.0,0.25,75.0,72.17,4.53,0.1
2,50.0,0.24,76.0,75.5,10.32,0.1
3,60.0,0.18,82.0,71.95,6.43,0.1
4,48.0,0.21,79.0,116.57,5.06,0.09
5,52.0,0.15,85.0,98.48,7.59,0.12
6,48.0,0.24,76.0,73.91,12.23,0.09
7,56.0,0.18,82.0,83.39,3.39,0.1
8,52.0,0.23,77.0,65.85,5.82,0.1
9,56.0,0.19,81.0,62.4,7.11,0.1
10,42.0,0.18,82.0,83.03,2.82,0.1
11,52.0,0.21,79.0,104.6,12.33,0.1
12,58.0,0.19,81.0,85.42,9.84,0.1
13,62.0,0.17,83.0,30.4,8.43,0.1
14,54.0,0.15,85.0,74.94,4.77,0.11
15,70.0,0.13,87.0,60.55,13.01,0.12
16,52.0,0.18,82.0,56.78,7.54,0.12
17,36.0,0.24,76.0,82.27,6.98,0.12
18,62.0,0.14,86.0,74.88,7.31,0.11
19,42.0,0.2,80.0,64.05,2.76,0.1
20,50.0,0.22,78.0,89.23,11.38,0.1
21,60.0,0.16,84.0,60.79,5.64,0.1
22,32.0,0.23,77.0,151.46,3.91,0.1
23,56.0,0.16,84.0,46.01,1.6,0.11
24,48.0,0.21,79.0,45.28,6.89,0.11
25,70.0,0.12,88.0,63.45,5.34,0.1
26,30.0,0.22,78.0,85.95,5.33,0.1
27,48.0,0.21,79.0,73.3,9.72,0.1
28,44.0,0.24,76.0,107.38,7.14,0.1
29,40.0,0.22,78.0,92.37,2.43,0.1
30,56.0,0.19,81.0,69.79,7.47,0.1
31,44.0,0.25,75.0,101.69,9.33,0.09
32,56.0,0.16,84.0,90.85,7.73,0.1
33,64.0,0.18,82.0,84.4,6.47,0.1
34,40.0,0.26,74.0,40.05,7.64,0.11
35,70.0,0.15,85.0,85.39,10.92,0.11
36,38.0,0.22,78.0,62.83,2.69,0.11
37,68.0,0.13,87.0,63.72,11.15,0.1
38,52.0,0.18,82.0,83.16,8.16,0.11
39,40.0,0.26,74.0,97.15,8.79,0.1
