episode,reward,execution_time
1,-54.0,0.17
1,4.0,0.17

1,-10.0,0.17
1,-4.0,0.17
2,-26.0,0.17
2,-14.0,0.17
2,6.0,0.17

2,-2.0,0.17
2,0.0,0.17

3,-10.0,0.173,-26.0,0.17
3,0.0,0.17

3,0.0,0.17
3,-32.0,0.17
4,-28.0,0.19
4,0.0,0.19

5,-46.0,0.18
5,-36.0,0.18
5,-40.0,0.18
5,-52.0,0.18
5,-34.0,0.18
6,16.0,0.18
6,-4.0,0.18

6,-6.0,0.18

7,4.0,0.2

7,44.0,0.2
8,-22.0,0.19
8,-18.0,0.19
8,-36.0,0.19
9,-26.0,0.27
9,2.0,0.27

10,-38.0,0.18
10,2.0,0.18

10,-38.0,0.18
11,-30.0,0.19
11,-24.0,0.1911,-18.0,0.19
12,-46.0,0.22
12,-34.0,0.22
12,-34.0,0.22
13,-52.0,0.22
13,-42.0,0.22
13,-54.0,0.22
14,-26.0,0.21
14,-24.0,0.21
14,-22.0,0.21
15,-22.0,0.18
15,-22.0,0.18
15,-50.0,0.18
16,-42.0,0.16
16,-18.0,0.16
16,-14.0,0.16
16,-10.0,0.16
17,-28.0,0.19
17,-16.0,0.19
17,-28.0,0.19
17,-4.0,0.19
18,-38.0,0.19
18,-60.0,0.19
18,-38.0,0.19
18,-48.0,0.19
19,-34.0,0.16
9,-22.0,0.16
19,-26.0,0.16
19,20.0,0.16

19,0.0,0.16
20,-32.0,0.17
20,-4.0,0.17

20,-44.0,0.17
20,-48.0,0.17
21,22.0,9.79
21,44.0,9.79
21,-4.0,9.79
21,40.0,9.79
22,30.0,0.19
22,0.0,0.19

22,18.0,0.19
23,16.0,0.16
23,38.0,0.16
23,8.0,0.16
23,18.0,0.16
23,42.0,0.16
24,-14.0,0.16
24,-12.0,0.16
24,2.0,0.16
24,-34.0,0.16
25,36.0,0.16
25,44.0,0.16
25,28.0,0.16
25,26.0,0.16
25,8.0,0.16

25,40.0,0.16
25,22.0,0.16
26,6.0,0.16


26,32.0,0.16
27,48.0,0.16
27,2.0,0.16

27,32.0,0.16
27,-8.0,0.16
27,20.0,0.16
28,10.0,0.17

28,22.0,0.17
28,-22.0,0.17
28,12.0,0.17

29,56.0,0.15
9,50.0,0.15
29,28.0,0.15
30,30.0,0.16
30,38.0,0.16
30,30.0,0.16
30,58.0,0.16
31,14.0,0.17
31,-6.0,0.17
31,-16.0,0.17
31,12.0,0.17
31,32.0,0.17
31,2.0,0.17

32,4.0,0.16

32,32.0,0.16
32,-4.0,0.16

33,16.0,0.16
33,4.0,0.16
33,-8.0,0.16
33,4.0,0.16
33,44.0,0.16
33,6.0,0.16
34,-32.0,0.1634,2.0,0.15

34,18.0,0.16
34,10.0,0.16
34,44.0,0.15
35,38.0,0.16
