episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
122,68.0,0.07,93.0,65.63,2.98,0.12
123,90.0,0.05,95.0,77.92,12.04,1.44
124,92.0,0.03,97.0,60.65,7.44,0.1
125,74.0,0.08,92.0,68.12,2.54,0.12
126,88.0,0.04,96.0,67.38,9.81,0.1
127,86.0,0.02,98.0,26.65,5.4,0.12
128,92.0,0.04,96.0,84.04,11.92,0.12
129,92.0,0.03,97.0,43.96,10.29,0.1
130,72.0,0.08,92.0,82.44,8.57,0.1
131,80.0,0.03,97.0,66.93,6.57,0.11
132,84.0,0.05,95.0,54.94,5.73,0.1
133,94.0,0.03,97.0,100.64,11.71,0.11
134,82.0,0.05,95.0,38.39,11.81,0.11
135,82.0,0.04,96.0,67.12,11.88,0.11
136,84.0,0.07,93.0,56.07,8.34,0.11
137,92.0,0.04,96.0,55.87,12.42,0.1
138,88.0,0.03,97.0,44.64,9.52,0.1
139,88.0,0.01,99.0,42.5,13.53,0.11
140,94.0,0.03,97.0,87.65,12.16,0.11
141,66.0,0.09,91.0,49.78,8.87,0.11
142,74.0,0.05,95.0,35.59,2.5,0.12
143,90.0,0.03,97.0,78.69,6.12,0.11
144,76.0,0.05,95.0,85.63,3.1,1.15
145,70.0,0.02,98.0,56.23,2.81,0.1
146,90.0,0.05,95.0,43.19,13.14,0.1
147,92.0,0.01,99.0,73.37,7.34,0.11
148,64.0,0.04,96.0,46.21,8.26,0.11
149,92.0,0.04,96.0,85.72,8.91,0.11
150,76.0,0.02,98.0,85.09,2.59,0.1
151,78.0,0.04,96.0,28.21,9.34,0.11
152,90.0,0.04,96.0,76.8,14.39,0.1
153,88.0,0.05,95.0,49.08,13.95,0.1
154,80.0,0.04,96.0,40.0,5.17,0.1
155,70.0,0.04,96.0,55.8,6.89,0.11
156,82.0,0.04,96.0,34.23,4.72,0.11
157,72.0,0.06,94.0,30.97,5.45,0.12
158,74.0,0.08,92.0,75.25,13.11,0.11
159,78.0,0.04,96.0,60.41,8.12,0.11
160,90.0,0.03,97.0,71.76,8.07,0.11
161,94.0,0.03,97.0,87.43,11.55,0.11
162,90.0,0.01,99.0,41.91,12.24,0.1
163,70.0,0.05,95.0,61.07,7.75,0.1
164,86.0,0.02,98.0,77.3,4.93,1.13
165,88.0,0.02,98.0,91.63,7.19,0.11
166,88.0,0.05,95.0,85.76,14.23,0.1
167,96.0,0.02,98.0,64.49,8.39,0.11
168,80.0,0.02,98.0,55.62,6.67,0.11
169,84.0,0.03,97.0,52.01,3.89,0.1
170,94.0,0.03,97.0,29.07,13.86,0.1
171,80.0,0.02,98.0,28.97,2.8,0.11
172,80.0,0.05,95.0,59.51,4.83,0.11
173,74.0,0.03,97.0,92.57,3.22,0.11
174,46.0,0.08,92.0,44.7,1.41,0.11
175,60.0,0.03,97.0,59.65,1.67,0.11
176,88.0,0.02,98.0,56.84,10.71,0.1
177,82.0,0.08,92.0,92.92,9.62,0.1
178,62.0,0.03,97.0,32.26,3.06,0.1
179,82.0,0.02,98.0,83.31,4.88,0.1
