episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
33.0,38.0,0.19,81.0,105.12,0.21
33.0,52.0,0.2,80.0,59.12,0.21
34.0,60.0,0.17,83.0,38.21,0.22
34.0,44.0,0.24,76.0,75.22,0.22
34.0,46.0,0.23,77.0,72.25,0.22
34.0,36.0,0.27,73.0,61.85,0.22
35.0,56.0,0.15,85.0,82.31,0.23
35.0,50.0,0.17,83.0,62.09,0.23
35.0,12.0,0.28,72.0,114.58,0.23
35.0,20.0,0.24,76.0,116.01,0.23
36.0,2.0,0.22,78.0,146.08,0.22
36.0,24.0,0.16,84.0,121.97,0.22
36.0,54.0,0.21,79.0,34.19,0.22
36.0,-4.0,0.31,69.0,177.33,0.22
37.0,56.0,0.2,80.0,56.48,0.22
37.0,42.0,0.19,81.0,86.49,0.22
37.0,40.0,0.23,77.0,82.69,0.22
37.0,56.0,0.19,81.0,48.12,0.22
38.0,34.0,0.23,77.0,94.64,0.23
38.0,22.0,0.25,75.0,122.07,0.23
8.0,32.0,0.2,80.0,90.18,0.23
38.0,20.0,0.2,80.0,131.2,0.23
38.0,20.0,0.18,82.0,136.3,0.23
38.0,34.0,0.21,79.0,113.62,0.23
39.0,28.0,0.17,83.0,122.04,0.23
39.0,58.0,0.17,83.0,57.09,0.23
39.0,20.0,0.34,66.0,77.49,0.23
40.0,32.0,0.2,80.0,80.39,0.23
40.0,54.0,0.17,83.0,59.03,0.23
40.0,22.0,0.26,74.0,110.22,0.23
40.0,38.0,0.21,79.0,127.31,0.23
41.0,34.0,0.27,73.0,82.65,0.23
41.0,30.0,0.25,75.0,83.96,0.23
41.0,32.0,0.24,76.0,98.59,0.23
42.0,46.0,0.2,80.0,73.58,0.23
42.0,6.0,0.2,80.0,131.83,0.23
43.0,44.0,0.2,80.0,82.56,0.23
43.0,38.0,0.24,76.0,80.28,0.23
43.0,44.0,0.22,78.0,49.3,0.23
43.0,56.0,0.18,82.0,64.5,0.23
44.0,48.0,0.22,78.0,41.78,0.22
44.0,48.0,0.17,83.0,78.69,0.22
44.0,46.0,0.2,80.0,59.96,0.22
44.0,48.0,0.19,81.0,102.74,0.22
45.0,40.0,0.19,81.0,87.48,0.23
45.0,26.0,0.27,73.0,96.38,0.23
45.0,12.0,0.24,76.0,131.35,0.23
