episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
29.0,46.0,0.22,78.0,51.94,0.3
30.0,32.0,0.17,83.0,103.97,0.27
30.0,10.0,0.29,71.0,49.21,0.27
30.0,32.0,0.2,80.0,130.71,0.27
30.0,24.0,0.25,75.0,99.14,0.27
30.0,34.0,0.2,80.0,75.53,0.27
30.0,34.0,0.21,79.0,89.27,0.27
31.0,66.0,0.11,89.0,89.46,0.24
31.0,26.0,0.28,72.0,121.58,0.24
31.0,42.0,0.2,80.0,99.22,0.24
31.0,44.0,0.2,80.0,77.9,0.24
32.0,42.0,0.18,82.0,40.16,0.25
32.0,54.0,0.18,82.0,32.51,0.25
32.0,46.0,0.22,78.0,49.47,0.25
32.0,40.0,0.19,81.0,61.79,0.25
32.0,46.0,0.24,76.0,77.39,0.25
32.0,32.0,0.31,69.0,59.82,0.25
33.0,48.0,0.16,84.0,69.51,0.26
33.0,26.0,0.27,73.0,83.26,0.26
33.0,40.0,0.21,79.0,44.17,0.26
33.0,48.0,0.17,83.0,96.94,0.26
33.0,46.0,0.2,80.0,90.03,0.26
33.0,36.0,0.27,73.0,98.43,0.26
34.0,34.0,0.24,76.0,75.22,0.26
34.0,38.0,0.26,74.0,81.39,0.26
34.0,42.0,0.17,83.0,38.21,0.26
34.0,24.0,0.3,70.0,72.65,0.26
34.0,32.0,0.27,73.0,61.85,0.26
34.0,42.0,0.24,76.0,78.19,0.26
34.0,26.0,0.26,74.0,56.38,0.26
35.0,44.0,0.19,81.0,96.07,0.24
335.0,38.0,0.2,80.0,42.97,0.24
35.0,36.0,0.23,77.0,74.79,0.24
35.0,24.0,0.29,71.0,114.9,0.24
36.0,44.0,0.23,77.0,43.8,0.27
36.0,48.0,0.21,79.0,34.19,0.27
36.0,34.0,0.28,72.0,93.29,0.27
36.0,20.0,0.31,69.0,177.33,0.27
36.0,58.0,0.16,84.0,121.97,0.27
37.0,46.0,0.19,81.0,48.12,0.26
7.0,42.0,0.2,80.0,77.05,0.26
37.0,30.0,0.28,72.0,102.93,0.26
37.0,46.0,0.2,80.0,56.48,0.26
38.0,22.0,0.25,75.0,122.07,0.29
38.0,54.0,0.14,86.0,108.14,0.29
38.0,54.0,0.2,80.0,90.18,0.29
38.0,38.0,0.18,82.0,136.3,0.29
38.0,36.0,0.21,79.0,113.62,0.29
38.0,48.0,0.2,80.0,131.2,0.29
39.0,56.0,0.17,83.0,57.09,0.27
39.0,46.0,0.23,77.0,79.87,0.27
39.0,12.0,0.34,66.0,77.49,0.27
39.0,36.0,0.23,77.0,98.02,0.27
40.0,36.0,0.17,83.0,59.03,0.25
40.0,56.0,0.21,79.0,69.42,0.26
40.0,30.0,0.23,77.0,47.19,0.25
40.0,32.0,0.26,74.0,110.95,0.25
40.0,34.0,0.26,74.0,110.22,0.25
40.0,32.0,0.24,76.0,79.46,0.25
41.0,34.0,0.27,73.0,82.65,0.26
41.0,24.0,0.24,76.0,98.59,0.26
41.0,38.0,0.23,77.0,79.39,0.26
41.0,34.0,0.21,79.0,113.04,0.26
42.0,44.0,0.2,80.0,73.58,0.27
42.0,32.0,0.2,80.0,54.37,0.27
43.0,14.0,0.31,69.0,59.55,0.26
43.0,42.0,0.18,82.0,64.5,0.26
43.0,52.0,0.24,76.0,76.15,0.26
43.0,34.0,0.2,80.0,82.56,0.26
44.0,42.0,0.22,78.0,41.78,0.26
44.0,40.0,0.24,76.0,125.91,0.26
45.0,44.0,0.24,76.0,73.72,0.25
45.0,46.0,0.16,84.0,54.17,0.25
