episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
122,84.0,0.03,97.0,44.29,8.8,0.1
123,68.0,0.08,92.0,51.05,8.04,1.19
124,88.0,0.04,96.0,35.39,5.54,0.1
125,74.0,0.02,98.0,56.11,8.76,0.1
126,80.0,0.04,96.0,48.91,7.21,0.1
127,84.0,0.06,94.0,37.25,7.13,0.1
128,82.0,0.04,96.0,44.96,9.42,0.11
129,68.0,0.05,95.0,69.34,4.31,0.1
130,92.0,0.01,99.0,45.07,2.57,0.1
131,86.0,0.01,99.0,64.66,8.58,0.1
132,80.0,0.02,98.0,41.67,8.2,0.1
133,74.0,0.02,98.0,73.29,8.95,0.1
134,80.0,0.02,98.0,46.28,9.12,0.11
135,78.0,0.05,95.0,44.93,5.8,0.1
136,84.0,0.03,97.0,37.38,9.44,0.09
137,72.0,0.05,95.0,48.8,7.35,0.1
138,72.0,0.01,99.0,57.68,6.01,0.1
139,78.0,0.04,96.0,40.03,10.31,0.1
140,98.0,0.01,99.0,25.15,7.5,0.1
141,88.0,0.05,95.0,44.31,11.54,0.1
142,86.0,0.04,96.0,46.13,9.98,0.1
143,90.0,0.03,97.0,33.09,3.61,0.1
144,88.0,0.01,99.0,45.41,8.57,1.18
145,76.0,0.01,99.0,45.08,5.62,0.1
146,84.0,0.02,98.0,48.04,5.63,0.11
147,82.0,0.02,98.0,62.97,5.08,0.09
148,64.0,0.03,97.0,91.12,8.85,0.1
149,80.0,0.02,98.0,61.16,2.98,0.1
150,62.0,0.07,93.0,66.75,11.1,0.1
151,80.0,0.02,98.0,70.83,8.45,0.1
152,86.0,0.0,100.0,43.53,9.42,0.1
153,72.0,0.02,98.0,68.54,9.3,0.1
154,78.0,0.03,97.0,57.25,1.26,0.1
155,98.0,0.0,100.0,28.49,3.62,0.1
156,70.0,0.03,97.0,69.0,7.21,0.1
157,86.0,0.01,99.0,51.6,7.23,0.09
158,56.0,0.03,97.0,74.0,10.42,0.1
159,78.0,0.09,91.0,29.16,11.25,0.09
160,64.0,0.04,96.0,67.21,9.47,0.1
161,94.0,0.0,100.0,28.17,7.09,0.1
162,80.0,0.02,98.0,56.27,11.73,0.1
163,52.0,0.06,94.0,75.45,4.46,0.1
164,80.0,0.0,100.0,58.77,5.5,1.18
165,64.0,0.01,99.0,87.21,5.52,0.1
166,64.0,0.02,98.0,81.16,2.88,0.1
167,92.0,0.02,98.0,22.91,9.2,0.1
168,88.0,0.01,99.0,39.5,7.9,0.1
169,88.0,0.01,99.0,30.68,6.91,0.1
170,66.0,0.02,98.0,83.14,10.94,0.1
171,78.0,0.02,98.0,64.12,2.72,0.1
172,78.0,0.0,100.0,62.32,6.77,0.1
173,88.0,0.02,98.0,52.86,4.82,0.1
174,92.0,0.03,97.0,34.97,13.1,0.1
175,60.0,0.02,98.0,106.65,8.76,0.09
176,92.0,0.0,100.0,54.55,12.08,0.1
177,92.0,0.0,100.0,42.21,5.62,0.1
178,78.0,0.02,98.0,57.94,9.97,0.1
179,76.0,0.02,98.0,65.89,4.44,0.1
180,88.0,0.04,96.0,48.11,7.72,0.1
181,88.0,0.0,100.0,45.49,4.86,0.1
182,84.0,0.01,99.0,45.54,4.12,0.1
183,84.0,0.0,100.0,58.55,5.26,0.09
184,60.0,0.05,95.0,73.12,4.0,0.1
185,70.0,0.03,97.0,57.87,8.06,1.2
186,98.0,0.0,100.0,42.61,7.37,0.1
187,82.0,0.01,99.0,65.8,10.44,0.1
188,90.0,0.0,100.0,51.24,2.87,0.09
189,84.0,0.02,98.0,54.38,8.7,0.1
190,82.0,0.03,97.0,44.64,2.4,0.1
191,82.0,0.01,99.0,50.58,7.06,0.1
192,76.0,0.02,98.0,56.04,3.42,0.1
193,80.0,0.01,99.0,56.85,4.47,0.1
194,94.0,0.02,98.0,31.05,8.89,0.1
195,90.0,0.01,99.0,38.32,8.16,0.09
196,84.0,0.02,98.0,40.44,11.92,0.1
197,78.0,0.02,98.0,62.35,5.83,0.1
198,90.0,0.01,99.0,42.25,4.65,0.1
199,80.0,0.01,99.0,59.06,9.2,0.1
200,96.0,0.0,100.0,21.55,10.02,0.09
201,84.0,0.01,99.0,43.26,5.49,0.1
202,76.0,0.03,97.0,58.42,6.21,0.1
203,78.0,0.02,98.0,49.98,6.81,0.13
204,80.0,0.0,100.0,68.88,7.04,0.12
205,78.0,0.01,99.0,63.52,3.51,1.24
206,80.0,0.03,97.0,66.0,8.13,0.1
207,84.0,0.01,99.0,64.48,7.6,0.11
208,84.0,0.01,99.0,60.71,1.55,0.1
209,82.0,0.02,98.0,54.22,5.89,0.1
210,68.0,0.02,98.0,68.46,3.07,0.1
211,80.0,0.01,99.0,75.24,3.61,0.1
212,84.0,0.0,100.0,30.75,8.7,0.1
213,92.0,0.0,100.0,44.13,4.98,0.1
214,90.0,0.0,100.0,56.54,8.54,0.1
215,88.0,0.0,100.0,47.65,5.73,0.1
216,88.0,0.01,99.0,32.42,6.55,0.1
217,82.0,0.01,99.0,42.56,8.52,0.1
218,96.0,0.0,100.0,14.72,1.92,0.1
219,86.0,0.01,99.0,42.1,7.44,0.1
220,52.0,0.05,95.0,87.55,7.83,0.1
221,92.0,0.04,96.0,23.44,5.78,0.1
222,80.0,0.03,97.0,66.73,8.38,0.1
223,90.0,0.02,98.0,32.35,3.13,0.1
224,72.0,0.03,97.0,43.12,8.61,0.1
225,80.0,0.02,98.0,62.97,8.77,0.1
226,80.0,0.01,99.0,59.85,2.86,1.18
227,96.0,0.0,100.0,46.65,5.29,0.1
228,76.0,0.01,99.0,54.64,5.26,0.1
229,68.0,0.02,98.0,71.14,14.78,0.1
230,86.0,0.0,100.0,40.47,6.24,0.1
231,78.0,0.02,98.0,80.0,2.57,0.1
232,92.0,0.0,100.0,50.29,9.0,0.1
233,82.0,0.03,97.0,55.74,6.46,0.1
234,82.0,0.01,99.0,49.47,5.85,0.1
235,88.0,0.01,99.0,46.76,5.68,0.1
236,90.0,0.03,97.0,35.47,7.68,0.1
237,68.0,0.03,97.0,72.45,12.25,0.09
238,92.0,0.0,100.0,63.66,13.96,0.1
239,88.0,0.01,99.0,44.56,7.49,0.1
240,80.0,0.0,100.0,68.96,4.67,0.1
241,92.0,0.0,100.0,25.4,11.56,0.1
242,94.0,0.0,100.0,36.06,7.73,0.1
243,86.0,0.01,99.0,30.32,4.18,0.1
244,78.0,0.01,99.0,62.64,3.41,0.1
245,88.0,0.01,99.0,39.72,8.47,0.1
246,82.0,0.0,100.0,60.15,2.8,1.2
247,82.0,0.02,98.0,38.1,6.12,0.1
248,74.0,0.01,99.0,76.52,3.18,0.1
249,78.0,0.01,99.0,73.33,12.41,0.1
250,82.0,0.01,99.0,51.46,5.64,0.1
251,78.0,0.0,100.0,68.58,7.07,0.1
252,96.0,0.01,99.0,48.06,4.7,0.09
253,86.0,0.0,100.0,57.73,7.4,0.1
254,84.0,0.02,98.0,51.83,5.41,0.1
255,84.0,0.0,100.0,53.44,4.27,0.1
256,78.0,0.01,99.0,41.92,10.43,0.1
257,86.0,0.01,99.0,42.79,3.74,0.1
258,88.0,0.0,100.0,43.29,7.94,0.1
259,66.0,0.03,97.0,68.7,8.23,0.1
260,92.0,0.0,100.0,37.96,5.28,0.1
261,88.0,0.01,99.0,61.25,5.57,0.1
262,90.0,0.01,99.0,51.08,9.69,0.1
263,86.0,0.0,100.0,43.62,12.03,0.1
264,90.0,0.02,98.0,36.4,2.63,0.1
265,84.0,0.01,99.0,45.73,7.32,0.09
266,84.0,0.02,98.0,52.11,6.61,0.09
267,84.0,0.0,100.0,49.1,7.43,1.19
268,78.0,0.01,99.0,64.09,11.23,0.1
269,88.0,0.0,100.0,51.61,9.47,0.1
270,82.0,0.01,99.0,45.0,9.72,0.1
271,82.0,0.01,99.0,68.57,6.26,0.1
272,78.0,0.01,99.0,58.48,7.43,0.1
273,92.0,0.0,100.0,44.7,9.91,0.1
274,100.0,0.0,100.0,18.09,3.01,0.1
275,74.0,0.01,99.0,58.29,7.04,0.1
276,90.0,0.0,100.0,42.44,14.5,0.1
277,88.0,0.02,98.0,36.48,7.29,0.1
278,86.0,0.0,100.0,61.97,7.84,0.1
279,88.0,0.0,100.0,40.31,4.28,0.1
280,92.0,0.01,99.0,24.58,6.95,0.1
281,90.0,0.0,100.0,36.48,10.08,0.1
282,88.0,0.01,99.0,43.86,6.51,0.1
283,74.0,0.03,97.0,53.21,9.24,0.1
284,72.0,0.01,99.0,86.44,7.34,0.1
285,84.0,0.01,99.0,66.48,3.4,0.1
286,86.0,0.0,100.0,53.9,3.51,0.1
287,74.0,0.0,100.0,62.65,9.44,1.21
288,72.0,0.0,100.0,62.95,3.02,0.1
289,88.0,0.01,99.0,45.89,8.83,0.1
290,78.0,0.0,100.0,59.13,5.41,0.1
291,96.0,0.0,100.0,32.72,11.04,0.1
292,78.0,0.01,99.0,55.26,8.73,0.1
293,88.0,0.0,100.0,46.63,4.15,0.1
294,92.0,0.01,99.0,36.89,4.62,0.1
295,98.0,0.0,100.0,24.07,1.56,0.1
296,84.0,0.01,99.0,43.85,8.52,0.1
297,58.0,0.01,99.0,91.21,10.18,0.1
298,94.0,0.01,99.0,45.34,6.1,0.09
299,84.0,0.0,100.0,46.59,8.1,0.09
300,90.0,0.01,99.0,38.01,7.54,0.1
301,72.0,0.01,99.0,79.33,10.85,0.09
302,98.0,0.0,100.0,39.03,4.96,0.1
303,80.0,0.01,99.0,46.39,4.64,0.1
304,96.0,0.0,100.0,32.38,11.6,0.1
305,90.0,0.0,100.0,61.81,11.34,0.1
306,70.0,0.0,100.0,76.34,8.6,0.1
307,86.0,0.0,100.0,60.06,3.28,0.1
308,100.0,0.0,100.0,19.81,7.32,1.2
309,82.0,0.0,100.0,54.26,4.43,0.1
310,82.0,0.0,100.0,47.03,4.33,0.1
311,86.0,0.01,99.0,39.65,9.9,0.1
312,64.0,0.0,100.0,98.32,3.17,0.1
313,84.0,0.0,100.0,44.74,5.76,0.1
314,94.0,0.0,100.0,34.24,7.86,0.1
