1,56.0,0.27
1,46.0,0.27
1,48.0,0.27
2,22.0,0.21
2,34.0,0.21
3,58.0,0.2
3,62.0,0.2
4,62.0,0.24
4,74.0,0.24
5,64.0,0.2
5,78.0,0.2
5,82.0,0.2
6,90.0,0.21
6,72.0,0.21
6,82.0,0.21
7,84.0,0.21
7,78.0,0.21
7,82.0,0.21
8,74.0,0.2
9,58.0,0.22
9,60.0,0.22
10,76.0,0.2
10,72.0,0.2
10,78.0,0.2
11,96.0,0.21
11,92.0,0.21
12,62.0,0.21
12,58.0,0.21
12,60.0,0.21
13,88.0,0.23
13,88.0,0.23
14,90.0,0.2
14,90.0,0.2
15,86.0,0.21
15,82.0,0.21
16,84.0,0.21
16,86.0,0.21
17,92.0,0.2
17,92.0,0.2
17,90.0,0.2
18,88.0,0.21
18,88.0,0.21
19,92.0,0.21
19,90.0,0.21
20,84.0,0.21
21,96.0,0.21
21,90.0,0.21
21,92.0,0.21
22,92.0,0.21
2,88.0,0.21
22,86.0,0.2

23,42.0,0.2
23,48.0,0.2
24,94.0,0.2
24,90.0,0.2
25,54.0,0.21
25,60.0,0.21
25,46.0,0.21
26,92.0,0.2
26,92.0,0.2
26,90.0,0.2
27,86.0,0.21
27,90.0,0.21
28,72.0,0.2
28,80.0,0.2
28,66.0,0.2
29,94.0,0.2
29,94.0,0.2
29,88.0,0.2
30,86.0,0.2
30,80.0,0.2
31,78.0,0.21
31,72.0,0.21
32,84.0,0.21
32,84.0,0.21
32,86.0,0.21
33,96.0,0.21
33,94.0,0.21
33,96.0,0.21
34,96.0,0.21
34,96.0,0.21
34,96.0,0.21
35,82.0,0.2
35,90.0,0.2
35,88.0,0.2
35,86.0,0.2
35,86.0,0.2
36,92.0,0.21
36,90.0,0.21
37,92.0,0.2
37,90.0,0.2
37,92.0,0.2
38,60.0,0.2
38,58.0,0.2
38,58.0,0.2
38,58.0,0.2
39,42.0,0.21
39,48.0,0.21
40,90.0,0.21
40,82.0,0.21
40,88.0,0.21
40,92.0,0.21
41,72.0,0.21
41,66.0,0.21
41,70.0,0.21
42,92.0,0.24
42,92.0,0.24
43,94.0,0.21
43,96.0,0.21
43,94.0,0.21
44,66.0,0.21
44,64.0,0.21
44,64.0,0.21
45,90.0,0.21
45,90.0,0.21
45,90.0,0.21
46,92.0,0.21
46,94.0,0.21
46,88.0,0.21
47,82.0,0.23
48,88.0,0.21
48,92.0,0.21
49,72.0,0.2
49,68.0,0.2
49,76.0,0.2
50,88.0,0.21
50,90.0,0.21
50,90.0,0.21
51,66.0,0.21
51,64.0,0.21
51,72.0,0.21
52,66.0,0.21
52,64.0,0.21
52,62.0,0.21
52,66.0,0.21
53,96.0,0.21
53,94.0,0.21
54,94.0,0.21
54,94.0,0.21
54,94.0,0.21
55,74.0,0.21
55,72.0,0.21
55,70.0,0.21
56,90.0,0.2
56,96.0,0.2
56,94.0,0.2
56,96.0,0.2
56,94.0,0.2
57,94.0,0.21
57,86.0,0.21
57,92.0,0.21
58,46.0,0.21
58,42.0,0.21
58,48.0,0.21
59,92.0,0.21
59,80.0,0.21
60,70.0,0.21
60,70.0,0.21
60,68.0,0.21
61,86.0,0.21
61,94.0,0.21
61,94.0,0.21
62,98.0,0.2
62,96.0,0.2
62,96.0,0.2
63,94.0,0.21
63,94.0,0.21
63,94.0,0.21
64,92.0,0.2
64,94.0,0.2
65,100.0,0.2
65,100.0,0.2
5,100.0,0.2
66,70.0,0.21
66,68.0,0.21
67,96.0,0.2
67,90.0,0.2
68,92.0,0.21
68,86.0,0.21
69,96.0,0.21
69,98.0,0.21
70,86.0,0.22
70,92.0,0.22
71,62.0,0.21
71,60.0,0.21
72,70.0,0.21
72,68.0,0.21
72,70.0,0.21
72,68.0,0.21
73,92.0,0.21
73,86.0,0.21
73,92.0,0.21
74,94.0,0.22
74,92.0,0.22
74,92.0,0.22
75,94.0,0.21
75,94.0,0.21
76,80.0,0.22
76,82.0,0.22
76,78.0,0.22
77,92.0,0.21
77,92.0,0.21
77,92.0,0.21
77,90.0,0.21
78,96.0,0.2
78,96.0,0.2
78,94.0,0.2
79,94.0,0.21
79,94.0,0.21
80,94.0,0.2
80,96.0,0.2
80,96.0,0.2
80,96.0,0.2
81,68.0,0.21
81,68.0,0.21
81,66.0,0.21
81,66.0,0.21
82,62.0,0.23
82,60.0,0.23
83,92.0,0.2
83,94.0,0.2
83,90.0,0.2
84,94.0,0.2
84,94.0,0.2
84,94.0,0.2
85,96.0,0.22
85,96.0,0.22
85,96.0,0.22
86,92.0,0.2
86,92.0,0.2
86,92.0,0.2
87,100.0,0.21
87,98.0,0.21

87,100.0,0.21
88,74.0,0.21
88,74.0,0.21
88,74.0,0.21
89,92.0,0.22
89,92.0,0.22
90,84.0,0.21
90,84.0,0.21
90,84.0,0.21
91,82.0,0.21
91,82.0,0.21
92,96.0,0.22
92,94.0,0.22
92,96.0,0.22
93,62.0,0.21
93,62.0,0.21
94,98.0,0.22
94,98.0,0.22
94,98.0,0.21
95,64.0,0.21
95,64.0,0.21
95,64.0,0.21
95,64.0,0.21
96,88.0,0.2
96,88.0,0.2
96,88.0,0.2
97,86.0,0.21
97,84.0,0.21
97,90.0,0.21
97,88.0,0.21
98,90.0,0.21
98,90.0,0.21
98,84.0,0.21
98,90.0,0.21
99,96.0,0.21
100,90.0,0.21
100,90.0,0.21
101,72.0,0.2
101,72.0,0.2
101,72.0,0.2
102,72.0,0.21
102,72.0,0.21
103,74.0,0.21
103,76.0,0.21
103,76.0,0.21
103,78.0,0.21
104,92.0,0.21
104,90.0,0.21
104,92.0,0.21
105,62.0,0.21
105,66.0,0.21
105,62.0,0.21
105,62.0,0.21
105,62.0,0.21
106,94.0,0.21
106,96.0,0.21
106,96.0,0.21
106,96.0,0.21
107,96.0,0.21
107,96.0,0.21
107,96.0,0.21
108,86.0,0.21
108,86.0,0.21
108,86.0,0.21
109,96.0,0.21
110,76.0,0.21
110,76.0,0.21
110,78.0,0.21
111,50.0,0.22
