episode,reward,execution_time
123,78.0,0.08
123,66.0,0.08
124,70.0,0.08
124,24.0,0.08
125,66.0,0.07
125,70.0,0.07
126,56.0,0.07
126,76.0,0.07
127,74.0,0.07
127,58.0,0.07
127,76.0,0.07
128,60.0,0.08
128,24.0,0.08
128,64.0,0.08
129,78.0,0.08
130,72.0,0.08
130,68.0,0.08
130,80.0,0.08
131,78.0,0.07
131,46.0,0.07
131,64.0,0.07
132,70.0,0.08
132,68.0,0.08
133,46.0,0.07
133,60.0,0.07
133,40.0,0.07
134,42.0,0.08
134,70.0,0.08
134,60.0,0.08
134,78.0,0.08
135,30.0,0.08
135,38.0,0.08
136,58.0,0.07
136,74.0,0.07
136,56.0,0.07
136,78.0,0.07
137,-2.0,0.08
137,60.0,0.08
137,80.0,0.08
138,68.0,0.08
138,56.0,0.08
138,74.0,0.08
139,66.0,0.08
139,48.0,0.08
139,78.0,0.08
139,32.0,0.08
140,56.0,0.08
140,16.0,0.08
140,66.0,0.08
140,8.0,0.08
141,62.0,0.07
142,70.0,0.07
142,50.0,0.07
142,40.0,0.07
143,-4.0,0.08
143,54.0,0.08
143,52.0,0.08
144,20.0,0.08
144,56.0,0.08
145,74.0,0.08
146,64.0,0.07
147,60.0,0.07
147,56.0,0.07
148,66.0,0.08
148,66.0,0.08
148,66.0,0.08
149,64.0,0.08
149,64.0,0.08
149,72.0,0.08
150,68.0,0.08
150,54.0,0.08
151,76.0,0.07
151,22.0,0.07
151,56.0,0.07
152,66.0,0.07
152,56.0,0.07
153,58.0,0.07
153,4.0,0.07
153,4.0,0.07
153,74.0,0.07
154,68.0,0.07
154,30.0,0.07
155,72.0,0.07
155,52.0,0.07
156,72.0,0.07
156,68.0,0.07
156,46.0,0.07
157,74.0,0.08
157,48.0,0.08
158,72.0,0.08
158,80.0,0.08
158,30.0,0.08
159,58.0,0.08
159,72.0,0.08
159,60.0,0.08
160,68.0,0.07
160,14.0,0.07
161,78.0,0.07
161,58.0,0.07
162,44.0,0.08
162,60.0,0.08
162,68.0,0.08
162,76.0,0.08
163,62.0,0.08
163,74.0,0.08
163,50.0,0.08
164,74.0,0.08
164,60.0,0.08
164,64.0,0.08
165,68.0,0.08
165,80.0,0.08
165,72.0,0.08
165,70.0,0.08
166,92.0,0.08
166,60.0,0.08
166,70.0,0.08
167,64.0,0.07
167,78.0,0.07
167,68.0,0.07
168,82.0,0.08
168,70.0,0.08
169,72.0,0.08
169,58.0,0.08
169,68.0,0.08
170,48.0,0.08
170,40.0,0.08
171,46.0,0.07
171,76.0,0.07
171,84.0,0.07
172,72.0,0.08
172,76.0,0.08
172,62.0,0.08
173,8.0,0.08

173,86.0,0.08
173,56.0,0.08
174,72.0,0.08
174,50.0,0.08
175,64.0,0.07
175,60.0,0.07
176,76.0,0.07
176,46.0,0.07
176,48.0,0.07
177,72.0,0.07
177,18.0,0.07
177,54.0,0.07
177,70.0,0.07
178,64.0,0.08
178,90.0,0.08
178,76.0,0.08
178,54.0,0.08
179,82.0,0.08
179,28.0,0.08
179,68.0,0.08
179,56.0,0.08
180,72.0,0.08
180,56.0,0.08
180,22.0,0.08
181,72.0,0.07
182,70.0,0.08
182,74.0,0.08
182,72.0,0.08
183,84.0,0.08
183,62.0,0.08
183,54.0,0.08
184,40.0,0.08
184,70.0,0.08
184,80.0,0.08
185,78.0,0.08
185,84.0,0.08
186,48.0,0.07
186,64.0,0.08
186,50.0,0.08
187,86.0,0.08
187,72.0,0.08
187,66.0,0.08
188,86.0,0.08
188,44.0,0.08
188,72.0,0.08
188,12.0,0.08
189,20.0,0.08
189,78.0,0.08
189,62.0,0.08
190,60.0,0.08
190,40.0,0.08
191,78.0,0.07
191,26.0,0.07
191,76.0,0.07
192,26.0,0.08
192,62.0,0.08
192,78.0,0.08
