episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
55,68.0,0.14,86.0,42.69,0.28
55,32.0,0.28,72.0,59.63,0.28
55,94.0,0.01,99.0,44.84,0.28
56,72.0,0.1,90.0,44.32,0.33

56,68.0,0.13,87.0,61.37,0.33
57,50.0,0.2,80.0,72.81,0.28

57,36.0,0.22,78.0,72.27,0.28
57,48.0,0.11,89.0,83.88,0.28
58,76.0,0.11,89.0,32.25,0.29
58,86.0,0.06,94.0,23.57,0.29
59,74.0,0.11,89.0,25.05,0.3
59,70.0,0.11,89.0,30.54,0.3
59,42.0,0.26,74.0,49.77,0.3
59,82.0,0.07,93.0,42.44,0.3
60,66.0,0.13,87.0,58.65,0.29
660,56.0,0.16,84.0,54.7,0.29
,38.0,0.2,80.0,87.42,0.29
61,56.0,0.15,85.0,82.23,0.29
61,68.0,0.05,95.0,69.62,0.29
62,84.0,0.07,93.0,51.57,0.34
62,76.0,0.09,91.0,37.58,0.34
662,96.0,0.02,98.0,29.65,0.34
63,60.0,0.13,87.0,46.7,0.32

63,74.0,0.04,96.0,66.34,0.32

63,84.0,0.05,95.0,54.06,0.32
64,88.0,0.03,97.0,27.46,0.32
64,88.0,0.06,94.0,18.72,0.32
64,74.0,0.08,92.0,41.28,0.32
65,34.0,0.24,76.0,87.25,0.35
65,82.0,0.05,95.0,43.02,0.35
66,76.0,0.08,92.0,49.8,0.42

66,60.0,0.18,82.0,54.74,0.42
66,82.0,0.03,97.0,62.23,0.42
67,86.0,0.06,94.0,37.86,0.31
67,72.0,0.13,87.0,34.26,0.31
67,76.0,0.1,90.0,42.94,0.31
68,48.0,0.24,76.0,42.23,0.35
69,84.0,0.08,92.0,19.23,0.29
69,86.0,0.02,98.0,47.62,0.29
70,48.0,0.2,80.0,60.11,0.28

70,74.0,0.12,88.0,31.44,0.28
70,76.0,0.12,88.0,26.57,0.28
70,50.0,0.18,82.0,70.62,0.28
71,86.0,0.02,98.0,68.95,0.3
71,78.0,0.06,94.0,36.3,0.3
71,74.0,0.11,89.0,41.03,0.3
72,66.0,0.16,84.0,45.49,0.31
72,60.0,0.13,87.0,49.9,0.31

72,78.0,0.06,94.0,66.66,0.31
73,32.0,0.26,74.0,60.87,0.28
73,90.0,0.02,98.0,49.79,0.28
74,72.0,0.11,89.0,27.94,0.29
74,86.0,0.07,93.0,16.15,0.29
74,30.0,0.26,74.0,85.31,0.29
75,70.0,0.06,94.0,59.64,0.29
775,94.0,0.0,100.0,36.12,0.29
76,88.0,0.04,96.0,22.6,0.28

76,42.0,0.29,71.0,57.21,0.28
76,90.0,0.04,96.0,33.13,0.28
77,72.0,0.08,92.0,50.53,0.29
77,64.0,0.06,94.0,66.83,0.29
77,84.0,0.06,94.0,21.97,0.29
78,94.0,0.01,99.0,46.3,0.28

78,56.0,0.17,83.0,62.5,0.28

79,84.0,0.06,94.0,33.67,0.3
79,88.0,0.05,95.0,35.15,0.3
79,60.0,0.19,81.0,34.69,0.3
80,92.0,0.02,98.0,47.77,0.29
81,84.0,0.05,95.0,37.1,0.31

81,76.0,0.06,94.0,70.33,0.31
81,60.0,0.13,87.0,67.52,0.31
81,94.0,0.01,99.0,52.41,0.31
82,66.0,0.09,91.0,50.1,0.3

2,58.0,0.2,80.0,50.38,0.3
83,82.0,0.02,98.0,37.84,0.3
83,42.0,0.24,76.0,74.49,0.3
84,70.0,0.14,86.0,40.74,0.33
84,40.0,0.23,77.0,74.46,0.33
84,60.0,0.16,84.0,49.29,0.33
85,82.0,0.03,97.0,57.4,0.31

85,80.0,0.02,98.0,57.57,0.31
85,78.0,0.08,92.0,40.68,0.31
5,72.0,0.11,89.0,70.21,0.31
86,98.0,0.01,99.0,34.22,0.3
87,82.0,0.03,97.0,38.31,0.33
87,90.0,0.04,96.0,37.74,0.33
88,88.0,0.06,94.0,35.4,0.32

88,86.0,0.05,95.0,33.35,0.32
88,72.0,0.14,86.0,24.88,0.32
89,42.0,0.24,76.0,58.57,0.31
89,66.0,0.15,85.0,26.94,0.31
89,70.0,0.11,89.0,49.26,0.31
90,70.0,0.11,89.0,38.42,0.3
90,82.0,0.05,95.0,62.54,0.3
90,64.0,0.11,89.0,41.19,0.3
91,80.0,0.07,93.0,47.2,0.3

91,86.0,0.05,95.0,19.32,0.3
92,88.0,0.04,96.0,38.84,0.33
92,70.0,0.12,88.0,29.68,0.33
92,66.0,0.15,85.0,36.31,0.33
92,58.0,0.17,83.0,58.62,0.33
