episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
34,54.0,0.19,81.0,83.24,0.27
34,70.0,0.09,91.0,59.46,0.27
34,76.0,0.09,91.0,31.0,0.27

34,44.0,0.15,85.0,82.61,0.27
34,64.0,0.09,91.0,73.37,0.27
35,74.0,0.1,90.0,39.14,0.26

35,64.0,0.11,89.0,51.81,0.26
35,80.0,0.06,94.0,77.5,0.26
35,72.0,0.11,89.0,25.07,0.26
36,58.0,0.09,91.0,59.0,0.25

36,86.0,0.06,94.0,22.59,0.25
36,40.0,0.15,85.0,81.93,0.25
37,50.0,0.17,83.0,69.05,0.25

37,80.0,0.05,95.0,58.37,0.25
37,54.0,0.12,88.0,87.87,0.25
37,62.0,0.13,87.0,57.93,0.25
37,82.0,0.04,96.0,34.73,0.25
37,78.0,0.04,96.0,67.51,0.25
38,56.0,0.11,89.0,66.3,0.26

338,40.0,0.15,85.0,96.09,0.26

39,50.0,0.11,89.0,87.8,0.25

39,34.0,0.19,81.0,87.96,0.25
39,46.0,0.14,86.0,113.2,0.25
39,74.0,0.06,94.0,61.21,0.25
40,84.0,0.07,93.0,24.33,0.25
40,84.0,0.08,92.0,24.07,0.25
40,66.0,0.1,90.0,72.81,0.25
41,74.0,0.1,90.0,35.72,8.69
41,28.0,0.17,83.0,107.81,8.69
41,74.0,0.08,92.0,68.1,8.7

41,80.0,0.08,92.0,53.17,8.7
41,76.0,0.09,91.0,33.31,8.7
41,64.0,0.08,92.0,60.43,8.7
41,28.0,0.14,86.0,135.47,8.7
42,68.0,0.06,94.0,81.35,0.26
42,90.0,0.03,97.0,41.4,0.26

42,72.0,0.07,93.0,53.58,0.26
42,70.0,0.06,94.0,70.78,0.26
42,78.0,0.07,93.0,38.13,0.26
43,58.0,0.11,89.0,71.9,0.26

43,84.0,0.05,95.0,33.61,0.26
43,74.0,0.08,92.0,48.17,0.26
43,78.0,0.05,95.0,47.08,0.26
43,84.0,0.05,95.0,55.38,0.26
43,78.0,0.09,91.0,36.24,0.26
44,68.0,0.09,91.0,78.14,0.26
44,56.0,0.1,90.0,83.4,0.26

44,80.0,0.04,96.0,42.77,0.26
45,68.0,0.09,91.0,45.24,0.26
45,62.0,0.09,91.0,68.33,0.26
45,74.0,0.07,93.0,42.18,0.26
45,72.0,0.07,93.0,78.55,0.26
45,80.0,0.06,94.0,28.04,0.26
46,60.0,0.09,91.0,71.82,0.26
46,54.0,0.1,90.0,74.59,0.26
46,60.0,0.1,90.0,68.51,0.26
46,74.0,0.07,93.0,54.81,0.25
47,88.0,0.01,99.0,33.73,0.26
47,68.0,0.06,94.0,64.98,0.26
47,68.0,0.08,92.0,55.35,0.26
48,44.0,0.12,88.0,99.22,0.33
48,88.0,0.02,98.0,58.18,0.32
48,64.0,0.06,94.0,75.21,0.32
48,86.0,0.03,97.0,47.65,0.32
48,68.0,0.06,94.0,78.3,0.32
48,82.0,0.03,97.0,59.08,0.32
49,68.0,0.06,94.0,80.12,0.43
49,58.0,0.08,92.0,102.32,0.43
50,56.0,0.1,90.0,84.97,0.51


50,88.0,0.04,96.0,48.2,0.51
51,66.0,0.09,91.0,64.41,0.44
51,64.0,0.07,93.0,56.34,0.44
52,52.0,0.09,91.0,89.91,0.36
52,80.0,0.07,93.0,29.36,0.36
52,58.0,0.07,93.0,73.25,0.36
53,66.0,0.09,91.0,71.31,0.34
53,86.0,0.04,96.0,31.08,0.34
53,62.0,0.08,92.0,62.28,0.34
54,74.0,0.05,95.0,63.17,0.35
54,70.0,0.07,93.0,90.17,0.35
54,82.0,0.05,95.0,39.9,0.35
55,82.0,0.05,95.0,39.41,0.37
55,56.0,0.02,98.0,106.0,0.37
