episode,r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
90,44,100,9.553812,1,1,44,0.19,81,68.59,10.51,0.11
91,64,100,9.660784,1,0,64,0.14,86,62.92,10.1,0.1
92,44,100,9.762977,1,4,44,0.19,81,81.45,6.17,0.1
93,26,100,9.880522,1,2,26,0.22,78,108.09,6.3,0.1
94,62,100,9.997045,1,0,62,0.15,85,58.56,3.3,0.11
95,46,100,10.116134,-1,5,46,0.13,87,72.19,8.84,0.11
96,52,100,10.230012,-1,5,52,0.23,77,45.99,9.77,0.11
97,42,100,10.337581,1,1,42,0.12,88,105.3,6.78,0.11
98,62,100,10.45172,1,2,62,0.15,85,40.02,6.21,0.1
99,50,100,10.557718,1,3,50,0.19,81,56.22,9.38,0.11
100,40,100,10.661964,1,3,40,0.25,75,63.84,7.86,0.1
101,50,100,10.839898,1,4,50,0.13,87,92.95,4.95,0.1
102,28,100,11.034703,1,2,28,0.18,82,107.97,9.55,0.17
103,62,100,11.220781,1,2,62,0.15,85,52.92,6.91,0.17
104,34,100,11.397597,-1,5,34,0.22,78,100.37,3.84,0.17
105,34,100,11.583239,1,0,34,0.19,81,113.99,1.81,0.16
106,42,100,11.768032,1,3,42,0.18,82,85.13,9.85,0.17
107,2,100,11.957571,-1,5,2,0.22,78,163.47,6.48,0.17
108,20,100,12.140795,1,3,20,0.23,77,114.64,2.45,0.18
109,54,100,12.318432,1,1,54,0.19,81,51.02,8.28,0.17
110,76,100,12.504107,1,3,76,0.1,90,35.46,13.48,0.16
111,6,100,12.687006,-1,5,6,0.25,75,125.12,8.47,0.17
112,40,100,12.868554,1,3,40,0.19,81,71.85,6.49,0.17
113,78,100,13.054896,1,3,78,0.1,90,28.66,11.49,0.17
114,52,100,13.229815,1,0,52,0.21,79,36.26,7.59,0.17
115,42,100,13.412566,1,4,42,0.17,83,99.71,8.91,0.16
116,62,100,13.595879,-1,5,62,0.12,88,53.53,12.34,0.17
117,56,100,13.774772,1,1,56,0.18,82,38.64,10.35,0.17
118,18,100,13.954559,-1,5,18,0.17,83,136.75,4.69,0.16
119,32,100,14.138048,1,0,32,0.17,83,111.87,10.05,0.17
120,48,100,14.320386,-1,5,48,0.13,87,72.58,6.92,0.17
121,44,100,14.515884,1,4,44,0.14,86,127.29,3.32,0.17
122,52,100,14.686486,1,0,52,0.21,79,67.19,12.25,0.18
123,48,100,14.870983,1,2,48,0.2,80,69.49,5.97,0.16
124,46,100,15.057097,1,3,46,0.21,79,64.9,10.71,0.17
125,52,100,15.246963,1,1,52,0.22,78,45.47,5.81,0.17
126,38,100,15.438208,1,2,38,0.19,81,85.53,8.79,0.18
127,40,100,15.625603,1,0,40,0.16,84,103.34,7.43,0.18
128,62,100,15.801172,-1,5,62,0.17,83,62.49,4.7,0.17
129,32,100,15.981432,-1,5,32,0.24,76,85.05,10.12,0.16
130,50,100,16.159252,1,1,50,0.23,77,27.66,12.46,0.16
131,56,100,16.345452,1,1,56,0.18,82,44.79,1.9,0.16
132,28,100,16.521149,1,3,28,0.25,75,75.11,11.65,0.17
133,44,100,16.707462,1,4,44,0.19,81,72.78,5.33,0.16
134,26,100,16.88396,1,1,26,0.27,73,73.37,2.17,0.17
135,22,100,17.079978,1,0,22,0.17,83,116.76,5.64,0.16
136,56,100,17.258222,1,4,56,0.19,81,37.52,4.92,0.18
137,48,100,17.439258,1,2,48,0.23,77,67.65,5.48,0.17
138,46,100,17.621189,1,0,46,0.17,83,67.98,8.24,0.17
139,72,100,17.82167,-1,5,72,0.11,89,42.23,9.68,0.17
140,50,100,18.005197,-1,5,50,0.18,82,64.24,2.23,0.19
141,44,100,18.207457,1,3,44,0.15,85,88.82,2.11,0.17
142,-2,100,18.387069,1,2,-2,0.15,85,151.6,11.39,0.19
143,58,100,18.56343,1,3,58,0.17,83,47.32,12.34,0.17
144,56,100,18.741612,1,1,56,0.17,83,79.84,10.91,0.16
145,50,100,18.927063,1,4,50,0.15,85,77.77,11.49,0.16
146,46,100,19.113617,-1,4,46,0.23,77,71.54,6,0.17
147,74,100,19.301038,1,3,74,0.1,90,51.95,2.93,0.17
148,38,100,19.484597,1,0,38,0.19,81,86.24,9.1,0.17
149,46,100,19.660067,1,4,46,0.19,81,72.81,8.78,0.17
150,38,100,19.840221,1,1,38,0.2,80,63.39,5.04,0.16
151,62,100,20.027666,1,4,62,0.14,86,46.93,5.02,0.17
152,40,100,20.213515,1,2,40,0.16,84,83.52,8.61,0.17
153,60,100,20.391718,1,1,60,0.14,86,64.06,11.67,0.17
154,56,100,20.568936,1,0,56,0.14,86,77.66,9.08,0.17
155,36,100,20.74918,1,2,36,0.18,82,89.76,14.39,0.16
156,42,100,20.930426,1,0,42,0.15,85,67.84,8.14,0.16
157,52,100,21.112726,1,4,52,0.19,81,54.11,10.71,0.17
158,60,100,21.295487,-1,5,60,0.15,85,45.18,9.51,0.17
159,38,100,21.485286,1,2,38,0.17,83,86.1,9.11,0.17
160,56,100,21.660426,1,3,56,0.17,83,62.48,11.98,0.17
161,40,100,21.84873,1,2,40,0.22,78,94.81,9.64,0.16
162,54,100,22.032501,1,3,54,0.2,80,49.2,11.9,0.17
163,36,100,22.234674,1,4,36,0.2,80,80.25,7.16,0.17
164,28,100,22.405355,1,2,28,0.26,74,72.27,10.86,0.18
165,30,100,22.596369,1,0,30,0.21,79,106.34,1.66,0.16
166,40,100,22.77765,1,2,40,0.19,81,79.06,9.7,0.18
167,52,100,22.991424,1,1,52,0.15,85,74.17,2.99,0.17
168,48,100,23.196633,1,1,48,0.16,84,69.12,10.21,0.2
169,66,100,23.377173,1,2,66,0.17,83,40.59,8.34,0.19
170,34,100,23.579965,1,3,34,0.19,81,87.75,5.22,0.17
171,26,100,23.766495,1,2,26,0.11,89,116.25,4.23,0.19
172,52,100,23.967316,-1,5,52,0.2,80,44.1,8.31,0.17
173,50,100,24.140675,-1,5,50,0.24,76,37.41,7.28,0.19
174,64,100,24.324232,1,2,64,0.15,85,46.29,7.58,0.16
175,58,100,24.512466,1,2,58,0.13,87,77.98,6.13,0.17
176,26,100,24.695812,1,1,26,0.22,78,96.63,2.66,0.17
177,48,100,24.872728,1,0,48,0.13,87,92.32,9,0.17
178,42,100,25.063243,1,1,42,0.15,85,82,5.14,0.16
179,66,100,25.270827,1,4,66,0.14,86,41.27,7.88,0.18
180,52,100,25.462101,1,2,52,0.17,83,47,14.36,0.19
181,36,100,25.654484,-1,5,36,0.24,76,68.67,8.32,0.18
182,46,100,25.834761,1,1,46,0.18,82,81.53,8.95,0.18
183,-4,100,26.023433,-1,5,-4,0.22,78,138.98,8.67,0.17
184,52,100,26.232539,1,3,52,0.17,83,65.16,8.49,0.18
185,50,100,26.447127,1,1,50,0.11,89,87.02,7.24,0.19
186,48,100,26.650266,1,1,48,0.15,85,103.74,12.61,0.2
187,52,100,26.849674,1,3,52,0.17,83,63.19,8.88,0.19
188,58,100,27.049155,1,3,58,0.13,87,71.12,10.05,0.18
189,42,100,27.226733,1,2,42,0.21,79,54.26,11.29,0.18
190,60,100,27.44703,1,2,60,0.15,85,62.6,9.2,0.16
191,62,100,27.656761,1,0,62,0.15,85,63.33,10.62,0.21
192,36,100,27.873001,1,3,36,0.19,81,97.02,7.43,0.19
193,50,100,28.066586,1,1,50,0.19,81,47.75,14.22,0.2
194,50,100,28.25707,1,1,50,0.11,89,61.35,12.27,0.18
195,52,100,28.446918,1,1,52,0.2,80,59.19,2.03,0.17
196,36,100,28.634289,1,0,36,0.18,82,94.73,7.33,0.18
197,48,100,28.814148,1,2,48,0.15,85,84.74,3.08,0.17
198,72,100,29.000211,1,0,72,0.13,87,23.2,7.59,0.17
199,36,100,29.180949,1,2,36,0.13,87,95.56,2,0.17
200,56,100,29.373668,1,3,56,0.18,82,61.57,10.77,0.17
201,54,100,29.566715,1,4,54,0.16,84,55.23,5.36,0.18
202,50,100,29.788761,1,3,50,0.22,78,68.24,9.09,0.18
203,46,100,30.014433,1,0,46,0.2,80,60.64,7.93,0.21
204,50,100,30.229867,1,1,50,0.15,85,50.41,12.12,0.21
205,56,100,30.425835,1,1,56,0.13,87,86.2,8.88,0.2
206,36,100,30.623345,1,1,36,0.23,77,64.15,5.9,0.18
207,64,100,30.81016,-1,5,64,0.11,89,74.73,10.33,0.18
208,46,100,30.989581,1,4,46,0.14,86,85.81,4.57,0.17
209,38,100,31.17736,1,1,38,0.19,81,88.23,3.81,0.17
210,66,100,31.368231,1,0,66,0.16,84,22.05,9.46,0.17
211,40,100,31.558302,1,1,40,0.22,78,66.71,7.4,0.18
212,60,100,31.737801,-1,5,60,0.17,83,29.03,5.87,0.17
213,52,100,31.9263,1,1,52,0.14,86,76.82,9.92,0.16
214,50,100,32.109302,1,0,50,0.19,81,70.21,11.21,0.18
215,32,100,32.293818,-1,5,32,0.17,83,112.17,8.03,0.17
216,62,100,32.496864,1,4,62,0.17,83,60.31,7.81,0.17
217,56,100,32.679214,1,1,56,0.18,82,58.85,10.88,0.19
218,50,100,32.869068,1,1,50,0.13,87,87.33,8.67,0.17
219,34,100,33.052995,1,4,34,0.23,77,82.87,3.77,0.18
220,58,100,33.242686,1,1,58,0.08,92,87.48,4.24,0.17
221,74,100,33.42091,1,0,74,0.12,88,24.71,8.2,0.17
222,56,100,33.611109,1,0,56,0.2,80,43.83,8.54,0.16
223,62,100,33.795859,1,0,62,0.13,87,61.53,9.69,0.18
224,56,100,33.973476,1,0,56,0.16,84,58.16,2.47,0.17
225,38,100,34.148876,1,2,38,0.21,79,79.47,4.19,0.16
226,36,100,34.341272,1,0,36,0.18,82,101.92,2.62,0.16
227,62,100,34.532384,1,1,62,0.12,88,57.83,9.75,0.18
228,70,100,34.721222,1,3,70,0.13,87,44.21,9.41,0.18
229,60,100,34.905747,1,3,60,0.16,84,43.22,10.55,0.17
230,54,100,35.096657,1,2,54,0.14,86,73.35,2.64,0.17
231,60,100,35.280468,1,0,60,0.15,85,44.67,11.95,0.18
232,12,100,35.45888,1,1,12,0.24,76,106.76,8.5,0.17
233,70,100,35.659067,-1,5,70,0.12,88,42.62,10.2,0.16
234,38,100,35.842224,1,1,38,0.19,81,88.01,9.42,0.18
235,44,100,36.028384,1,0,44,0.23,77,60.22,2.66,0.17
236,72,100,36.216326,-1,5,72,0.11,89,45.56,7.12,0.17
237,64,100,36.414172,1,3,64,0.17,83,30.04,5.4,0.17
238,56,100,36.601231,-1,5,56,0.19,81,61.36,9.67,0.18
239,50,100,36.78944,1,3,50,0.17,83,60.8,11.76,0.17
240,48,100,36.98507,1,4,48,0.16,84,86.44,3.97,0.17
241,42,100,37.168656,1,4,42,0.15,85,85.36,2.82,0.18
242,66,100,37.373634,-1,5,66,0.09,91,65.66,10.37,0.17
243,44,100,37.552239,-1,4,44,0.22,78,56.07,6.98,0.19
244,60,100,37.748671,1,1,60,0.16,84,55.05,11.68,0.16
245,36,100,37.932973,1,1,36,0.18,82,88.74,5.24,0.18
246,50,100,38.124602,1,0,50,0.12,88,92.37,5.8,0.17
247,56,100,38.304614,1,4,56,0.19,81,58.49,5.16,0.18
248,40,100,38.492437,1,4,40,0.22,78,74.36,5.18,0.17
249,46,100,38.671462,1,2,46,0.18,82,52.51,9.91,0.17
250,52,100,38.857666,-1,5,52,0.18,82,65.05,2.9,0.16
251,50,100,39.048924,-1,5,50,0.15,85,92.98,14.31,0.17
252,74,100,39.247659,1,1,74,0.13,87,20.89,10.24,0.18
253,54,100,39.447906,1,0,54,0.1,90,72.68,4.26,0.18
254,50,100,39.642219,1,1,50,0.19,81,72.95,2.64,0.19
255,62,100,39.824682,1,0,62,0.17,83,45.77,4.45,0.18
256,40,100,40.015291,1,4,40,0.16,84,91.79,3.38,0.17
257,66,100,40.215651,1,1,66,0.11,89,70.8,11.39,0.18
258,68,100,40.405345,1,1,68,0.15,85,39.26,10.56,0.19
259,58,100,40.598013,1,3,58,0.13,87,57.96,9.17,0.18
260,54,100,40.783499,1,1,54,0.16,84,62.41,7.1,0.18
261,42,100,40.979666,1,1,42,0.19,81,84.03,10.91,0.17
262,60,100,41.194165,1,2,60,0.16,84,46.39,5.04,0.18
263,56,100,41.420563,1,4,56,0.14,86,56.41,10.06,0.2
264,66,100,41.623141,1,3,66,0.1,90,52.4,10.58,0.21
265,6,100,41.83454,1,0,6,0.22,78,131.65,11.4,0.19
266,74,100,42.081852,1,1,74,0.1,90,32.16,3.47,0.2
267,48,100,42.290518,1,2,48,0.18,82,77.05,6.11,0.23
268,48,100,42.491818,1,3,48,0.12,88,94.13,6.11,0.19
269,68,100,42.72315,1,0,68,0.11,89,62.61,8.34,0.19
270,64,100,42.939807,1,4,64,0.12,88,72.5,9.65,0.22
271,64,100,43.145159,1,1,64,0.12,88,52.19,4.86,0.2
272,56,100,43.332654,1,3,56,0.17,83,73.82,10.28,0.19
273,62,100,43.570566,1,2,62,0.13,87,56.47,6.43,0.17
274,42,100,43.766568,1,1,42,0.2,80,81.21,2.59,0.22
275,66,100,43.972744,1,2,66,0.06,94,65.7,9.93,0.18
276,62,100,44.160331,1,3,62,0.12,88,64.51,11.59,0.19
277,48,100,44.349819,1,1,48,0.12,88,87.44,5.67,0.17
278,48,100,44.543654,1,2,48,0.12,88,81.92,8.13,0.18
279,46,100,44.744324,1,3,46,0.18,82,81.68,5.92,0.18
280,44,100,44.935483,1,2,44,0.16,84,78.83,12,0.19
281,48,100,45.12671,1,1,48,0.13,87,83.18,8.55,0.18
282,58,100,45.314222,1,0,58,0.16,84,57.76,8.75,0.18
283,68,100,45.510835,1,1,68,0.11,89,37.77,11.84,0.17
284,38,100,45.699233,1,3,38,0.17,83,78.72,4.49,0.18
285,68,100,45.898748,1,3,68,0.11,89,41.54,4.67,0.17
286,50,100,46.090432,-1,5,50,0.2,80,45.55,7.91,0.19
287,62,100,46.292958,1,3,62,0.08,92,73.84,2.7,0.18
288,58,100,46.489793,1,3,58,0.11,89,95.76,2.86,0.19
289,46,100,46.686577,1,2,46,0.12,88,69.71,9.44,0.18
290,40,100,46.895325,1,1,40,0.12,88,110.81,4.75,0.18
291,66,100,47.088015,1,2,66,0.13,87,48.44,3.33,0.19
292,54,100,47.301288,1,3,54,0.17,83,61.92,12.18,0.18
293,48,100,47.512393,1,4,48,0.19,81,92.16,5.23,0.2
294,32,100,47.734621,1,1,32,0.19,81,107.32,11.34,0.2
295,52,100,47.943076,1,1,52,0.19,81,82.54,2,0.21
296,62,100,48.149183,-1,5,62,0.11,89,47.76,4.36,0.19
297,68,100,48.350229,1,1,68,0.15,85,42.25,4.01,0.19
298,78,100,48.5565,1,1,78,0.11,89,40.59,5.88,0.19
299,48,100,48.75292,-1,5,48,0.15,85,79.58,12.19,0.19
300,78,100,48.987208,1,0,78,0.09,91,41.25,7.53,0.18
301,32,100,49.203029,1,1,32,0.17,83,88.18,5.24,0.22
302,68,100,49.406035,1,1,68,0.11,89,63.47,5.8,0.2
303,56,100,49.612398,-1,5,56,0.11,89,88.85,2.31,0.19
304,60,100,49.815634,1,3,60,0.12,88,60.52,2.06,0.19
305,58,100,50.028822,1,1,58,0.14,86,71.07,2.36,0.19
306,56,100,50.234882,1,1,56,0.13,87,54.67,2.98,0.2
307,54,100,50.447499,1,4,54,0.11,89,97.45,5.17,0.19
308,58,100,50.635512,1,0,58,0.18,82,38.9,4.7,0.2
309,42,100,50.828267,-1,5,42,0.21,79,77.2,10.48,0.17
310,56,100,51.045727,1,3,56,0.18,82,56.73,4.65,0.18
311,56,100,51.243398,1,2,56,0.18,82,76.5,8.83,0.2
312,60,100,51.438942,1,4,60,0.12,88,62.23,9.48,0.18
313,70,100,51.627488,1,0,70,0.15,85,25.32,5.3,0.18
314,56,100,51.825213,1,2,56,0.13,87,74.91,7.35,0.18
315,62,100,52.017535,1,2,62,0.16,84,57.03,7.07,0.18
316,62,100,52.207276,1,3,62,0.15,85,56.22,9.84,0.18
317,18,100,52.39211,1,3,18,0.18,82,136.15,5.32,0.18
318,56,100,52.57893,-1,5,56,0.19,81,38.36,9.35,0.17
319,60,100,52.768467,1,0,60,0.16,84,74.16,6.2,0.17
320,70,100,52.967596,1,2,70,0.12,88,31.75,7.45,0.18
321,38,100,53.152918,1,3,38,0.18,82,89.94,1.8,0.19
322,78,100,53.344242,1,0,78,0.1,90,30.25,9.15,0.17
323,60,100,53.538635,1,2,60,0.1,90,79.49,5.78,0.18
324,54,100,53.734346,1,3,54,0.14,86,86.62,5.87,0.18
325,74,100,53.947708,1,3,74,0.08,92,44.11,12.35,0.18
326,64,100,54.159947,1,0,64,0.13,87,58.36,4.59,0.2
327,42,100,54.367268,1,3,42,0.15,85,75.88,10.65,0.2
328,48,100,54.569545,1,0,48,0.13,87,98.14,3.49,0.19
329,52,100,54.767154,1,2,52,0.13,87,65.05,11.31,0.19
330,62,100,54.963806,1,3,62,0.12,88,82.66,8.52,0.18
331,74,100,55.155523,1,4,74,0.08,92,43.28,5.85,0.18
332,78,100,55.392083,1,2,78,0.11,89,26.1,9.09,0.18
333,64,100,55.604129,1,1,64,0.12,88,75.8,8.16,0.22
334,52,100,55.816688,1,0,52,0.11,89,73.81,5.66,0.2
335,62,100,56.027161,1,1,62,0.11,89,52.12,2.04,0.2
336,50,100,56.239854,1,0,50,0.13,87,77.53,7.11,0.2
337,62,100,56.450481,1,1,62,0.13,87,68.56,16,0.19
338,64,100,56.663049,1,1,64,0.16,84,47.41,8.83,0.2
339,48,100,56.866773,1,2,48,0.18,82,59.54,8.11,0.2
340,60,100,57.071683,1,0,60,0.16,84,31.97,7.95,0.19
341,62,100,57.281698,1,2,62,0.12,88,61.28,4.98,0.19
342,42,100,57.485517,-1,5,42,0.17,83,91.71,6,0.19
343,66,100,57.705883,1,0,66,0.14,86,33.65,6.22,0.19
344,64,100,57.916236,1,2,64,0.15,85,42.32,11.76,0.21
345,68,100,58.099111,-1,5,68,0.08,92,61.77,4.53,0.19
346,52,100,58.286864,-1,5,52,0.21,79,45.92,2.48,0.17
347,44,100,58.476623,1,4,44,0.17,83,91,3.34,0.17
348,46,100,58.659231,1,4,46,0.2,80,86.24,8.07,0.17
349,60,100,58.848612,1,0,60,0.13,87,63.63,8.85,0.17
350,68,100,59.050328,1,2,68,0.13,87,46.04,8.57,0.17
351,68,100,59.249248,1,3,68,0.11,89,85.09,8.67,0.19
352,50,100,59.431519,1,0,50,0.22,78,48.61,9.66,0.18
353,68,100,59.638927,1,0,68,0.13,87,45.02,6.17,0.17
354,66,100,59.851113,1,0,66,0.07,93,94.98,3.73,0.19
355,72,100,60.057432,1,2,72,0.06,94,77.07,5.87,0.2
356,64,100,60.257127,1,4,64,0.13,87,49.17,4.68,0.19
357,48,100,60.44373,1,0,48,0.12,88,105.42,4.46,0.18
