1,913.21,0.19,81.0,103.32,4.49,0.31
1,965.85,0.17,83.0,82.2,4.16,0.31

1,795.17,0.3,70.0,75.64,4.21,0.31
1,967.69,0.22,78.0,73.06,3.31,0.31
2,863.78,0.19,81.0,108.86,5.1,0.28
,408.93,0.21,79.0,76.26,10.56,0.28
2,1116.88,0.21,79.0,68.75,1.6,0.28
2,887.12,0.25,75.0,91.39,3.84,0.28

3,255.86,0.18,82.0,53.68,12.66,0.31
3,677.47,0.22,78.0,28.06,7.03,0.31
4,596.88,0.2,80.0,79.3,8.29,0.3

4,1001.76,0.23,77.0,85.51,2.69,0.3
4,287.0,0.25,75.0,43.95,11.84,0.3
4,516.9,0.23,77.0,48.25,8.99,0.3
4,481.99,0.24,76.0,79.11,9.34,0.3
5,414.0,0.16,84.0,77.51,10.88,0.27
5,235.6,0.24,76.0,83.84,12.58,0.27
5,843.6,0.23,77.0,54.09,4.75,0.27

5,639.16,0.24,76.0,39.28,7.27,0.26
6,795.6,0.24,76.0,47.45,5.22,0.26

6,560.51,0.23,77.0,81.74,8.42,0.26
6,743.81,0.19,81.0,56.51,6.58,0.26
6,1036.03,0.19,81.0,78.83,2.97,0.26
7,501.04,0.23,77.0,110.39,9.19,0.267,957.7,0.14,86.0,82.54,4.7,0.26

7,817.96,0.31,69.0,127.37,3.7,0.26
7,502.89,0.15,85.0,89.91,9.91,0.26
7,755.0,0.21,79.0,53.9,6.18,0.26
8,681.64,0.19,81.0,80.56,7.35,0.26
8,636.55,0.16,84.0,64.19,8.23,0.26
8,904.98,0.19,81.0,57.23,4.59,0.26

9,638.0,0.18,82.0,75.22,8.0,0.26


9,1050.65,0.19,81.0,106.88,2.79,0.26
9,979.21,0.14,86.0,116.15,4.45,0.26
9,205.0,0.19,81.0,100.15,13.23,0.26
9,879.61,0.19,81.0,80.98,4.91,0.26
9,1030.0,0.22,78.0,91.47,2.51,0.26
10,709.48,0.16,84.0,102.23,7.36,0.26
0,838.0,0.14,86.0,40.92,6.09,0.26

11,742.31,0.16,84.0,39.57,6.97,0.26

11,430.0,0.18,82.0,83.97,10.54,0.26
11,829.25,0.21,79.0,91.05,5.24,0.26
11,675.0,0.21,79.0,109.76,7.19,0.26
11,522.41,0.19,81.0,94.89,9.32,0.26
11,440.0,0.16,84.0,89.3,10.57,0.26
12,725.0,0.18,82.0,50.18,6.94,0.27


12,500.0,0.18,82.0,102.71,9.68,0.27

12,686.66,0.24,76.0,54.84,6.65,0.27
12,995.77,0.24,76.0,73.85,2.58,0.27
13,264.43,0.27,73.0,98.36,12.01,0.26
13,1074.0,0.2,80.0,113.12,2.33,0.26
13,1116.0,0.24,76.0,90.17,1.0,0.26
14,1005.54,0.28,72.0,124.64,1.65,0.14,614,590.64,0.2,80.0,101.72,8.37,0.25

15,511.0,0.19,81.0,60.58,9.46,0.26



15,777.74,0.22,78.0,84.97,5.75,0.26
15,341.0,0.19,81.0,87.55,11.56,0.26
16,1070.68,0.18,82.0,73.21,2.72,0.27
16,904.72,0.18,82.0,86.44,4.75,0.27
16,794.0,0.18,82.0,70.51,6.1,0.27

16,607.1,0.23,77.0,62.73,7.82,0.27
16,921.73,0.14,86.0,70.2,5.12,0.27
16,1011.31,0.25,75.0,72.31,2.18,0.27
17,343.0,0.15,85.0,68.73,11.79,0.26
17,1080.99,0.17,83.0,48.71,2.77,0.26
17,1100.81,0.18,82.0,49.97,2.36,0.26
17,517.67,0.21,79.0,104.3,9.18,0.26
18,800.4,0.15,85.0,47.03,6.41,0.26
18,876.8,0.23,77.0,83.4,4.31,0.26


18,844.67,0.15,85.0,51.01,5.89,0.26
18,1103.13,0.17,83.0,54.87,2.5,0.26
18,583.03,0.21,79.0,85.98,8.35,0.26
19,270.28,0.22,78.0,44.44,12.25,0.27
19,797.53,0.18,82.0,112.96,6.05,0.27
20,613.72,0.23,77.0,42.58,7.73,0.27
220,514.97,0.2,80.0,82.4,9.31,0.27

21,956.6,0.19,81.0,68.15,3.96,10.62


21,295.2,0.19,81.0,23.24,12.12,10.62
22,965.84,0.12,88.0,68.97,4.89,0.43

22,411.0,0.09,91.0,77.29,11.38,0.43
22,856.11,0.23,77.0,104.97,4.58,0.42
23,952.39,0.17,83.0,91.53,4.32,0.4

23,1107.0,0.13,87.0,85.08,3.13,0.4

23,979.96,0.13,87.0,72.06,4.59,0.4
24,683.92,0.18,82.0,35.65,7.44,0.35
24,593.24,0.15,85.0,76.42,8.84,0.35
24,320.0,0.18,82.0,86.93,11.88,0.35
24,511.0,0.17,83.0,74.63,9.64,0.35
24,608.91,0.11,89.0,83.08,9.03,0.35
25,793.77,0.17,83.0,65.1,6.23,0.35
525,706.54,0.14,86.0,60.59,7.62,0.35
25,295.0,0.21,79.0,44.58,12.0,0.35

26,966.0,0.18,82.0,76.28,4.0,0.39
39
26,888.17,0.15,85.0,60.61,5.37,0.39
26,1024.75,0.15,85.0,119.61,3.77,0.39
26,767.3,0.19,81.0,103.04,6.29,0.39
26,383.0,0.21,79.0,115.06,10.89,0.39
27,411.0,0.19,81.0,63.26,10.69,0.31
27,1022.06,0.22,78.0,82.31,2.61,0.31
27,233.5,0.15,85.0,89.02,13.08,0.312727,1018.81,0.24,76.0,77.62,2.28,0.31
28,748.25,0.17,83.0,50.85,6.78,0.29
28,895.0,0.14,86.0,101.59,5.43,0.29
28,692.0,0.12,88.0,96.46,8.0,0.29
28,-17.0,0.17,83.0,75.85,16.0,0.29

29,672.22,0.14,86.0,52.76,8.02,0.3
29,903.07,0.17,83.0,25.86,4.91,0.3
29,670.62,0.14,86.0,106.25,8.04,0.3
29,907.44,0.23,77.0,61.26,3.92,0.3
29,680.57,0.2,80.0,75.43,7.24,0.3
29,451.5,0.15,85.0,57.51,10.51,0.3
30,849.52,0.18,82.0,60.57,5.42,0.32
30,518.74,0.16,84.0,54.79,9.63,0.32
30,670.16,0.14,86.0,73.76,8.04,0.32

30,1123.64,0.2,80.0,45.1,1.7,0.32
30,687.7,0.15,85.0,47.52,7.73,0.32
31,788.62,0.09,91.0,34.94,7.23,0.3
31,834.0,0.16,84.0,72.03,5.88,0.3
31,974.99,0.15,85.0,69.86,4.35,0.3
31,718.63,0.17,83.0,77.71,7.14,0.3

32,540.67,0.17,83.0,83.52,9.28,0.3

32,698.22,0.23,77.0,38.68,6.63,0.3
32,703.08,0.12,88.0,51.49,7.87,0.31
32,376.89,0.15,85.0,45.68,11.39,0.3
32,1156.47,0.15,85.0,64.24,2.22,0.31
33,727.64,0.17,83.0,60.32,7.03,0.29

33,806.0,0.14,86.0,55.79,6.47,0.29
33,887.14,0.11,89.0,69.4,5.91,0.29
33,704.96,0.2,80.0,97.68,6.94,0.29
33,628.31,0.23,77.0,68.74,7.54,0.29
33,609.2,0.22,78.0,42.53,7.91,0.29
34,451.5,0.19,81.0,65.02,10.19,0.32
334,504.62,0.23,77.0,88.97,9.15,0.32
34,1050.63,0.18,82.0,79.38,2.97,0.33
35,878.0,0.14,86.0,46.34,5.63,0.29
35,652.27,0.16,84.0,55.06,8.04,0.29

36,633.87,0.16,84.0,112.93,8.26,0.29
36,831.91,0.16,84.0,86.22,5.91,0.3


36,988.05,0.14,86.0,61.27,4.35,0.29
36,1136.76,0.19,81.0,116.73,1.73,0.29
36,599.21,0.17,83.0,61.32,8.58,0.3
37,735.64,0.14,86.0,67.21,7.28,0.3

37,638.98,0.16,84.0,44.8,8.2,0.3

38,852.17,0.18,82.0,118.65,5.39,0.31
,515.0,0.09,91.0,30.89,10.24,0.31
38,69.14,0.08,92.0,79.07,15.16,0.32
39,859.0,0.15,85.0,79.59,5.72,0.27

39,434.36,0.21,79.0,57.71,10.24,0.27
39,510.61,0.19,81.0,81.53,9.46,0.27
39,1056.57,0.13,87.0,105.71,3.71,0.27
40,644.75,0.09,91.0,57.67,8.82,0.3
440,901.0,0.09,91.0,44.58,6.0,0.3

41,152.0,0.16,84.0,40.14,14.0,9.52
441,520.0,0.1,90.0,86.89,10.11,9.52
41,467.0,0.15,85.0,44.94,10.33,9.52
42,657.28,0.09,91.0,60.08,8.68,0.32

42,932.57,0.12,88.0,93.48,5.27,0.32
42,615.69,0.08,92.0,73.37,9.22,0.32
42,306.0,0.14,86.0,78.61,12.28,0.32
42,761.55,0.15,85.0,56.24,6.86,0.32
42,944.96,0.21,79.0,51.7,3.77,0.32
43,968.68,0.11,89.0,61.01,4.99,0.28443,522.54,0.12,88.0,76.61,9.93,0.29
43,724.51,0.16,84.0,42.95,7.18,0.29
43,388.0,0.08,92.0,33.83,11.7,0.29

44,509.8,0.16,84.0,78.46,9.74,0.28

44,770.0,0.16,84.0,69.4,6.64,0.28
44,700.47,0.07,93.0,71.08,8.39,0.28
44,823.17,0.18,82.0,79.88,5.74,0.28
44,411.0,0.13,87.0,70.97,11.13,0.28
44,462.53,0.12,88.0,66.56,10.61,0.28
44,392.72,0.13,87.0,72.1,11.34,0.28
45,684.59,0.09,91.0,46.31,8.38,0.28
45,1262.08,0.08,92.0,65.02,2.19,0.28
45,1144.78,0.18,82.0,75.54,1.82,0.28
45,976.49,0.16,84.0,64.58,4.18,0.28

46,241.09,0.18,82.0,58.85,12.84,0.346,431.62,0.14,86.0,55.17,10.82,0.3

47,624.57,0.12,88.0,48.04,8.77,0.3

47,568.0,0.1,90.0,47.03,9.58,0.3
47,755.26,0.17,83.0,57.91,6.7,0.3
47,681.96,0.17,83.0,66.07,7.58,0.3
47,475.0,0.13,87.0,55.77,10.39,0.3
48,910.31,0.1,90.0,46.24,5.77,0.29

48,962.0,0.12,88.0,84.62,4.93,0.28
48,955.69,0.16,84.0,81.81,4.43,0.28
48,468.85,0.12,88.0,97.0,10.54,0.28
48,600.0,0.12,88.0,25.76,9.05,0.28
49,963.7,0.17,83.0,58.89,4.18,0.3

49,1255.61,0.12,88.0,72.3,1.6,0.3

49,622.37,0.19,81.0,62.4,8.08,0.3
49,965.46,0.18,82.0,95.89,4.01,0.3
49,1073.13,0.1,90.0,70.86,3.97,0.3
50,437.0,0.11,89.0,96.86,10.97,0.29
50,655.89,0.18,82.0,77.93,7.78,0.29
50,966.6,0.13,87.0,88.68,4.74,0.29
50,986.46,0.15,85.0,83.24,4.22,0.29
50,590.41,0.11,89.0,96.59,9.24,0.29
51,171.0,0.11,89.0,20.62,13.96,0.33
51,699.87,0.09,91.0,75.77,8.21,0.33
51,1096.5,0.11,89.0,108.91,3.56,0.33
51,731.74,0.1,90.0,90.25,7.76,0.33

51,471.61,0.12,88.0,75.77,10.5,0.33
52,681.0,0.14,86.0,84.4,7.92,0.27

52,666.47,0.12,88.0,55.86,8.29,0.27
52,925.76,0.11,89.0,92.51,5.47,0.27
52,793.16,0.09,91.0,119.03,7.19,0.27552,941.0,0.13,87.0,53.89,5.03,0.27
53,608.21,0.14,86.0,63.1,8.77,0.28
53,816.13,0.12,88.0,49.45,6.59,0.28
53,781.3,0.09,91.0,53.44,7.32,0.28
53,1191.0,0.16,84.0,57.31,1.63,0.28
53,872.0,0.12,88.0,58.26,5.95,0.28
54,555.2,0.12,88.0,44.81,9.55,0.28
54,911.51,0.14,86.0,47.06,5.24,0.28
54,182.0,0.1,90.0,64.29,13.87,0.28
54,765.22,0.11,89.0,35.21,7.28,0.28
54,774.9,0.14,86.0,42.85,6.83,0.28
55,1124.23,0.08,92.0,79.01,3.69,0.355,1153.0,0.15,85.0,101.21,2.26,0.3
55,555.29,0.16,84.0,48.72,9.2,0.3
55,270.0,0.1,90.0,74.42,12.89,0.3

55,466.72,0.12,88.0,80.39,10.56,0.3
56,866.0,0.1,90.0,61.31,6.27,0.32



56,834.71,0.08,92.0,53.35,6.84,0.32
57,941.92,0.17,83.0,92.3,4.45,0.32


57,704.07,0.16,84.0,89.12,7.43,0.32
57,1073.84,0.11,89.0,98.25,3.81,0.32
57,1152.78,0.15,85.0,82.18,2.26,0.32
58,623.4,0.12,88.0,83.93,8.78,0.3

58,527.74,0.11,89.0,79.32,9.95,0.3
58,344.97,0.15,85.0,96.85,11.76,0.358,646.31,0.15,85.0,78.9,8.22,0.3
59,698.94,0.1,90.0,74.66,8.12,0.33

59,1177.86,0.14,86.0,45.06,2.14,0.33
59,737.0,0.15,85.0,71.35,7.15,0.33
60,642.02,0.12,88.0,56.9,8.57,0.34
60,461.14,0.19,81.0,59.36,10.07,0.34
60,992.72,0.12,88.0,41.69,4.58,0.34
60,1122.85,0.13,87.0,37.58,2.94,0.34
60,838.78,0.09,91.0,74.7,6.68,0.34
60,861.37,0.21,79.0,36.62,4.83,0.34
60,901.75,0.05,95.0,48.51,6.46,0.34
61,1170.29,0.14,86.0,83.66,2.23,0.51
1,701.32,0.23,77.0,84.04,6.59,0.51
61,740.48,0.1,90.0,53.97,7.66,0.51
61,632.8,0.14,86.0,78.03,8.48,0.51
62,568.94,0.13,87.0,56.37,9.31,9.19
2,484.53,0.1,90.0,63.46,10.51,9.19
62,1182.64,0.07,93.0,72.2,3.21,9.19
62,1212.55,0.1,90.0,54.87,2.42,9.19
62,1045.4,0.13,87.0,53.93,3.83,9.19
62,1158.27,0.14,86.0,51.8,2.37,9.19
63,1057.68,0.1,90.0,43.09,4.14,0.26
63,810.65,0.11,89.0,76.32,6.77,0.26
63,580.81,0.08,92.0,36.4,9.6,0.26

63,1106.43,0.08,92.0,61.18,3.89,0.26
63,987.32,0.14,86.0,54.88,4.36,0.26
63,631.15,0.13,87.0,48.74,8.6,0.26
64,262.0,0.18,82.0,74.16,12.59,0.27
