1,78.0,0.17
1,78.0,0.17
1,78.0,0.17
1,76.0,0.17
2,92.0,0.15
2,90.0,0.15
3,82.0,0.15
3,82.0,0.15
4,94.0,0.17
4,94.0,0.17
5,98.0,0.16
5,98.0,0.16
5,98.0,0.16
6,94.0,0.15
6,96.0,0.15
7,50.0,0.15
7,42.0,0.15
7,56.0,0.15
8,70.0,0.15
8,58.0,0.15
9,92.0,0.15
9,92.0,0.15
9,90.0,0.15
9,90.0,0.15
10,80.0,0.28
10,76.0,0.28
11,84.0,0.18
11,74.0,0.18
11,96.0,0.18
12,94.0,0.15
12,94.0,0.15
12,90.0,0.15
13,78.0,0.15
13,80.0,0.15
13,78.0,0.15
13,80.0,0.15
14,76.0,0.14
14,88.0,0.14
14,82.0,0.14
15,94.0,0.14
15,92.0,0.14
16,94.0,0.14
16,90.0,0.14
16,94.0,0.14
17,100.0,0.15
17,98.0,0.15
17,98.0,0.15
17,98.0,0.15
18,74.0,0.16
18,74.0,0.16
19,94.0,0.16
19,88.0,0.16
19,86.0,0.16
19,90.0,0.16
19,88.0,0.16
20,88.0,0.16
21,60.0,0.15
21,60.0,0.15
21,64.0,0.15
22,98.0,0.14
22,98.0,0.14
22,98.0,0.14
23,64.0,0.17
23,66.0,0.17
23,68.0,0.17
24,94.0,0.15
24,94.0,0.15
24,94.0,0.15
25,64.0,0.14
25,62.0,0.14
25,62.0,0.14
26,98.0,0.19

26,100.0,0.19
26,100.0,0.19
26,100.0,0.19
27,94.0,0.15
27,88.0,0.15
27,94.0,0.15
27,94.0,0.15
27,92.0,0.15
28,60.0,0.15
28,60.0,0.15
28,60.0,0.15
28,60.0,0.15
29,98.0,0.16
29,98.0,0.16
29,98.0,0.16
30,68.0,0.15
30,68.0,0.15
31,76.0,0.14
31,78.0,0.14
32,78.0,0.16
32,78.0,0.16
32,78.0,0.16
32,78.0,0.16
32,78.0,0.16
33,44.0,0.17
33,44.0,0.17
33,40.0,0.17
33,48.0,0.17
34,92.0,0.14
34,96.0,0.14
34,88.0,0.14
35,80.0,0.14
35,82.0,0.14
35,78.0,0.14
36,98.0,0.14
36,96.0,0.14
36,94.0,0.14
37,96.0,0.15

37,96.0,0.15
38,78.0,0.22
38,80.0,0.21
38,76.0,0.22
39,68.0,0.17
39,68.0,0.17
39,66.0,0.17
39,70.0,0.17
40,64.0,0.16
40,60.0,0.16
41,40.0,0.18
41,42.0,0.18
42,100.0,0.16
42,98.0,0.16

42,100.0,0.16
42,98.0,0.16
43,98.0,0.14

43,98.0,0.14
43,98.0,0.14
44,44.0,0.17
44,46.0,0.17
44,48.0,0.17
44,48.0,0.17
45,98.0,0.14
45,98.0,0.14
45,98.0,0.14
45,98.0,0.14
46,40.0,0.18
46,34.0,0.18
47,96.0,0.16
47,90.0,0.16
47,92.0,0.16
48,76.0,0.16
48,70.0,0.16
48,68.0,0.16
48,78.0,0.16
