episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
48.0,96.0,0.0,100.0,20.32,0.23
48.0,98.0,0.01,99.0,24.79,0.23
49.0,74.0,0.01,99.0,57.62,0.23
49.0,68.0,0.02,98.0,58.05,0.23
49.0,66.0,0.14,86.0,62.31,0.23
50.0,96.0,0.0,100.0,22.77,0.23
50.0,32.0,0.32,68.0,28.63,0.23
51.0,66.0,0.17,83.0,6.84,0.21
51.0,92.0,0.0,100.0,18.07,0.21
51.0,80.0,0.04,96.0,36.86,0.21
51.0,92.0,0.01,99.0,24.68,0.21
51.0,84.0,0.02,98.0,32.48,0.21
51.0,72.0,0.08,92.0,33.2,0.21
52.0,70.0,0.11,89.0,27.17,0.21
52.0,80.0,0.01,99.0,44.23,0.21
52.0,62.0,0.17,83.0,13.7,0.21
52.0,100.0,0.0,100.0,10.05,0.21
52.0,82.0,0.06,94.0,27.61,0.21
53.0,34.0,0.33,67.0,15.4,0.21
54.0,90.0,0.0,100.0,29.94,0.22
54.0,34.0,0.31,69.0,16.84,0.22
54.0,22.0,0.37,63.0,31.19,0.22
55.0,50.0,0.16,84.0,37.64,0.21
555.0,64.0,0.18,82.0,19.38,0.21
55.0,78.0,0.04,96.0,35.11,0.21
55.0,98.0,0.0,100.0,21.06,0.21
56.0,100.0,0.0,100.0,5.87,0.21
56.0,94.0,0.03,97.0,7.34,0.21
56.0,62.0,0.17,83.0,24.73,0.21
6.0,12.0,0.38,62.0,48.27,0.21
57.0,22.0,0.35,65.0,48.75,0.21
57.0,96.0,0.01,99.0,13.47,0.21
557.0,42.0,0.25,75.0,26.59,0.21
58.0,92.0,0.01,99.0,24.98,0.21
58.0,82.0,0.01,99.0,26.87,0.21
58.0,98.0,0.0,100.0,18.2,0.21
58.0,54.0,0.12,88.0,44.29,0.21
58.0,82.0,0.04,96.0,23.93,0.21
58.0,50.0,0.22,78.0,30.39,0.21
59.0,60.0,0.14,86.0,34.41,0.22
59.0,86.0,0.0,100.0,32.23,0.22
60.0,94.0,0.03,97.0,4.6,0.21
60.0,88.0,0.01,99.0,21.41,0.21
60.0,66.0,0.1,90.0,49.41,0.21
61.0,8.0,0.38,62.0,64.52,0.22
61.0,94.0,0.03,97.0,5.09,0.22
62.0,38.0,0.2,80.0,62.62,0.22
62.0,96.0,0.0,100.0,22.58,0.22
62.0,26.0,0.37,63.0,26.84,0.22
63.0,92.0,0.01,99.0,19.69,0.22
63.0,52.0,0.22,78.0,30.23,0.22
63.0,94.0,0.01,99.0,15.45,0.22
64.0,96.0,0.01,99.0,25.73,0.23
64.0,14.0,0.42,58.0,37.48,0.22
64.0,88.0,0.01,99.0,34.02,0.22
65.0,58.0,0.16,84.0,29.42,0.22
65.0,96.0,0.0,100.0,21.89,0.22
65.0,78.0,0.05,95.0,37.94,0.22
66.0,98.0,0.0,100.0,17.46,0.21
66.0,94.0,0.0,100.0,34.12,0.21
66.0,88.0,0.04,96.0,19.2,0.21
66.0,96.0,0.01,99.0,10.95,0.21
66.0,12.0,0.43,57.0,42.47,0.21
