episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
120,1120.0,0.18,82.0,54.94,2.12,0.11
121,887.0,0.19,81.0,56.07,4.81,0.12
122,835.0,0.02,98.0,25.78,7.46,0.12
123,937.0,0.14,86.0,69.42,4.94,0.12
124,910.0,0.15,85.0,65.15,5.12,0.11
125,1083.0,0.01,99.0,72.18,5.05,0.12
126,1064.0,0.02,98.0,80.52,5.12,0.11
127,960.0,0.02,98.0,68.95,6.18,0.12
128,710.0,0.0,100.0,29.02,8.9,0.12
129,940.0,0.35,65.0,63.45,1.0,0.11
130,736.0,0.0,100.0,40.19,8.64,0.12
131,863.0,0.25,75.0,43.17,4.16,0.11
132,1239.67,0.01,99.0,38.01,3.47,0.12
133,1228.0,0.0,100.0,22.0,3.72,0.12
134,1093.0,0.01,99.0,24.83,4.95,0.12
135,1047.0,0.2,80.0,70.33,2.66,0.11
136,1159.0,0.01,99.0,37.03,4.28,0.11
137,312.0,0.0,100.0,53.9,12.88,0.12
138,1217.0,0.01,99.0,69.76,3.7,0.12
139,840.0,0.0,100.0,48.38,7.6,0.12
140,772.0,0.04,96.0,48.9,7.92,0.12
141,715.0,0.11,89.0,34.48,7.84,0.11
142,1254.0,0.0,100.0,53.27,3.46,0.12
143,1291.0,0.08,92.0,43.33,1.88,0.13
144,1252.0,0.0,100.0,38.06,3.48,0.12
145,987.0,0.09,91.0,53.2,5.05,0.12
146,975.0,0.01,99.0,43.57,6.14,0.12
147,700.0,0.01,99.0,18.62,8.92,0.13
148,777.0,0.29,71.0,64.52,4.65,0.11
149,1204.0,0.02,98.0,65.84,3.69,0.12
150,1051.0,0.22,78.0,44.71,2.24,0.1
151,1288.0,0.05,95.0,19.46,2.39,0.11
152,792.0,0.0,100.0,42.43,8.08,0.13
153,851.0,0.02,98.0,68.19,7.3,0.12
154,460.0,0.02,98.0,29.54,11.29,0.11
155,468.0,0.0,100.0,48.76,11.32,0.12
156,889.0,0.25,75.0,58.43,3.81,0.11
157,1182.0,0.16,84.0,40.8,1.74,0.13
158,752.0,0.07,93.0,34.16,7.84,0.12
159,981.0,0.25,75.0,55.78,2.59,0.11
160,1141.0,0.16,84.0,31.86,2.23,0.12
161,8.0,0.0,100.0,62.53,15.92,0.12
162,878.0,0.0,100.0,26.57,7.22,0.12
163,1091.0,0.02,98.0,56.8,4.85,0.12
164,683.0,0.13,87.0,48.39,8.0,0.11
165,1180.0,0.12,88.0,68.15,2.45,0.12
