episode,r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,execution_time
81,865.12,100,8.782613,12,1,865.12,0.22,78,67.45,4.63,0.1
82,540.56006,100,8.897151,15,3,540.56,0.12,88,94.1,9.72,0.1
83,945.87,100,9.007558,8,1,945.87,0.16,84,25.99,4.55,0.11
84,529.18,100,9.121292,-1,5,529.18,0.27,73,119.86,8.38,0.1
85,747.89,100,9.238916,8,2,747.89,0.19,81,63.65,6.53,0.11
86,698.41,100,9.348031,-1,5,698.41,0.12,88,38.69,7.93,0.11
87,430,100,9.454586,14,3,430,0.18,82,74.47,10.54,0.1
88,803.92004,100,9.563184,-1,5,803.92,0.28,72,57.15,4.45,0.1
89,725.57,100,9.671605,8,1,725.57,0.22,78,98.79,6.42,0.1
90,425.82,100,9.780466,12,1,425.82,0.19,81,68.59,10.51,0.1
91,493.31006,100,9.893821,12,0,493.31,0.14,86,62.92,10.1,0.1
92,777,100,9.998597,8,4,777,0.19,81,81.45,6.17,0.11
93,734.27997,100,10.103171,14,2,734.28,0.22,78,108.09,6.3,0.1
94,1064.7599,100,10.234661,12,0,1064.76,0.15,85,58.56,3.3,0.1
95,609.97,100,10.345355,-1,5,609.97,0.13,87,72.19,8.84,0.12
96,457,100,10.449722,-1,5,457,0.23,77,45.99,9.77,0.1
97,799,100,10.564899,8,1,799,0.12,88,105.3,6.78,0.1
98,817.02997,100,10.678009,14,2,817.03,0.15,85,40.02,6.21,0.11
99,517.55005,100,10.781291,8,3,517.55,0.19,81,56.22,9.38,0.1
100,585.17,100,10.88563,0,3,585.17,0.25,75,63.84,7.86,0.1
101,948.00006,100,11.058795,9.33,4,948,0.13,87,92.95,4.95,0.1
102,592.72,100,11.248269,0,2,592.72,0.14,86,87.16,8.95,0.17
103,738,100,11.421559,12,3,738,0.22,78,95.83,6.26,0.17
104,463.33002,100,11.611131,0,1,463.33,0.21,79,61.97,9.87,0.16
105,860,100,11.790064,8,2,860,0.2,80,90.13,5,0.17
106,991.52997,100,11.968203,-1,5,991.53,0.14,86,104.22,4.31,0.16
107,718.05,100,12.145392,-1,5,718.05,0.18,82,74.96,7.02,0.16
108,384,100,12.333888,0,4,384,0.16,84,70.89,11.24,0.16
109,681.16003,100,12.517227,8,3,681.16,0.11,89,26.05,8.22,0.18
110,745.89,100,12.700303,0,0,745.89,0.17,83,90.4,6.81,0.17
111,976.00006,100,12.878508,14,2,976,0.19,81,58.3,3.72,0.17
112,1053.9099,100,13.053388,15,1,1053.91,0.16,84,56.05,3.26,0.17
113,337.93,100,13.235403,-1,5,337.93,0.21,79,81.37,11.46,0.16
114,290.09003,100,13.419679,0,1,290.09,0.2,80,94.96,12.12,0.17
115,338.28998,100,13.596123,15,1,338.29,0.26,74,114.64,11.08,0.17
116,910.91003,100,13.778653,-1,5,910.91,0.1,90,84.27,5.77,0.16
117,758.79987,100,13.955764,14,0,758.8,0.17,83,83.95,6.65,0.17
118,1088.9199,100,14.133048,14,1,1088.92,0.19,81,72.55,2.32,0.16
119,457.14,100,14.311658,15,3,457.14,0.15,85,111.32,10.45,0.16
120,607.2401,100,14.494719,8,0,607.24,0.18,82,67.01,8.38,0.17
121,727.62,100,14.679408,14,2,727.62,0.15,85,44.46,7.26,0.17
122,343,100,14.852197,0,3,343,0.17,83,71.38,11.66,0.17
123,798.34,100,15.035354,-1,5,798.34,0.2,80,29.3,5.77,0.16
124,896.09,100,15.209086,-1,4,896.09,0.23,77,56.85,4.06,0.17
125,805,100,15.388001,8,2,805,0.19,81,44.73,5.83,0.16
126,371.45,100,15.563947,0,0,371.45,0.18,82,123.53,11.25,0.17
127,401,100,15.748944,-1,5,401,0.19,81,77.18,10.81,0.16
128,611.41,100,15.92486,8,1,611.41,0.15,85,99.76,8.63,0.17
